group,ratio,mean_delta,mean_abs_delta,std_delta,n
C_imp_asc,0.01,-0.06792964,0.14800784,0.20425490724699863,50
C_imp_asc,0.03,-0.021093759999999996,0.13421872,0.18573153969394665,50
C_imp_asc,0.05,0.12984376,0.19507815999999997,0.24203611198133893,50
C_imp_asc,0.07,0.11246096,0.20246092000000002,0.24939578621458341,50
C_imp_asc,0.1,-0.16265622000000002,0.34789057999999995,0.5356299625821226,50
C_imp_asc,0.15,-0.04984368,0.51117188,0.7029074928924463,50
C_imp_asc,0.2,0.2853124,0.51109368,0.5373172529144307,50
C_imp_asc,0.3,6.751699220000001,6.751699220000001,1.2208904332779595,50
C_imp_asc,0.5,6.751699220000001,6.751699220000001,1.2208904332779595,50
C_pert_asc,0.01,0.01749998,0.025546859999999998,0.04370522908400443,50
C_pert_asc,0.03,0.033593740000000004,0.04523438,0.05173213908271992,50
C_pert_asc,0.05,0.04773446,0.0971875,0.11558355404839202,50
C_pert_asc,0.07,0.20628903999999998,0.23175779999999999,0.17431801941091835,50
C_pert_asc,0.1,0.505586,0.50589848,0.4270306119732937,50
C_pert_asc,0.15,1.36492184,1.36492184,0.789729591836561,50
C_pert_asc,0.2,2.24238288,2.24238288,0.8544214901814342,50
C_pert_asc,0.3,6.751699220000001,6.751699220000001,1.2208904332779595,50
C_pert_asc,0.5,6.751699220000001,6.751699220000001,1.2208904332779595,50
C_pert_desc,0.01,-0.13167976,0.27152344,0.4655227896725056,50
C_pert_desc,0.03,4.16390624,4.16390624,1.069846566763618,50
C_pert_desc,0.05,4.81136716,4.81136716,0.953455929224418,50
C_pert_desc,0.07,4.83804686,4.83804686,0.9633212908080471,50
C_pert_desc,0.1,5.27374996,5.27374996,1.0325663099802567,50
C_pert_desc,0.15,6.419882820000001,6.419882820000001,1.1428829945602517,50
C_pert_desc,0.2,6.76269526,6.76269526,1.1823376765733595,50
C_pert_desc,0.3,6.751699220000001,6.751699220000001,1.2208904332779595,50
C_pert_desc,0.5,6.751699220000001,6.751699220000001,1.2208904332779595,50
D_imp_asc,0.01,-0.00605472,0.03464844,0.04329947421278547,50
D_imp_asc,0.03,0.0008984200000000009,0.04355462,0.056139027481557795,50
D_imp_asc,0.05,0.008593720000000001,0.04835932,0.06307780195982787,50
D_imp_asc,0.07,0.020546860000000004,0.0642187,0.07389831364401342,50
D_imp_asc,0.1,0.0289063,0.06820314,0.07746556714114988,50
D_imp_asc,0.15,0.057109360000000005,0.08882808,0.09714676061900218,50
D_imp_asc,0.2,0.07746098,0.10058594,0.09589173285736026,50
D_imp_asc,0.3,0.10343754000000001,0.11734378,0.1005417150546529,50
D_imp_asc,0.5,0.10343754000000001,0.11734378,0.1005417150546529,50
D_pert_asc,0.01,0.0026171,0.00464826,0.006196442367213955,50
D_pert_asc,0.03,0.00367188,0.01078112,0.013644156942778972,50
D_pert_asc,0.05,0.011757819999999999,0.020117180000000002,0.021679120999096555,50
D_pert_asc,0.07,0.02105466,0.028320340000000003,0.02933616622742067,50
D_pert_asc,0.1,0.02066416,0.02996092,0.03384081956198666,50
D_pert_asc,0.15,0.07082031999999999,0.08800784,0.0841282867601714,50
D_pert_asc,0.2,0.07214844,0.09183596,0.09133686334442609,50
D_pert_asc,0.3,0.10343754000000001,0.11734378,0.1005417150546529,50
D_pert_asc,0.5,0.10343754000000001,0.11734378,0.1005417150546529,50
D_pert_desc,0.01,0.0177734,0.0267578,0.034657264665314144,50
D_pert_desc,0.03,0.02542966,0.042070220000000005,0.05125955916251234,50
D_pert_desc,0.05,0.0303906,0.0457812,0.05308992310702855,50
D_pert_desc,0.07,0.03617192,0.051875,0.05944096887852653,50
D_pert_desc,0.1,0.06835936000000001,0.08257804,0.0954232849279419,50
D_pert_desc,0.15,0.08023436,0.0966406,0.08751013792459729,50
D_pert_desc,0.2,0.09464844,0.10808588000000001,0.09561249151230296,50
D_pert_desc,0.3,0.10343754000000001,0.11734378,0.1005417150546529,50
D_pert_desc,0.5,0.10343754000000001,0.11734378,0.1005417150546529,50
