group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
C_imp_asc,0.01,2205,2205,0,-0.060547,0.060547
C_imp_asc,0.01,2205,2205,1,-0.40625,0.40625
C_imp_asc,0.01,2205,2205,2,0.074219,0.074219
C_imp_asc,0.01,2205,2205,3,0.005859,0.005859
C_imp_asc,0.01,2205,2205,4,-0.132812,0.132812
C_imp_asc,0.01,2205,2205,5,0.017578,0.017578
C_imp_asc,0.01,2205,2205,6,-0.390625,0.390625
C_imp_asc,0.01,2205,2205,7,0.105469,0.105469
C_imp_asc,0.01,2205,2205,8,-0.046875,0.046875
C_imp_asc,0.01,2205,2205,9,0.080078,0.080078
C_imp_asc,0.01,2205,2205,10,0.15625,0.15625
C_imp_asc,0.01,2205,2205,11,-0.601562,0.601562
C_imp_asc,0.01,2205,2205,12,0.0625,0.0625
C_imp_asc,0.01,2205,2205,13,-0.023438,0.023438
C_imp_asc,0.01,2205,2205,14,0.074219,0.074219
C_imp_asc,0.01,2205,2205,15,-0.166016,0.166016
C_imp_asc,0.01,2205,2205,16,0.0,0.0
C_imp_asc,0.01,2205,2205,17,0.078125,0.078125
C_imp_asc,0.01,2205,2205,18,-0.046875,0.046875
C_imp_asc,0.01,2205,2205,19,0.060547,0.060547
C_imp_asc,0.01,2205,2205,20,0.060547,0.060547
C_imp_asc,0.01,2205,2205,21,-0.453125,0.453125
C_imp_asc,0.01,2205,2205,22,-0.125,0.125
C_imp_asc,0.01,2205,2205,23,0.089844,0.089844
C_imp_asc,0.01,2205,2205,24,0.085938,0.085938
C_imp_asc,0.01,2205,2205,25,0.070312,0.070312
C_imp_asc,0.01,2205,2205,26,-0.507812,0.507812
C_imp_asc,0.01,2205,2205,27,0.0,0.0
C_imp_asc,0.01,2205,2205,28,0.085938,0.085938
C_imp_asc,0.01,2205,2205,29,-0.003906,0.003906
C_imp_asc,0.01,2205,2205,30,0.214844,0.214844
C_imp_asc,0.01,2205,2205,31,-0.546875,0.546875
C_imp_asc,0.01,2205,2205,32,-0.097656,0.097656
C_imp_asc,0.01,2205,2205,33,-0.070312,0.070312
