group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
C_imp_asc,0.01,968,968,0,0.006836,0.006836
C_imp_asc,0.01,968,968,1,6.301758,6.301758
C_imp_asc,0.01,968,968,2,0.003906,0.003906
C_imp_asc,0.01,968,968,3,-0.066406,0.066406
C_imp_asc,0.01,968,968,4,-0.049805,0.049805
C_imp_asc,0.01,968,968,5,0.000244,0.000244
C_imp_asc,0.01,968,968,6,7.041992,7.041992
C_imp_asc,0.01,968,968,7,-0.021484,0.021484
C_imp_asc,0.01,968,968,8,-0.021484,0.021484
C_imp_asc,0.01,968,968,9,-0.014893,0.014893
C_imp_asc,0.01,968,968,10,0.008118,0.008118
C_imp_asc,0.01,968,968,11,0.148438,0.148438
C_imp_asc,0.01,968,968,12,0.000977,0.000977
C_imp_asc,0.01,968,968,13,-0.006348,0.006348
C_imp_asc,0.01,968,968,14,-0.03418,0.03418
C_imp_asc,0.01,968,968,15,-0.011719,0.011719
C_imp_asc,0.01,968,968,16,-0.914062,0.914062
C_imp_asc,0.01,968,968,17,0.031494,0.031494
C_imp_asc,0.01,968,968,18,0.101562,0.101562
C_imp_asc,0.01,968,968,19,-0.005859,0.005859
C_imp_asc,0.01,968,968,20,-0.02832,0.02832
C_imp_asc,0.01,968,968,21,-1.820312,1.820312
C_imp_asc,0.01,968,968,22,-0.042969,0.042969
C_imp_asc,0.01,968,968,23,-0.029297,0.029297
C_imp_asc,0.01,968,968,24,-0.017578,0.017578
C_imp_asc,0.01,968,968,25,0.005859,0.005859
C_imp_asc,0.01,968,968,26,-1.757812,1.757812
C_imp_asc,0.01,968,968,27,0.00293,0.00293
C_imp_asc,0.01,968,968,28,-0.009766,0.009766
C_imp_asc,0.01,968,968,29,0.014648,0.014648
C_imp_asc,0.01,968,968,30,0.003906,0.003906
C_imp_asc,0.01,968,968,31,-0.664062,0.664062
C_imp_asc,0.01,968,968,32,-0.007812,0.007812
C_imp_asc,0.01,968,968,33,0.001465,0.001465
C_imp_asc,0.01,968,968,34,0.015137,0.015137
C_imp_asc,0.01,968,968,35,-0.002441,0.002441
C_imp_asc,0.01,968,968,36,-0.4375,0.4375
C_imp_asc,0.01,968,968,37,0.010254,0.010254
C_imp_asc,0.01,968,968,38,-0.007812,0.007812
C_imp_asc,0.01,968,968,39,0.000977,0.000977
C_imp_asc,0.01,968,968,40,-0.029297,0.029297
C_imp_asc,0.01,968,968,41,-0.460938,0.460938
C_imp_asc,0.01,968,968,42,0.01709,0.01709
