group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
C_imp_asc,0.01,18048,18048,0,-0.035156,0.035156
C_imp_asc,0.01,18048,18048,1,0.296875,0.296875
C_imp_asc,0.01,18048,18048,2,-0.108398,0.108398
C_imp_asc,0.01,18048,18048,3,-0.144531,0.144531
C_imp_asc,0.01,18048,18048,4,0.019531,0.019531
C_imp_asc,0.01,18048,18048,5,-0.066406,0.066406
C_imp_asc,0.01,18048,18048,6,-0.53125,0.53125
C_imp_asc,0.01,18048,18048,7,0.055664,0.055664
C_imp_asc,0.01,18048,18048,8,-0.117188,0.117188
C_imp_asc,0.01,18048,18048,9,-0.09375,0.09375
C_imp_asc,0.01,18048,18048,10,0.02124,0.02124
C_imp_asc,0.01,18048,18048,11,-0.289062,0.289062
C_imp_asc,0.01,18048,18048,12,-0.013672,0.013672
C_imp_asc,0.01,18048,18048,13,0.015625,0.015625
C_imp_asc,0.01,18048,18048,14,-0.151367,0.151367
C_imp_asc,0.01,18048,18048,15,-0.020996,0.020996
C_imp_asc,0.01,18048,18048,16,0.679688,0.679688
C_imp_asc,0.01,18048,18048,17,-0.053711,0.053711
C_imp_asc,0.01,18048,18048,18,-0.051758,0.051758
C_imp_asc,0.01,18048,18048,19,-0.03125,0.03125
C_imp_asc,0.01,18048,18048,20,0.011719,0.011719
C_imp_asc,0.01,18048,18048,21,-0.34375,0.34375
C_imp_asc,0.01,18048,18048,22,0.03125,0.03125
C_imp_asc,0.01,18048,18048,23,-0.164062,0.164062
C_imp_asc,0.01,18048,18048,24,-0.057617,0.057617
C_imp_asc,0.01,18048,18048,25,0.027344,0.027344
C_imp_asc,0.01,18048,18048,26,0.109375,0.109375
C_imp_asc,0.01,18048,18048,27,0.006592,0.006592
C_imp_asc,0.01,18048,18048,28,0.087891,0.087891
C_imp_asc,0.01,18048,18048,29,-0.062012,0.062012
C_imp_asc,0.01,18048,18048,30,-0.069336,0.069336
C_imp_asc,0.01,18048,18048,31,0.570312,0.570312
C_imp_asc,0.01,18048,18048,32,0.015625,0.015625
C_imp_asc,0.01,18048,18048,33,-0.259277,0.259277
C_imp_asc,0.01,18048,18048,34,0.011963,0.011963
C_imp_asc,0.01,18048,18048,35,-0.070312,0.070312
C_imp_asc,0.01,18048,18048,36,-0.132812,0.132812
C_imp_asc,0.01,18048,18048,37,0.027344,0.027344
C_imp_asc,0.01,18048,18048,38,-0.010742,0.010742
C_imp_asc,0.01,18048,18048,39,-0.066406,0.066406
C_imp_asc,0.01,18048,18048,40,-0.023438,0.023438
C_imp_asc,0.01,18048,18048,41,0.046875,0.046875
C_imp_asc,0.01,18048,18048,42,0.112305,0.112305
C_imp_asc,0.01,18048,18048,43,-0.078613,0.078613
C_imp_asc,0.01,18048,18048,44,-0.21875,0.21875
C_imp_asc,0.01,18048,18048,45,-0.060547,0.060547
C_imp_asc,0.01,18048,18048,46,-0.429688,0.429688
C_imp_asc,0.01,18048,18048,47,0.037109,0.037109
C_imp_asc,0.01,18048,18048,48,0.453125,0.453125
C_imp_asc,0.01,18048,18048,49,-1.125,1.125
C_pert_asc,0.01,18048,18048,0,0.011719,0.011719
C_pert_asc,0.01,18048,18048,1,0.0,0.0
C_pert_asc,0.01,18048,18048,2,-0.004883,0.004883
C_pert_asc,0.01,18048,18048,3,-0.013672,0.013672
C_pert_asc,0.01,18048,18048,4,0.0,0.0
C_pert_asc,0.01,18048,18048,5,-0.007812,0.007812
C_pert_asc,0.01,18048,18048,6,0.007812,0.007812
C_pert_asc,0.01,18048,18048,7,-0.001953,0.001953
C_pert_asc,0.01,18048,18048,8,0.015625,0.015625
C_pert_asc,0.01,18048,18048,9,-0.007812,0.007812
C_pert_asc,0.01,18048,18048,10,0.011719,0.011719
C_pert_asc,0.01,18048,18048,11,0.117188,0.117188
C_pert_asc,0.01,18048,18048,12,0.015625,0.015625
C_pert_asc,0.01,18048,18048,13,-0.003906,0.003906
C_pert_asc,0.01,18048,18048,14,0.045898,0.045898
C_pert_asc,0.01,18048,18048,15,-0.01123,0.01123
C_pert_asc,0.01,18048,18048,16,0.007812,0.007812
C_pert_asc,0.01,18048,18048,17,0.0,0.0
C_pert_asc,0.01,18048,18048,18,-0.012695,0.012695
C_pert_asc,0.01,18048,18048,19,0.0,0.0
C_pert_asc,0.01,18048,18048,20,-0.005859,0.005859
C_pert_asc,0.01,18048,18048,21,-0.070312,0.070312
C_pert_asc,0.01,18048,18048,22,0.0,0.0
C_pert_asc,0.01,18048,18048,23,-0.007812,0.007812
C_pert_asc,0.01,18048,18048,24,-0.015625,0.015625
C_pert_asc,0.01,18048,18048,25,0.0,0.0
C_pert_asc,0.01,18048,18048,26,0.007812,0.007812
C_pert_asc,0.01,18048,18048,27,0.015381,0.015381
C_pert_asc,0.01,18048,18048,28,0.0,0.0
C_pert_asc,0.01,18048,18048,29,0.004883,0.004883
C_pert_asc,0.01,18048,18048,30,-0.009766,0.009766
C_pert_asc,0.01,18048,18048,31,-0.039062,0.039062
C_pert_asc,0.01,18048,18048,32,-0.007812,0.007812
C_pert_asc,0.01,18048,18048,33,0.021484,0.021484
C_pert_asc,0.01,18048,18048,34,-0.000488,0.000488
C_pert_asc,0.01,18048,18048,35,0.003906,0.003906
C_pert_asc,0.01,18048,18048,36,-0.007812,0.007812
C_pert_asc,0.01,18048,18048,37,0.005859,0.005859
C_pert_asc,0.01,18048,18048,38,-0.005859,0.005859
C_pert_asc,0.01,18048,18048,39,0.001953,0.001953
C_pert_asc,0.01,18048,18048,40,0.0,0.0
C_pert_asc,0.01,18048,18048,41,0.03125,0.03125
C_pert_asc,0.01,18048,18048,42,0.023438,0.023438
C_pert_asc,0.01,18048,18048,43,-0.024902,0.024902
C_pert_asc,0.01,18048,18048,44,-0.011719,0.011719
C_pert_asc,0.01,18048,18048,45,-0.003906,0.003906
C_pert_asc,0.01,18048,18048,46,-0.109375,0.109375
C_pert_asc,0.01,18048,18048,47,-0.009766,0.009766
C_pert_asc,0.01,18048,18048,48,0.007812,0.007812
C_pert_asc,0.01,18048,18048,49,0.226562,0.226562
C_pert_desc,0.01,18048,18048,0,0.212891,0.212891
C_pert_desc,0.01,18048,18048,1,2.398438,2.398438
C_pert_desc,0.01,18048,18048,2,0.054688,0.054688
C_pert_desc,0.01,18048,18048,3,0.333984,0.333984
C_pert_desc,0.01,18048,18048,4,0.3125,0.3125
C_pert_desc,0.01,18048,18048,5,0.068359,0.068359
C_pert_desc,0.01,18048,18048,6,3.46875,3.46875
C_pert_desc,0.01,18048,18048,7,0.255859,0.255859
C_pert_desc,0.01,18048,18048,8,0.070312,0.070312
C_pert_desc,0.01,18048,18048,9,0.126953,0.126953
C_pert_desc,0.01,18048,18048,10,-0.023926,0.023926
C_pert_desc,0.01,18048,18048,11,4.289062,4.289062
C_pert_desc,0.01,18048,18048,12,0.239258,0.239258
C_pert_desc,0.01,18048,18048,13,0.119141,0.119141
C_pert_desc,0.01,18048,18048,14,0.023438,0.023438
C_pert_desc,0.01,18048,18048,15,0.177246,0.177246
C_pert_desc,0.01,18048,18048,16,1.789062,1.789062
C_pert_desc,0.01,18048,18048,17,0.359375,0.359375
C_pert_desc,0.01,18048,18048,18,0.290039,0.290039
C_pert_desc,0.01,18048,18048,19,0.035156,0.035156
C_pert_desc,0.01,18048,18048,20,0.261719,0.261719
C_pert_desc,0.01,18048,18048,21,2.195312,2.195312
C_pert_desc,0.01,18048,18048,22,0.140625,0.140625
C_pert_desc,0.01,18048,18048,23,0.066406,0.066406
C_pert_desc,0.01,18048,18048,24,0.436523,0.436523
C_pert_desc,0.01,18048,18048,25,0.023438,0.023438
C_pert_desc,0.01,18048,18048,26,4.195312,4.195312
C_pert_desc,0.01,18048,18048,27,0.210449,0.210449
C_pert_desc,0.01,18048,18048,28,0.017578,0.017578
C_pert_desc,0.01,18048,18048,29,0.3125,0.3125
C_pert_desc,0.01,18048,18048,30,0.222656,0.222656
C_pert_desc,0.01,18048,18048,31,1.507812,1.507812
C_pert_desc,0.01,18048,18048,32,0.136719,0.136719
C_pert_desc,0.01,18048,18048,33,0.02832,0.02832
C_pert_desc,0.01,18048,18048,34,0.390625,0.390625
C_pert_desc,0.01,18048,18048,35,0.322266,0.322266
C_pert_desc,0.01,18048,18048,36,2.695312,2.695312
C_pert_desc,0.01,18048,18048,37,0.328125,0.328125
C_pert_desc,0.01,18048,18048,38,0.152344,0.152344
C_pert_desc,0.01,18048,18048,39,-0.037109,0.037109
C_pert_desc,0.01,18048,18048,40,-0.035156,0.035156
C_pert_desc,0.01,18048,18048,41,2.0,2.0
C_pert_desc,0.01,18048,18048,42,0.132812,0.132812
C_pert_desc,0.01,18048,18048,43,0.39209,0.39209
C_pert_desc,0.01,18048,18048,44,0.066406,0.066406
C_pert_desc,0.01,18048,18048,45,0.041016,0.041016
C_pert_desc,0.01,18048,18048,46,1.929688,1.929688
C_pert_desc,0.01,18048,18048,47,0.191406,0.191406
C_pert_desc,0.01,18048,18048,48,3.75,3.75
C_pert_desc,0.01,18048,18048,49,1.703125,1.703125
D_imp_asc,0.01,18048,18048,0,0.005859,0.005859
