group,ratio,mean_delta,mean_abs_delta,std_delta,n
C_imp_asc,0.01,0.03428718,0.13329094,0.24998188244568723,50
C_imp_asc,0.03,0.1285059,0.22252925999999998,0.37613724100610363,50
C_imp_asc,0.05,0.1774121,0.25045894,0.4418763898660703,50
C_imp_asc,0.07,0.16238281999999998,0.28300781999999997,0.4968908538841729,50
C_imp_asc,0.1,0.31013674,0.3952539,0.8015054301180286,50
C_imp_asc,0.15,0.31254888000000003,0.4052442,0.7416261293010561,50
C_imp_asc,0.2,0.30424798,0.41416993999999996,0.7507338115140871,50
C_imp_asc,0.3,1.65598632,1.70411136,3.0662948054607884,50
C_imp_asc,0.5,1.65598632,1.70411136,3.0662948054607884,50
C_pert_asc,0.01,0.02006834,0.03141586,0.08376820056697519,50
C_pert_asc,0.03,0.040644480000000004,0.07601556000000001,0.19671743221928395,50
C_pert_asc,0.05,0.052089819999999995,0.08816406,0.1821290978524815,50
C_pert_asc,0.07,0.07875,0.10347652,0.19724474464399164,50
C_pert_asc,0.1,0.13917966,0.17882814,0.4517639099497051,50
C_pert_asc,0.15,0.17059566,0.21801753999999998,0.5902383528967857,50
C_pert_asc,0.2,0.18059567999999998,0.29735352,0.6816504599963551,50
C_pert_asc,0.3,1.65598632,1.70411136,3.0662948054607884,50
C_pert_asc,0.5,1.65598632,1.70411136,3.0662948054607884,50
C_pert_desc,0.01,0.6597949200000001,0.69883792,1.3642769568309479,50
C_pert_desc,0.03,1.2321874800000001,1.2682226,2.2255409113459725,50
C_pert_desc,0.05,1.6535546600000002,1.7047851,3.0860564968346464,50
C_pert_desc,0.07,1.74146488,1.77968752,3.2512103040628295,50
C_pert_desc,0.1,1.7142675399999998,1.7519237799999998,3.1662011828740875,50
C_pert_desc,0.15,1.70187494,1.74417962,3.1531733207020514,50
C_pert_desc,0.2,1.7170214000000001,1.757998,3.151037084302926,50
C_pert_desc,0.3,1.65598632,1.70411136,3.0662948054607884,50
C_pert_desc,0.5,1.65598632,1.70411136,3.0662948054607884,50
D_imp_asc,0.01,0.002607400000000001,0.0259864,0.05042227788328067,50
D_imp_asc,0.03,0.013730440000000002,0.052207039999999996,0.1295511130835633,50
D_imp_asc,0.05,0.026572299999999997,0.06639646,0.14431542852338328,50
D_imp_asc,0.07,0.01412108,0.047480400000000006,0.10346098803992525,50
D_imp_asc,0.1,0.01836902,0.04944334,0.09428711179580966,50
D_imp_asc,0.15,0.030634739999999997,0.0578027,0.1365105557896247,50
D_imp_asc,0.2,0.0368457,0.0587793,0.13878859543458202,50
D_imp_asc,0.3,0.0368457,0.0587793,0.13878859543458202,50
D_imp_asc,0.5,0.0368457,0.0587793,0.13878859543458202,50
D_pert_asc,0.01,-0.00419928,0.00687496,0.013480464610838962,50
D_pert_asc,0.03,-0.0027831600000000002,0.0073143999999999995,0.010555916637389204,50
D_pert_asc,0.05,-0.00301752,0.015224519999999998,0.028477478920776417,50
D_pert_asc,0.07,-0.006826279999999999,0.01916984,0.038958985923734125,50
D_pert_asc,0.1,0.005937479999999999,0.02707032,0.0500698744536644,50
D_pert_asc,0.15,0.012128860000000002,0.0378319,0.07239347274106012,50
D_pert_asc,0.2,0.018388559999999998,0.05317376,0.10864315875400231,50
D_pert_asc,0.3,0.0368457,0.0587793,0.13878859543458202,50
D_pert_asc,0.5,0.0368457,0.0587793,0.13878859543458202,50
D_pert_desc,0.01,0.01895508,0.03497064,0.08479466285328124,50
D_pert_desc,0.03,0.021044860000000002,0.03999014,0.0772813919197994,50
D_pert_desc,0.05,0.03434566,0.047802660000000004,0.11593422513308384,50
D_pert_desc,0.07,0.02348638,0.04389646,0.09266737349754921,50
D_pert_desc,0.1,0.038037100000000004,0.05467778,0.12119740262712408,50
D_pert_desc,0.15,0.04041988,0.06102532,0.14714719283454697,50
D_pert_desc,0.2,0.0390528,0.060146439999999995,0.13921782535161453,50
D_pert_desc,0.3,0.0368457,0.0587793,0.13878859543458202,50
D_pert_desc,0.5,0.0368457,0.0587793,0.13878859543458202,50
diag_rank_asc,0.01,-0.00305668,0.008525320000000001,0.012939287617901363,50
diag_rank_asc,0.03,-0.0010449,0.017665979999999998,0.029462540979857725,50
diag_rank_asc,0.05,0.004267540000000001,0.02444334,0.04141289250266326,50
diag_rank_asc,0.07,0.005371120000000002,0.042558559999999995,0.0810687816503432,50
diag_rank_asc,0.1,0.010068319999999999,0.050790959999999996,0.10590288502043091,50
diag_rank_asc,0.15,0.059746060000000004,0.08708982000000001,0.1657683455879183,50
diag_rank_asc,0.2,0.08761716,0.14124996,0.3007868193483354,50
diag_rank_asc,0.3,0.18634774,0.25943358,0.4711334070659648,50
diag_rank_asc,0.5,1.63762696,1.693252,3.016808967409431,50
diag_zscore_asc,0.01,-0.0032031000000000004,0.005585860000000001,0.009793461682392481,50
diag_zscore_asc,0.03,-0.0024805,0.0097265,0.017519862168931793,50
diag_zscore_asc,0.05,-0.00598634,0.0170019,0.03160873139098352,50
diag_zscore_asc,0.07,-0.00386724,0.02353504,0.044494172684521285,50
diag_zscore_asc,0.1,0.00509766,0.03298826,0.05759050596912654,50
diag_zscore_asc,0.15,0.01066404,0.04230464,0.07869764557481229,50
diag_zscore_asc,0.2,0.02587882,0.0505469,0.10497128943215174,50
diag_zscore_asc,0.3,0.13751952,0.17408196,0.3412745822154593,50
diag_zscore_asc,0.5,1.63762696,1.693252,3.016808967409431,50
std_imp_asc,0.01,-0.014257740000000001,0.0454101,0.10661627469935234,50
std_imp_asc,0.03,-0.0333497,0.12194334,0.2712870339834184,50
std_imp_asc,0.05,0.040800779999999995,0.13505854,0.27096368897170464,50
std_imp_asc,0.07,0.0685254,0.15102536,0.25971992899762353,50
std_imp_asc,0.1,0.10606436000000001,0.16200196000000003,0.2613717463216227,50
std_imp_asc,0.15,0.15122074000000002,0.22040037999999998,0.38766678776784214,50
std_imp_asc,0.2,0.20967770000000002,0.26237306,0.5159309493385303,50
std_imp_asc,0.3,0.33612306000000003,0.42092774,0.8094331944027482,50
std_imp_asc,0.5,1.63762696,1.693252,3.016808967409431,50
