model_name,condition,best_threshold_rule,threshold,selected_edges,faithfulness,sparsity,src_gt_coverage,dst_gt_coverage
gpt-j-6b,standard,p95,0.026404,5008,1.55115,0.997933,,
gpt-j-6b,celld,p95,0.008233,21904,1.55115,0.997933,,
gpt-j-6b,absld,mean_1.5sd,0.002748,53328,1.55115,0.997933,,
gpt-j-6b,absld_celld,mean_1.5sd,0.002641,54384,1.55115,0.997933,,
qwen-2.5-7b-instruct,standard,p95,0.00882,14028,1.454313,0.998313,,
qwen-2.5-7b-instruct,celld,mean_1.5sd,0.001948,78176,1.454313,0.998313,,
qwen-2.5-7b-instruct,absld,mean_1.5sd,0.000563,164892,1.454313,0.998313,,
qwen-2.5-7b-instruct,absld_celld,mean_1.5sd,0.000524,169848,1.454313,0.998313,,
qwen-2.5-14b-instruct,standard,p95,0.005345,90800,1.529702,0.999723,,
qwen-2.5-14b-instruct,celld,mean_1.5sd,0.000883,528400,1.529702,0.999723,,
qwen-2.5-14b-instruct,absld,mean_1.5sd,0.000272,1003400,1.529702,0.999723,,
qwen-2.5-14b-instruct,absld_celld,mean_1.5sd,0.000254,1030640,1.529702,0.999723,,
gemma-2-9b-it,standard,p95,0.003892,11792,2.326069,0.997732,,
gemma-2-9b-it,celld,p95,0.000959,51872,2.326069,0.997732,,
gemma-2-9b-it,absld,mean_1.5sd,0.000256,122336,2.326069,0.997732,,
gemma-2-9b-it,absld_celld,mean_1.5sd,0.000241,125328,2.326069,0.997732,,
