model,ratio_label,n_C,n_D,mean_abs_C,mean_abs_D,gap,mwu_U,mwu_p_one_sided,bonferroni_alpha,bonferroni_significant,direction_C_gt_D
llama-3.1-8b-instruct,r0.05,120,120,0.08020833333333334,0.034375,0.04583333333333334,9059.5,2.6392979693307132e-05,0.00625,True,True
llama-3.1-8b-instruct,r0.10,120,120,0.165625,0.03958333333333333,0.12604166666666666,11039.5,5.126977078631544e-15,0.00625,True,True
llama-3.1-8b-instruct,saturation,120,120,0.16979166666666667,0.041666666666666664,0.12812500000000002,10927.0,3.226505304655219e-14,0.00625,True,True
gemma-2-9b-it,r0.05,120,120,0.06041666666666667,0.04791666666666667,0.012499999999999997,7766.0,0.1102355287785391,0.00625,False,True
gemma-2-9b-it,r0.10,120,120,0.11666666666666667,0.05520833333333333,0.06145833333333334,9329.5,6.173504613362049e-06,0.00625,True,True
gemma-2-9b-it,saturation,120,120,0.13645833333333332,0.071875,0.06458333333333333,9210.0,2.5173357531776843e-05,0.00625,True,True
qwen-2.5-7b-instruct,r0.05,120,120,0.15208333333333332,0.08854166666666667,0.06354166666666665,9181.0,3.8637183199248485e-05,0.00625,True,True
qwen-2.5-7b-instruct,r0.10,120,120,0.353125,0.084375,0.26875000000000004,11692.0,2.5317851314647425e-18,0.00625,True,True
qwen-2.5-7b-instruct,saturation,120,120,0.51875,0.09479166666666666,0.4239583333333334,12546.5,5.632514977494102e-25,0.00625,True,True
qwen-2.5-14b-instruct,r0.05,120,120,0.309375,0.15833333333333333,0.15104166666666669,9553.5,3.6553285580122142e-06,0.00625,True,True
qwen-2.5-14b-instruct,r0.10,120,120,0.890625,0.18541666666666667,0.7052083333333333,12307.0,3.765351073681329e-22,0.00625,True,True
qwen-2.5-14b-instruct,saturation,120,120,4.003125,0.203125,3.8,13823.0,1.6309680716752972e-35,0.00625,True,True
olmo-2-13b-instruct,r0.05,120,120,0.11171875,0.03854166666666667,0.07317708333333334,10925.5,8.309331461500362e-13,0.00625,True,True
olmo-2-13b-instruct,r0.10,120,120,0.14505208333333333,0.04401041666666667,0.10104166666666667,11236.0,1.4808671156150367e-14,0.00625,True,True
olmo-2-13b-instruct,saturation,120,120,0.1578125,0.053385416666666664,0.10442708333333334,10897.0,1.7663661209323703e-12,0.00625,True,True
gpt-j-6b-fp32,r0.05,120,120,0.062230205535888636,0.0030121723810831243,0.05921803315480551,13627.0,3.238251213259615e-33,0.00625,True,True
gpt-j-6b-fp32,r0.10,120,120,0.06269333362579342,0.010697778065999301,0.05199555555979412,11971.5,3.599556679330034e-19,0.00625,True,True
gpt-j-6b-fp32,saturation,120,120,0.06269333362579342,0.004177188873290969,0.058516144752502455,13227.5,1.876737179786101e-29,0.00625,True,True
gemma-3-27b-it,r0.05,120,120,0.30625,0.23333333333333334,0.07291666666666669,8159.0,0.028378600066858863,0.00625,False,True
gemma-3-27b-it,r0.10,120,120,0.41875,0.21666666666666667,0.20208333333333334,9283.5,2.247021265879153e-05,0.00625,True,True
gemma-3-27b-it,saturation,120,120,0.5145833333333333,0.2625,0.25208333333333327,9789.0,2.507872424468206e-07,0.00625,True,True
llama-3.1-70b-instruct-4bit,r0.05,120,120,0.2760416666666667,0.036458333333333336,0.23958333333333334,12575.0,3.128929561606537e-26,0.00625,True,True
llama-3.1-70b-instruct-4bit,r0.10,120,120,0.6125,0.03229166666666667,0.5802083333333333,13017.5,3.9722019416848094e-30,0.00625,True,True
llama-3.1-70b-instruct-4bit,saturation,120,120,0.8614583333333333,0.042708333333333334,0.81875,13170.5,6.5127715704874185e-31,0.00625,True,True
