model,group,ratio_label,k,k_actual,ratio,n_trials,mean_abs_delta_target,median_abs_delta_target,mean_signed_delta_target,mean_abs_delta_source,mean_signed_delta_source,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median,total_heads
llama-3.1-8b-instruct,C_p_imp_asc,r0.05,51,51,0.05,120,0.06354166666666666,0.0,-0.021875,0.3395182291666667,0.12272135416666667,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
llama-3.1-8b-instruct,D_p_imp_asc,r0.05,51,51,0.05,120,0.027083333333333334,0.0,0.004166666666666667,0.07337239583333334,-0.047591145833333334,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
llama-3.1-8b-instruct,C_p_imp_asc,r0.09180,94,94,0.091796875,120,0.06666666666666667,0.0,-0.010416666666666666,0.29928385416666664,-0.0650390625,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
llama-3.1-8b-instruct,D_p_imp_asc,r0.09180,94,94,0.091796875,120,0.034375,0.0,-0.007291666666666667,0.06471354166666667,0.015494791666666667,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
llama-3.1-8b-instruct,C_p_imp_asc,r0.10,102,94,0.1,120,0.06666666666666667,0.0,-0.010416666666666666,0.29928385416666664,-0.0650390625,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
llama-3.1-8b-instruct,D_p_imp_asc,r0.10,102,102,0.1,120,0.03333333333333333,0.0,0.008333333333333333,0.06614583333333333,-0.0109375,94,348,418,164,0.0291666666666666,0.2509546428918838,1024
gemma-2-9b-it,C_p_imp_asc,r0.05,33,33,0.05,120,0.057291666666666664,0.0,0.011458333333333333,0.22442220052083334,-0.2223388671875,86,229,250,107,0.0354166666666666,1.781640708446503,672
gemma-2-9b-it,D_p_imp_asc,r0.05,33,33,0.05,120,0.040625,0.0,0.003125,0.06615397135416666,-0.03939615885416667,86,229,250,107,0.0354166666666666,1.781640708446503,672
gemma-2-9b-it,C_p_imp_asc,r0.10,67,67,0.1,120,0.09270833333333334,0.125,-0.026041666666666668,0.23434117635091145,-0.21105016072591146,86,229,250,107,0.0354166666666666,1.781640708446503,672
gemma-2-9b-it,D_p_imp_asc,r0.10,67,67,0.1,120,0.04583333333333333,0.0,-0.0020833333333333333,0.07238972981770833,0.011226399739583334,86,229,250,107,0.0354166666666666,1.781640708446503,672
gemma-2-9b-it,C_p_imp_asc,r0.12798,86,86,0.1279761904761904,120,0.09375,0.125,-0.0375,0.24954020182291667,-0.08032633463541666,86,229,250,107,0.0354166666666666,1.781640708446503,672
gemma-2-9b-it,D_p_imp_asc,r0.12798,86,86,0.1279761904761904,120,0.06041666666666667,0.0,-0.03333333333333333,0.08512369791666667,0.014778645833333333,86,229,250,107,0.0354166666666666,1.781640708446503,672
qwen-2.5-7b-instruct,C_p_imp_asc,r0.05,39,39,0.05,120,0.15208333333333332,0.125,-0.04791666666666667,0.233984375,0.130078125,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-7b-instruct,D_p_imp_asc,r0.05,39,39,0.05,120,0.08854166666666667,0.125,-0.028125,0.09524739583333333,0.05162760416666667,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-7b-instruct,C_p_imp_asc,r0.10,78,78,0.1,120,0.353125,0.25,-0.25104166666666666,0.5548828125,0.4944661458333333,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-7b-instruct,D_p_imp_asc,r0.10,78,78,0.1,120,0.084375,0.125,-0.015625,0.1056640625,0.07805989583333334,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-7b-instruct,C_p_imp_asc,r0.15434,121,121,0.1543367346938775,120,0.51875,0.375,-0.42083333333333334,0.7521484375,0.7104817708333333,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-7b-instruct,D_p_imp_asc,r0.15434,121,121,0.1543367346938775,120,0.09479166666666666,0.125,0.005208333333333333,0.10201822916666667,0.05970052083333333,121,264,271,128,0.065625,0.7376671731472015,784
qwen-2.5-14b-instruct,C_p_imp_asc,r0.05,96,96,0.05,120,0.309375,0.25,-0.17395833333333333,0.5459635416666667,0.47356770833333334,435,500,525,460,0.11875,0.5994039177894592,1920
qwen-2.5-14b-instruct,D_p_imp_asc,r0.05,96,96,0.05,120,0.15833333333333333,0.125,-0.004166666666666667,0.13723958333333333,0.09973958333333334,435,500,525,460,0.11875,0.5994039177894592,1920
qwen-2.5-14b-instruct,C_p_imp_asc,r0.10,192,192,0.1,120,0.890625,0.75,-0.809375,1.6033854166666666,1.59921875,435,500,525,460,0.11875,0.5994039177894592,1920
qwen-2.5-14b-instruct,D_p_imp_asc,r0.10,192,192,0.1,120,0.18541666666666667,0.125,0.04791666666666667,0.15208333333333332,0.11458333333333333,435,500,525,460,0.11875,0.5994039177894592,1920
qwen-2.5-14b-instruct,C_p_imp_asc,r0.22656,435,435,0.2265625,120,4.003125,4.0,-3.8197916666666667,5.38203125,5.361197916666667,435,500,525,460,0.11875,0.5994039177894592,1920
qwen-2.5-14b-instruct,D_p_imp_asc,r0.22656,435,435,0.2265625,120,0.203125,0.25,0.078125,0.18736979166666667,0.158203125,435,500,525,460,0.11875,0.5994039177894592,1920
gemma-3-27b-it,C_p_imp_asc,r0.05,94,94,0.05,120,0.2604166666666667,0.25,-0.09791666666666667,0.29192708333333334,-0.14765625,388,567,604,425,0.1770833333333333,1.808452010154724,1984
gemma-3-27b-it,D_p_imp_asc,r0.05,94,94,0.05,120,0.19791666666666666,0.25,0.027083333333333334,0.15963541666666667,0.07630208333333334,388,567,604,425,0.1770833333333333,1.808452010154724,1984
gemma-3-27b-it,C_p_imp_asc,r0.10,188,188,0.1,120,0.3333333333333333,0.25,-0.004166666666666667,0.37734375,0.021614583333333333,388,567,604,425,0.1770833333333333,1.808452010154724,1984
gemma-3-27b-it,D_p_imp_asc,r0.10,188,188,0.1,120,0.2520833333333333,0.25,0.07291666666666667,0.20807291666666666,-0.02265625,388,567,604,425,0.1770833333333333,1.808452010154724,1984
gemma-3-27b-it,C_p_imp_asc,r0.20584,388,388,0.2058355437665782,120,1.0479166666666666,0.75,-0.75625,2.5690104166666665,2.49296875,388,567,604,425,0.1770833333333333,1.808452010154724,1984
gemma-3-27b-it,D_p_imp_asc,r0.20584,388,388,0.2058355437665782,120,0.375,0.25,0.15833333333333333,0.23776041666666667,0.11848958333333333,388,567,604,425,0.1770833333333333,1.808452010154724,1984
olmo-2-13b-instruct,C_p_imp_asc,r0.05,80,80,0.05,120,0.11171875,0.09375,-0.07890625,0.13506673177083334,0.07793782552083334,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
olmo-2-13b-instruct,D_p_imp_asc,r0.05,80,80,0.05,120,0.03854166666666667,0.03125,-0.022916666666666665,0.06612955729166667,-0.028141276041666666,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
olmo-2-13b-instruct,C_p_imp_asc,r0.10,160,160,0.1,120,0.14505208333333333,0.125,-0.10182291666666667,0.27317708333333335,0.13343098958333333,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
olmo-2-13b-instruct,D_p_imp_asc,r0.10,160,160,0.1,120,0.04401041666666667,0.03125,-0.026302083333333334,0.10677897135416667,-0.07578938802083333,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
olmo-2-13b-instruct,C_p_imp_asc,r0.13187,211,211,0.131875,120,0.1578125,0.125,-0.11770833333333333,0.4876607259114583,0.458135986328125,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
olmo-2-13b-instruct,D_p_imp_asc,r0.13187,211,211,0.131875,120,0.053385416666666664,0.0625,-0.027864583333333335,0.0953125,-0.052571614583333336,211,555,589,245,0.0213541666666666,0.4007368832826614,1600
gpt-j-6b-fp32,C_p_imp_asc,r0.05,22,22,0.05,120,0.062230205535888636,0.0352659225463867,-0.037964153289794925,0.05845159490903215,0.050700455904006944,26,198,198,26,0.0079182346661885,1.0258870124816897,448
gpt-j-6b-fp32,D_p_imp_asc,r0.05,22,22,0.05,120,0.0030121723810831243,0.00186681747436515,0.0006069898605346646,0.007060345013936318,-0.00645762284596759,26,198,198,26,0.0079182346661885,1.0258870124816897,448
gpt-j-6b-fp32,C_p_imp_asc,r0.05804,26,26,0.0580357142857142,120,0.06269333362579342,0.03770351409912105,-0.03133375644683838,0.06249801516532894,0.05524594982465105,26,198,198,26,0.0079182346661885,1.0258870124816897,448
gpt-j-6b-fp32,D_p_imp_asc,r0.05804,26,26,0.0580357142857142,120,0.004177188873290969,0.0022230148315429002,0.0020211219787597476,0.008126902580261176,-0.00676035881042478,26,198,198,26,0.0079182346661885,1.0258870124816897,448
gpt-j-6b-fp32,C_p_imp_asc,r0.10,44,26,0.1,120,0.06269333362579342,0.03770351409912105,-0.03133375644683838,0.06249801516532894,0.05524594982465105,26,198,198,26,0.0079182346661885,1.0258870124816897,448
gpt-j-6b-fp32,D_p_imp_asc,r0.10,44,44,0.1,120,0.010697778065999301,0.006502628326416,0.00844480196634927,0.01277133226394649,-0.008844816684722891,26,198,198,26,0.0079182346661885,1.0258870124816897,448
llama-3.1-70b-instruct-4bit,C_p_imp_asc,r0.05,256,256,0.05,120,0.18020833333333333,0.125,-0.07395833333333333,1.4908203125,-1.4908203125,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
llama-3.1-70b-instruct-4bit,D_p_imp_asc,r0.05,256,256,0.05,120,0.03854166666666667,0.0,-0.019791666666666666,0.0427734375,-0.014388020833333333,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
llama-3.1-70b-instruct-4bit,C_p_imp_asc,r0.10,512,512,0.1,120,0.28020833333333334,0.25,-0.14895833333333333,1.5547932942708333,-1.5547932942708333,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
llama-3.1-70b-instruct-4bit,D_p_imp_asc,r0.10,512,512,0.1,120,0.03958333333333333,0.0,-0.010416666666666666,0.04241536458333333,-0.01962890625,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
llama-3.1-70b-instruct-4bit,C_p_imp_asc,r0.19414,994,994,0.194140625,120,0.6020833333333333,0.625,-0.4666666666666667,1.5009765625,-0.9400390625,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
llama-3.1-70b-instruct-4bit,D_p_imp_asc,r0.19414,994,994,0.194140625,120,0.035416666666666666,0.0,-0.008333333333333333,0.04986979166666667,-0.022786458333333332,994,1426,1566,1134,0.0322916666666666,0.0337541755288839,5120
