model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair0,P,-0.0002689361572265
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair0,Q,0.0005311965942382
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair1,P,0.0001258850097656
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair1,Q,-0.0006742477416992
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair2,P,-0.0007276535034179
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair2,Q,-0.0002269744873046
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair3,P,0.001220703125
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair3,Q,0.0001688003540039
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair4,P,-0.0004262924194335
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair4,Q,0.0006189346313476
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair5,P,-0.0007133483886718
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair5,Q,0.0014114379882812
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair6,P,-0.0008916854858398
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair6,Q,0.0008401870727539
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair7,P,0.000288963317871
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair7,Q,-0.0005817413330078
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair8,P,-0.0002069473266601
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair8,Q,-0.0002613067626953
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair9,P,-0.0001707077026367
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-OPP,pair9,Q,-0.0005397796630859
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair0,P,-0.0021572113037109
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair0,Q,-0.004220962524414
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair1,P,-0.0059690475463867
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair1,Q,-0.0016126632690429
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair2,P,-0.0021343231201171
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair2,Q,-0.0013694763183593
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair3,P,-0.0496959686279296
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair3,Q,-0.0801048278808593
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair4,P,0.0002126693725585
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair4,Q,-0.0005483627319335
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair5,P,0.1692161560058593
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair5,Q,0.0034990310668945
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair6,P,-0.0038928985595703
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair6,Q,-0.0166940689086914
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair7,P,-0.0005178451538085
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair7,Q,-3.337860107421875e-05
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair8,P,-0.0353851318359375
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair8,Q,-0.0776815414428711
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair9,P,-0.009261131286621
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-MORE,pair9,Q,-0.0166511535644531
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair0,P,-0.0046272277832031
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair0,Q,-0.0040388107299804
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair1,P,0.0039691925048828
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair1,Q,0.0069751739501953
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair2,P,-0.0009880065917968
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair2,Q,-0.0024394989013671
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair3,P,-0.0395917892456054
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair3,Q,-0.0452957153320312
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair4,P,0.0011758804321289
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair4,Q,0.001129150390625
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair5,P,0.0195503234863281
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair5,Q,0.0112457275390625
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair6,P,-0.0063943862915039
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair6,Q,-0.0070905685424804
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair7,P,0.0011653900146484
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair7,Q,0.0031242370605468
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair8,P,-0.0054559707641601
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair8,Q,-0.0016984939575195
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair9,P,-0.002638816833496
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,SAME-LESS,pair9,Q,-0.0074186325073242
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair0,P,-0.0010194778442382
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair0,Q,-0.0035810470581054
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair1,P,-0.0055618286132812
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair1,Q,-0.0018281936645507
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair2,P,-0.0015945434570312
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair2,Q,-0.0010747909545898
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair3,P,-0.049264907836914
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair3,Q,-0.0845718383789062
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair4,P,0.0004167556762695
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair4,Q,-0.0003719329833984
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair5,P,0.1048507690429687
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair5,Q,-0.0355749130249023
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair6,P,-0.0026121139526367
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair6,Q,-0.0163097381591796
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair7,P,6.771087646484375e-05
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair7,Q,0.0001039505004882
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair8,P,-0.0358381271362304
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair8,Q,-0.0747518539428711
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair9,P,-0.008554458618164
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-MORE,pair9,Q,-0.0161075592041015
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair0,P,-0.0048189163208007
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair0,Q,-0.0043601989746093
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair1,P,0.0051794052124023
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair1,Q,0.0068187713623046
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair2,P,-0.0019969940185546
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair2,Q,-0.0031518936157226
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair3,P,-0.0394744873046875
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair3,Q,-0.0473489761352539
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair4,P,0.001133918762207
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair4,Q,0.0003767013549804
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair5,P,0.0144987106323242
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair5,Q,0.0076370239257812
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair6,P,-0.0080394744873046
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair6,Q,-0.0085792541503906
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair7,P,0.0016126632690429
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair7,Q,0.0031538009643554
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair8,P,-0.0064611434936523
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair8,Q,-0.0033082962036132
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair9,P,-0.0023078918457031
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,OPP-LESS,pair9,Q,-0.0073909759521484
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair0,P,0.0004358291625976
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair0,Q,0.0001420974731445
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair1,P,0.0018682479858398
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair1,Q,0.0008716583251953
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair2,P,0.0003957748413085
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair2,Q,6.771087646484375e-05
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair3,P,-0.0040273666381835
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair3,Q,-0.0064163208007812
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair4,P,0.0009880065917968
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair4,Q,0.000558853149414
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair5,P,0.0012950897216796
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair5,Q,0.0009469985961914
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair6,P,0.0008201599121093
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair6,Q,0.0006999969482421
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair7,P,0.0008916854858398
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair7,Q,0.000929832458496
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair8,P,-0.0020170211791992
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair8,Q,-0.0023870468139648
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair9,P,0.0012416839599609
gpt-j-6b-fp32,diag_zscore_asc,0.01,5,5,MORE-LESS,pair9,Q,0.0002298355102539
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair0,P,-0.000406265258789
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair0,Q,-0.0002574920654296
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair1,P,-0.0008192062377929
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair1,Q,-0.0016155242919921
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair2,P,-0.0011358261108398
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair2,Q,-0.000584602355957
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair3,P,-0.0004663467407226
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair3,Q,-3.62396240234375e-05
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair4,P,-0.0004510879516601
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair4,Q,-0.0002269744873046
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair5,P,-0.0012063980102539
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair5,Q,-0.0013408660888671
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair6,P,-0.0010938644409179
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair6,Q,-0.0008745193481445
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair7,P,-0.0009307861328125
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair7,Q,-0.0014867782592773
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair8,P,0.0001192092895507
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair8,Q,-0.0010080337524414
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair9,P,-0.0001754760742187
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-OPP,pair9,Q,-0.0008935928344726
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair0,P,-0.0065565109252929
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair0,Q,-0.003645896911621
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair1,P,-0.0037298202514648
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair1,Q,-0.0026569366455078
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair2,P,-0.001922607421875
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair2,Q,-0.0009403228759765
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair3,P,-0.0046310424804687
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair3,Q,0.0004043579101562
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair4,P,0.0022516250610351
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair4,Q,0.0013341903686523
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair5,P,-0.0148096084594726
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair5,Q,-0.002166748046875
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair6,P,-0.0124769210815429
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair6,Q,-0.0050640106201171
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair7,P,-0.0011968612670898
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair7,Q,0.0003366470336914
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair8,P,-0.0083093643188476
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair8,Q,-0.000288963317871
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair9,P,-0.0029830932617187
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-MORE,pair9,Q,0.0009517669677734
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair0,P,0.0005121231079101
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair0,Q,0.0023775100708007
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair1,P,-0.0009384155273437
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair1,Q,0.0050764083862304
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair2,P,0.000380516052246
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair2,Q,0.0008668899536132
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair3,P,0.0013589859008789
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair3,Q,0.0013036727905273
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair4,P,0.0037250518798828
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair4,Q,0.0060272216796875
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair5,P,0.0066680908203125
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair5,Q,0.0091934204101562
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair6,P,-0.0014047622680664
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair6,Q,-0.0007257461547851
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair7,P,0.0048122406005859
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair7,Q,0.0065240859985351
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair8,P,-0.0042219161987304
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair8,Q,0.0029115676879882
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair9,P,0.005253791809082
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,SAME-LESS,pair9,Q,0.008244514465332
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair0,P,-0.0043849945068359
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair0,Q,-0.0015668869018554
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair1,P,-0.003946304321289
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair1,Q,-0.0037002563476562
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair2,P,-0.0015287399291992
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair2,Q,-0.0005531311035156
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair3,P,-0.0046653747558593
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair3,Q,-0.0015411376953125
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair4,P,0.0015821456909179
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair4,Q,0.001321792602539
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair5,P,-0.0153846740722656
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair5,Q,-0.0019464492797851
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair6,P,-0.010293960571289
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair6,Q,-0.0033626556396484
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair7,P,-0.0006971359252929
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair7,Q,0.00152587890625
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair8,P,-0.0076150894165039
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair8,Q,0.0006227493286132
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair9,P,-0.0009937286376953
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-MORE,pair9,Q,0.001082420349121
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair0,P,0.0003881454467773
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair0,Q,0.0022916793823242
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair1,P,-0.0004663467407226
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair1,Q,0.004683494567871
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair2,P,-0.0016422271728515
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair2,Q,-0.00018310546875
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair3,P,0.0020923614501953
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair3,Q,0.0011682510375976
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair4,P,0.0024127960205078
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair4,Q,0.0045900344848632
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair5,P,0.007211685180664
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair5,Q,0.0099115371704101
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair6,P,-0.0016193389892578
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair6,Q,-0.0015077590942382
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair7,P,0.0040597915649414
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair7,Q,0.0060405731201171
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair8,P,-0.0058622360229492
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair8,Q,0.0013685226440429
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair9,P,0.0067348480224609
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,OPP-LESS,pair9,Q,0.0089616775512695
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair0,P,0.0006418228149414
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair0,Q,0.0002737045288085
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair1,P,0.000554084777832
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair1,Q,-6.008148193359375e-05
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair2,P,-0.0005416870117187
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair2,Q,-0.0006771087646484
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair3,P,0.0009984970092773
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair3,Q,0.0004997253417968
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair4,P,0.0012569427490234
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair4,Q,0.0006799697875976
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair5,P,-0.0021839141845703
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair5,Q,-0.0016889572143554
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair6,P,0.000946044921875
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair6,Q,0.0008401870727539
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair7,P,-0.0008316040039062
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair7,Q,-0.0007486343383789
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair8,P,-0.0020246505737304
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair8,Q,-0.0042552947998046
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair9,P,0.0009613037109375
gpt-j-6b-fp32,diag_rank_asc,0.01,5,5,MORE-LESS,pair9,Q,0.0008230209350585
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair0,P,0.0059232711791992
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair0,Q,0.003875732421875
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair1,P,0.0011930465698242
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair1,Q,-0.0054883956909179
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair2,P,0.0013294219970703
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair2,Q,-0.0025911331176757
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair3,P,-0.0004129409790039
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair3,Q,-0.0050039291381835
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair4,P,-0.0028839111328125
gpt-j-6b-fp32,diag_zscore_asc,0.03,14,14,SAME-OPP,pair4,Q,-0.0062065124511718
