model,group,ratio,n_trials,mean_abs_delta,mean_signed_delta,median_abs_delta
gpt-j-6b-fp32,diag_zscore_asc,0.05,120,0.02868,-0.012117,0.014529
gpt-j-6b-fp32,diag_zscore_asc,0.1,120,0.068053,-0.047589,0.036292
gpt-j-6b-fp32,diag_zscore_asc,0.15,120,0.161598,-0.1306,0.095877
gpt-j-6b-fp32,diag_zscore_asc,0.2,120,0.207374,-0.199237,0.120193
gpt-j-6b-fp32,diag_rank_asc,0.05,120,0.007033,-0.001787,0.002913
gpt-j-6b-fp32,diag_rank_asc,0.1,120,0.025475,0.000631,0.016735
gpt-j-6b-fp32,diag_rank_asc,0.15,120,0.063485,-0.030401,0.024825
gpt-j-6b-fp32,diag_rank_asc,0.2,120,0.16186,-0.130431,0.089811
gemma-3-27b-it,diag_zscore_asc,0.05,120,0.166667,0.05,0.0
gemma-3-27b-it,diag_zscore_asc,0.1,120,0.835417,-0.485417,0.5
gemma-3-27b-it,diag_zscore_asc,0.15,120,1.8375,-1.591667,1.0
gemma-3-27b-it,diag_zscore_asc,0.2,120,3.35625,-3.172917,2.25
gemma-3-27b-it,diag_rank_asc,0.05,120,0.0875,0.008333,0.0
gemma-3-27b-it,diag_rank_asc,0.1,120,0.114583,-0.002083,0.0
gemma-3-27b-it,diag_rank_asc,0.15,120,0.147917,-0.04375,0.25
gemma-3-27b-it,diag_rank_asc,0.2,120,0.5375,-0.258333,0.5
llama-3.1-8b-instruct,diag_zscore_asc,0.05,120,0.082292,-0.078125,0.0
llama-3.1-8b-instruct,diag_zscore_asc,0.1,120,0.408854,-0.375521,0.25
llama-3.1-8b-instruct,diag_zscore_asc,0.15,120,0.479687,-0.413021,0.25
llama-3.1-8b-instruct,diag_zscore_asc,0.2,120,0.595313,-0.557813,0.375
llama-3.1-8b-instruct,diag_rank_asc,0.05,120,0.020833,0.002083,0.0
llama-3.1-8b-instruct,diag_rank_asc,0.1,120,0.03125,0.00625,0.0
llama-3.1-8b-instruct,diag_rank_asc,0.15,120,0.048958,-0.009375,0.0
llama-3.1-8b-instruct,diag_rank_asc,0.2,120,0.253646,-0.228646,0.125
llama-3.1-8b,diag_zscore_asc,0.05,120,0.071354,-0.050521,0.0625
llama-3.1-8b,diag_zscore_asc,0.1,120,0.121875,-0.090625,0.0625
llama-3.1-8b,diag_zscore_asc,0.15,120,0.320312,-0.297396,0.1875
llama-3.1-8b,diag_zscore_asc,0.2,120,0.380729,-0.360938,0.25
llama-3.1-8b,diag_rank_asc,0.05,120,0.035417,-0.008333,0.0625
llama-3.1-8b,diag_rank_asc,0.1,120,0.034896,-0.013021,0.0625
llama-3.1-8b,diag_rank_asc,0.15,120,0.078125,-0.05625,0.0625
llama-3.1-8b,diag_rank_asc,0.2,120,0.130208,-0.1,0.0625
llama-3.1-70b-instruct-4bit,diag_zscore_asc,0.05,120,0.016667,0.004167,0.0
llama-3.1-70b-instruct-4bit,diag_zscore_asc,0.1,120,0.072917,-0.016667,0.0
llama-3.1-70b-instruct-4bit,diag_zscore_asc,0.15,120,0.134375,-0.063542,0.125
llama-3.1-70b-instruct-4bit,diag_zscore_asc,0.2,120,0.144792,-0.032292,0.125
