layer,head,imp,pert,cell_global,cell_within,effect
0,0,0.13496895134449,7.950009346008301,C,D,0.1125
0,1,0.0460355021059513,19.773595809936523,C,D,0.1125
0,2,0.5051085352897644,38.982643127441406,A,A,0.11458333333333333
0,3,0.1015674248337745,21.10025978088379,C,D,0.12916666666666668
0,4,0.0164420269429683,29.99297523498535,C,C,0.10625
0,5,0.0548711754381656,15.6471529006958,C,D,0.11041666666666666
0,6,0.509880781173706,0.8730504512786865,B,B,0.09583333333333334
0,7,0.0621951483190059,18.522499084472656,C,D,0.1
0,8,0.0612397082149982,16.632658004760742,C,D,0.09166666666666666
0,9,0.0733640789985656,18.158203125,C,D,0.10833333333333334
0,10,0.1216113492846489,45.291900634765625,C,C,0.10625
0,11,0.2304633855819702,6.378967761993408,C,B,0.09791666666666667
0,12,0.1606078296899795,30.80364227294922,C,C,0.09791666666666667
0,13,0.1460323333740234,2.041524648666382,C,D,0.09583333333333334
0,14,0.470058798789978,38.96610641479492,C,A,0.11875
0,15,0.3560205698013305,35.37189483642578,C,A,0.09791666666666667
0,16,0.0581331923604011,35.76887893676758,C,C,0.09166666666666666
0,17,0.0,4.706906318664551,C,D,0.09375
0,18,0.3959010541439056,27.213701248168945,C,A,0.09375
0,19,0.2722601294517517,25.493112564086918,C,A,0.09791666666666667
0,20,0.0473684109747409,17.73418426513672,C,D,0.10208333333333333
0,21,0.2173685729503631,61.716190338134766,C,A,0.09583333333333334
0,22,0.0364891961216926,38.35202407836914,C,C,0.10416666666666667
0,23,0.2199909687042236,7.33703088760376,C,B,0.1
0,24,0.336637794971466,57.7717399597168,C,A,0.10416666666666667
0,25,0.2299036085605621,24.827411651611328,C,B,0.09375
0,26,0.203883945941925,28.06827545166016,C,A,0.10416666666666667
0,27,0.0412956289947032,30.705307006835938,C,C,0.10625
0,28,0.2045516222715377,2.758949279785156,C,B,0.10416666666666667
0,29,0.3180176615715027,80.08799743652344,C,A,0.08541666666666667
0,30,0.3591789603233337,26.651857376098636,C,A,0.09375
0,31,0.3513184487819671,10.076375961303713,C,B,0.08541666666666667
1,0,0.0,0.0037525976076722,D,D,0.041666666666666664
1,1,0.1417169868946075,0.0103821139782667,D,B,0.06041666666666667
1,2,0.1789260059595108,0.0017132204957306,D,B,0.008333333333333333
1,3,0.1789260059595108,0.0017132204957306,D,B,0.016666666666666666
1,4,0.0710555016994476,3.162947177886963,C,C,0.08541666666666667
1,5,0.1089266389608383,0.0619379505515098,D,B,0.08958333333333333
1,6,0.2847755551338196,4.519552707672119,C,A,0.10833333333333334
1,7,0.1767150461673736,2.3875200748443604,C,A,0.08541666666666667
1,8,0.0475402623414993,0.0027078296989202,D,D,0.025
1,9,0.0475402623414993,0.0027078296989202,D,D,0.029166666666666667
1,10,0.0844282954931259,7.4712724685668945,C,A,0.11041666666666666
1,11,0.034083753824234,5.347393989562988,C,C,0.1
1,12,0.1395099461078643,2.16536021232605,C,A,0.09791666666666667
1,13,0.2734135389328003,5.283962249755859,C,A,0.11041666666666666
1,14,0.1249722465872764,0.0513129532337188,D,B,0.07916666666666666
1,15,0.2191709578037262,6.78776741027832,C,A,0.10625
1,16,0.1153858006000518,0.008985404856503,D,B,0.029166666666666667
1,17,0.1153858006000518,0.008985404856503,D,B,0.041666666666666664
1,18,0.1926350146532058,0.004792642313987,D,B,0.025
1,19,0.0156291276216506,1.6692206859588623,D,D,0.08958333333333333
1,20,0.4833977222442627,5.976260662078857,C,A,0.09375
1,21,0.4836356043815613,15.704744338989258,C,A,0.08958333333333333
1,22,0.0445946007966995,0.0020730181131511,D,D,0.020833333333333332
1,23,0.0445946007966995,0.0020730181131511,D,D,0.0125
1,24,0.0042111352086067,4.649653911590576,C,C,0.09583333333333334
1,25,0.0288638174533844,6.40451192855835,C,C,0.1
1,26,0.021462257951498,2.1521286964416504,C,C,0.10625
1,27,0.0252275578677654,1.964869737625122,C,C,0.11041666666666666
1,28,0.0135110104456543,0.1997518986463546,D,D,0.12083333333333333
1,29,0.0,1.4112927913665771,D,D,0.10208333333333333
1,30,0.0,6.808315277099609,C,C,0.10208333333333333
1,31,0.0261186212301254,9.968167304992676,C,C,0.08958333333333333
2,0,0.0127905439585447,0.9410493969917296,D,C,0.09583333333333334
2,1,0.2787413895130157,1.4722620248794556,D,A,0.08333333333333333
2,2,0.1075727269053459,0.4740112125873565,D,B,0.10416666666666667
2,3,0.067540057003498,1.4861547946929932,D,A,0.09583333333333334
2,4,0.0037195105105638,0.9767181873321532,D,C,0.09166666666666666
2,5,0.0036921016871929,0.8416958451271057,D,D,0.10833333333333334
2,6,0.0064971297979354,0.0006701294914819,D,D,0.041666666666666664
2,7,0.0542499125003814,0.0010751504451036,D,B,0.041666666666666664
2,8,0.4878056645393371,2.954545259475708,C,A,0.10625
2,9,0.028196558356285,1.207131266593933,D,C,0.10416666666666667
2,10,0.1041063666343689,1.65369975566864,D,A,0.08541666666666667
2,11,0.0168304312974214,1.0223307609558103,D,C,0.11041666666666666
2,12,0.3383327424526214,0.0173550192266702,D,B,0.10208333333333333
2,13,0.2978157997131347,0.423501968383789,D,B,0.1125
2,14,0.0130875241011381,0.0476819835603237,D,D,0.08125
2,15,0.2839387059211731,0.4179140329360962,D,B,0.08958333333333333
2,16,0.2320748269557953,0.0013476517051458,D,B,0.05
2,17,0.0039512515068054,1.103156566619873,D,C,0.10208333333333333
2,18,0.0457063540816307,1.2007120847702026,D,A,0.09375
2,19,0.0144566390663385,0.960780680179596,D,C,0.10833333333333334
2,20,0.1781988143920898,0.0008432524628005,D,B,0.04583333333333333
2,21,0.3525371253490448,0.0008504597353748,D,B,0.0625
2,22,0.0080665973946452,1.2640142440795898,D,C,0.0875
2,23,0.0093425717204809,0.2407023310661316,D,D,0.1125
2,24,0.0345240943133831,0.7706510424613953,D,D,0.09166666666666666
2,25,0.0401056930422782,1.2347252368927002,D,A,0.11041666666666666
2,26,0.0032036155462265,1.0911520719528198,D,C,0.09791666666666667
2,27,0.0683718472719192,0.0207234527915716,D,B,0.11041666666666666
2,28,0.0173077099025249,1.23103666305542,D,C,0.10208333333333333
2,29,0.2453257441520691,0.0069904448464512,D,B,0.08333333333333333
2,30,0.0277079045772552,0.3122033178806305,D,D,0.12083333333333333
2,31,0.0041189300827682,1.1890426874160769,D,C,0.11458333333333333
3,0,0.3524897396564483,0.0031410900410264,D,A,0.004166666666666667
3,1,0.3524897396564483,0.0031410900410264,D,A,0.020833333333333332
3,2,0.3860613405704498,0.0031874908600002,D,A,0.008333333333333333
3,3,0.343624860048294,3.087785482406616,C,A,0.1125
3,4,0.2463690340518951,0.0027202644851058,D,B,0.004166666666666667
3,5,0.2463690340518951,0.0027202644851058,D,B,0.016666666666666666
3,6,0.0273280497640371,2.0798704624176025,C,C,0.11041666666666666
3,7,0.0292391590774059,2.06472110748291,C,C,0.09375
3,8,0.0,0.0028475450817495,D,D,0.0125
3,9,0.0,0.0028475450817495,D,D,0.020833333333333332
3,10,0.0501239970326423,2.111543893814087,C,C,0.11666666666666667
3,11,0.0154895195737481,1.791352391242981,C,C,0.08541666666666667
3,12,0.1153858006000518,0.0030386762227863,D,C,0.016666666666666666
3,13,0.1153858006000518,0.0030386762227863,D,C,0.016666666666666666
3,14,0.1579709351062774,0.0024602736812084,D,B,0.016666666666666666
3,15,0.1579709351062774,0.0024602736812084,D,B,0.008333333333333333
3,16,0.1582686603069305,0.0023494123015552,D,B,0.025
3,17,0.1582686603069305,0.0023494123015552,D,B,0.025
3,18,0.1031860709190368,0.0054077175445854,D,C,0.03125
3,19,0.1163625195622444,3.104018449783325,C,C,0.0875
3,20,0.111224889755249,0.0024951067753136,D,D,0.025
3,21,0.111224889755249,0.0024951067753136,D,D,0.008333333333333333
3,22,0.0,0.0025134917814284,D,D,0.03333333333333333
3,23,0.0,0.0025134917814284,D,D,0.03333333333333333
3,24,0.0265310145914554,2.14492130279541,C,C,0.09166666666666666
3,25,0.1689799726009369,0.0077206525020301,D,A,0.03333333333333333
3,26,0.1979014128446579,2.0594427585601807,C,A,0.1125
3,27,0.1979014128446579,2.0594427585601807,C,A,0.1
