layer,head,imp,pert,cell_global,cell_within,effect
0,0,0.4310514032840729,0.0698712095618248,D,B,0.000452287991841604
0,1,0.4666914045810699,0.0363181866705417,B,B,0.0005763133366902319
0,2,0.2656216025352478,0.4370216727256775,D,C,0.004312952359517374
0,3,0.2362266480922699,0.0937885493040084,D,D,0.0007102171579996406
0,4,0.3024375736713409,0.0720246955752372,D,B,0.001127505302429162
0,5,0.2366008907556533,0.2049279063940048,D,C,0.0033885558446247895
0,6,0.2039432525634765,0.0977285057306289,D,D,0.0005723555882771451
0,7,0.0644560307264328,0.08121208101511,D,D,0.00113530953725176
0,8,0.216054305434227,0.1751411408185959,D,C,0.0033771673838297062
0,9,0.3176831901073456,0.1931817829608917,D,A,0.001704343159993446
0,10,0.3112261295318603,0.2054711580276489,D,A,0.0012278000513712148
0,11,0.108970433473587,0.3589812517166137,D,C,0.004035862286885532
0,12,0.2306892871856689,0.4649472832679748,D,C,0.0023052771886189296
0,13,0.3044798672199249,0.0430873371660709,D,B,0.00038916269938147713
0,14,0.3820876479148865,0.2813131511211395,D,A,0.0016630093256632002
0,15,0.4981478154659271,0.1201508268713951,B,B,0.0009347597757974868
1,0,0.4089493751525879,0.2570613324642181,D,B,0.0011629978815713992
1,1,0.3260719776153564,0.4867321252822876,D,C,0.004116233189900673
1,2,0.4479767680168152,0.2269155532121658,B,B,0.0014178673426309778
1,3,0.1927921772003173,0.5394460558891296,D,C,0.003133193651835079
1,4,0.365363597869873,0.1906493902206421,D,B,0.001953752835591592
1,5,0.1460911184549331,0.2958846688270569,D,C,0.0030894120534260597
1,6,0.1243556812405586,0.2117554098367691,D,D,0.004129584630330359
1,7,0.4365679919719696,0.3387471437454223,D,A,0.0017443418502807162
1,8,0.3663071393966675,0.304823100566864,D,A,0.0019589344660440617
1,9,0.2850953936576843,0.280415803194046,D,D,0.00146560668945308
1,10,0.1334116756916046,0.3446717858314514,D,C,0.001814802487691201
1,11,0.4862784147262573,0.2719416320323944,B,B,0.0020043293635049974
1,12,0.493179053068161,0.2840542495250702,B,B,0.001869360605875611
1,13,0.344635009765625,0.2899645566940307,D,D,0.0044213930765787295
1,14,0.2597178816795349,0.4545253217220306,D,C,0.004122527440388954
1,15,0.4285862743854522,0.3184975385665893,D,A,0.0016165256500243702
2,0,0.4864233434200287,1.3293936252593994,A,A,0.008320728937784778
2,1,0.3600388765335083,0.284874677658081,D,D,0.0017899672190347868
2,2,0.2372786402702331,0.2889487743377685,D,D,0.0018667459487914605
2,3,0.4838607609272003,0.406482070684433,B,A,0.008671633402506465
2,4,0.1348220109939575,0.8018125295639038,D,C,0.0033338387807209857
2,5,0.4575976431369781,0.3327548205852508,B,B,0.0015927553176879464
2,6,0.3797151148319244,0.5082260370254517,D,C,0.004787166913350383
2,7,0.3852054178714752,0.2821275591850281,D,D,0.0015828927357991129
2,8,0.1114160642027854,0.2735693752765655,D,D,0.0019747336705525282
2,9,0.4364015758037567,0.3373960554599762,D,B,0.0037894010543822764
2,10,0.4311922192573547,0.4550510048866272,D,A,0.005469671885172486
2,11,0.100302368402481,0.2715476155281067,D,D,0.0013173500696817579
2,12,0.4901214241981506,0.3465399742126465,B,A,0.0018297592798868366
2,13,0.4740941822528839,0.3618884086608886,B,A,0.004918988545735634
2,14,0.4365242123603821,0.3498915433883667,D,A,0.0020434061686197503
2,15,0.4153945446014404,0.2781990766525268,D,D,0.0018030961354573083
3,0,0.4168183207511902,0.6132737994194031,D,A,0.0068235635757445835
3,1,0.49616739153862,0.7334267497062683,B,A,0.003829169273376418
3,2,0.459308385848999,0.4758705496788025,B,B,0.0025861422220865423
3,3,0.2866117060184479,0.3076852262020111,D,D,0.003507637977600053
