layer,head,imp,pert,cell_global,cell_within,effect
0,0,1.7563477245796655e-05,0.080283336341381,B,C,1.7563477245796655e-05
0,1,0.0040998343257831,0.0004608006274793,B,B,0.0040998343257831
0,2,-0.0003576959975623,0.0531809888780117,D,D,0.0003576959975623
0,3,0.0013856192812423,0.0006729349261149,B,B,0.0013856192812423
0,4,-0.0001440700458172,0.0104951011016964,D,D,0.0001440700458172
0,5,0.0016561444597664,1.9911520212190222e-05,B,B,0.0016561444597664
0,6,-0.0001263453096038,0.1263728886842727,C,C,0.0001263453096038
0,7,0.0013091378993738,0.067794531583786,B,A,0.0013091378993738
0,8,0.0001965036755066,0.0168825723230838,B,D,0.0001965036755066
0,9,0.0002578599181091,0.06451877951622,B,A,0.0002578599181091
0,10,-0.0004125634313669,0.0546012222766876,D,C,0.0004125634313669
0,11,7.743984677630045e-05,0.0927207097411155,A,C,7.743984677630045e-05
1,0,0.0002156766324907,0.072487398982048,B,B,0.0002156766324907
1,1,6.347714366639057e-06,0.0802449807524681,D,D,6.347714366639057e-06
1,2,2.912565230245301e-05,0.073895089328289,B,D,2.912565230245301e-05
1,3,3.920333693144262e-05,0.0421046204864978,B,B,3.920333693144262e-05
1,4,2.3082309503180687e-05,0.0877711474895477,B,D,2.3082309503180687e-05
1,5,-0.0005912633696596,0.090187206864357,C,C,0.0005912633696596
1,6,4.4632408409184254e-05,0.187859833240509,A,A,4.4632408409184254e-05
1,7,0.0003414392692303,0.1839110404253006,A,A,0.0003414392692303
1,8,-2.0233177624784385e-05,0.2353285253047943,C,C,2.0233177624784385e-05
1,9,-3.1341396987155656e-05,0.1452096998691558,C,C,3.1341396987155656e-05
1,10,-5.057335312672051e-05,0.0944477841258049,C,C,5.057335312672051e-05
1,11,-0.0002877223465523,0.0479019656777381,D,D,0.0002877223465523
2,0,2.30221706141176e-05,0.0857231169939041,B,C,2.30221706141176e-05
2,1,0.0005346410923522,0.2741636633872986,A,A,0.0005346410923522
2,2,-0.0002335499440613,0.0510622486472129,D,D,0.0002335499440613
2,3,2.3630893238923974e-05,0.0491352304816246,B,D,2.3630893238923974e-05
2,4,0.0005282986693919,0.0378623642027378,B,B,0.0005282986693919
2,5,0.0003212534667377,0.0599685348570346,B,B,0.0003212534667377
2,6,0.0002570710390014,0.0677402690052986,B,A,0.0002570710390014
2,7,7.333643104623366e-06,0.1177547425031662,C,C,7.333643104623366e-06
2,8,4.757532717689084e-05,0.045742068439722,B,D,4.757532717689084e-05
2,9,-0.0001327434587963,0.0876251906156539,D,C,0.0001327434587963
2,10,0.0001202299204456,0.1062146350741386,A,C,0.0001202299204456
2,11,-0.0002357096464828,0.0657673999667167,D,D,0.0002357096464828
3,0,0.0002777420906462,0.0333242043852806,B,B,0.0002777420906462
3,1,6.902144839898705e-05,0.0537202134728431,B,D,6.902144839898705e-05
3,2,-1.029368916938278e-06,0.051766749471426,D,D,1.029368916938278e-06
3,3,0.00029901889064,0.0553561151027679,B,B,0.00029901889064
3,4,-0.000532665799663,0.2830111682415008,C,C,0.000532665799663
3,5,0.0001239021160708,0.1100865453481674,A,C,0.0001239021160708
3,6,0.0002455976821934,0.0736806020140647,B,A,0.0002455976821934
3,7,-0.0002779643078719,0.0577864982187747,D,D,0.0002779643078719
3,8,5.66693325356471e-05,0.0625786110758781,B,C,5.66693325356471e-05
3,9,0.0001498192647974,0.0585042051970958,B,B,0.0001498192647974
3,10,-0.0001265001661539,0.0759170800447464,D,C,0.0001265001661539
3,11,1.8005298317969043e-05,0.0587699860334396,B,C,1.8005298317969043e-05
4,0,-4.3423366159922594e-05,0.0595624633133411,D,D,4.3423366159922594e-05
4,1,-0.0003450427093642,0.1219999864697456,C,C,0.0003450427093642
4,2,5.159189922221419e-07,0.0340167805552482,D,D,5.159189922221419e-07
4,3,0.0003220476129897,0.0450071431696414,B,B,0.0003220476129897
4,4,-0.0002570261120635,0.1989197880029678,C,C,0.0002570261120635
4,5,0.0004923690559684,0.0704054459929466,B,B,0.0004923690559684
4,6,-0.0003271614635289,0.0896385759115219,C,C,0.0003271614635289
4,7,-5.007400122253314e-05,0.0938167199492454,C,C,5.007400122253314e-05
4,8,-0.0001089438117219,0.1039311960339546,C,C,0.0001089438117219
4,9,-0.0001471129485133,0.0789542272686958,D,D,0.0001471129485133
4,10,-0.0003639384266048,0.0520556457340717,D,D,0.0003639384266048
4,11,-0.0006593980946513,0.1130485534667968,C,C,0.0006593980946513
5,0,-0.0002827513205102,0.343698501586914,C,C,0.0002827513205102
5,1,0.0023861861718955,0.7384292483329773,A,A,0.0023861861718955
5,2,0.0002002367716684,0.0771670266985893,B,D,0.0002002367716684
5,3,-5.8903468633103584e-05,0.0782327055931091,D,D,5.8903468633103584e-05
