layer,head,imp,pert,cell_global,cell_within,effect
0,0,5.984127521529992e-05,0.2623586654663086,D,B,5.984127521529992e-05
0,1,0.1843000078201295,0.5398322939872742,B,A,0.1843000078201295
0,2,-0.0001613944768905,0.227747842669487,D,D,0.0001613944768905
0,3,-0.0010108256340026,0.4084677398204803,D,C,0.0010108256340026
0,4,-0.0066030931472778,0.4680370092391968,D,C,0.0066030931472778
0,5,0.2307149481773376,0.3969397246837616,B,A,0.2307149481773376
0,6,-0.0012310284376144,0.2792337536811828,D,D,0.0012310284376144
0,7,-0.0015445089340209,0.5382654666900635,D,C,0.0015445089340209
0,8,0.0003024661540986,0.2354918420314788,D,B,0.0003024661540986
0,9,0.0032532423734665,0.3168837130069732,D,B,0.0032532423734665
0,10,-0.0121631729602813,0.3702496290206909,D,C,0.0121631729602813
0,11,-1.0473132133315133e-05,0.1857498884201049,D,B,1.0473132133315133e-05
1,0,0.014521558880806,1.3073681592941284,A,A,0.014521558880806
1,1,0.0015817743539809,1.1167513132095337,C,C,0.0015817743539809
1,2,0.001700692176819,0.5687071084976196,D,B,0.001700692176819
1,3,0.0059271132946014,0.1861781924962997,B,B,0.0059271132946014
1,4,0.0078229570388794,0.8129096031188965,B,A,0.0078229570388794
1,5,0.0017148864269256,0.8145113587379456,D,A,0.0017148864269256
1,6,0.0005989807844162,0.5445945858955383,D,D,0.0005989807844162
1,7,-0.0017615753412245,0.6283652186393738,D,C,0.0017615753412245
1,8,-0.0019549196958541,0.5042921900749207,D,D,0.0019549196958541
1,9,-0.001309351325035,0.3836563229560852,D,D,0.001309351325035
1,10,-0.0001521390676497,0.4571350216865539,D,D,0.0001521390676497
1,11,0.0074148732423782,1.077367901802063,B,A,0.0074148732423782
2,0,-0.0003274405002593,0.9372365474700928,D,D,0.0003274405002593
2,1,-0.0012227779626845,0.5738807916641235,D,D,0.0012227779626845
2,2,0.0049981015920639,1.3278625011444092,C,A,0.0049981015920639
2,3,0.004776930809021,1.1315363645553589,C,A,0.004776930809021
2,4,0.0023942881822587,0.571696400642395,D,D,0.0023942881822587
2,5,0.0020161265134812,1.2033205032348633,C,C,0.0020161265134812
2,6,0.0092822355031967,0.9664204120635986,B,B,0.0092822355031967
2,7,-0.0102400773763655,0.9362990856170654,D,D,0.0102400773763655
2,8,0.0054839462041855,1.116178035736084,A,A,0.0054839462041855
2,9,0.0116896665096284,1.2908439636230469,A,A,0.0116896665096284
2,10,0.0005196899175645,1.5328892469406128,C,C,0.0005196899175645
2,11,0.0082660466432571,0.3860114216804504,B,B,0.0082660466432571
3,0,0.017080055475235,1.8409401178359983,A,A,0.017080055475235
3,1,0.009640338420868,1.100561499595642,B,B,0.009640338420868
3,2,0.0022756028175354,1.1299976110458374,C,D,0.0022756028175354
3,3,0.0113769364356994,1.2207587957382202,A,A,0.0113769364356994
3,4,0.0079636150598527,1.3522781133651731,A,A,0.0079636150598527
3,5,0.0034736168384552,0.5937809348106384,D,D,0.0034736168384552
3,6,0.0006858396530151,1.4133498668670654,C,C,0.0006858396530151
3,7,0.0073944699764252,1.5817533731460571,A,A,0.0073944699764252
3,8,0.0006051754951477,1.1404098272323608,C,D,0.0006051754951477
3,9,5.678355693827797e-05,0.544748067855835,D,D,5.678355693827797e-05
3,10,-0.0153724622726438,1.5982142686843872,C,C,0.0153724622726438
3,11,0.0073383361101151,1.074305295944214,B,B,0.0073383361101151
4,0,0.0015959048271179,0.4886111319065094,D,B,0.0015959048271179
4,1,-0.0025316870212555,0.6306331157684326,D,D,0.0025316870212555
4,2,-0.0031779837608336,0.4434303939342499,D,D,0.0031779837608336
4,3,0.0057823807001113,0.9795711040496826,B,A,0.0057823807001113
4,4,0.0002822852134705,0.6693148016929626,D,B,0.0002822852134705
4,5,-0.0006446617841719,0.4850631356239319,D,D,0.0006446617841719
4,6,0.0075019127130508,1.7837921380996704,A,A,0.0075019127130508
4,7,-0.0127927047014235,1.782354474067688,C,C,0.0127927047014235
4,8,-0.0158816117048263,0.9397160410881042,D,C,0.0158816117048263
4,9,0.0016793143749238,1.0080667734146118,D,A,0.0016793143749238
4,10,-0.0009172064065932,0.2291893810033798,D,D,0.0009172064065932
4,11,0.0646704465150833,2.335132360458374,A,A,0.0646704465150833
5,0,0.0007964891195297,1.1136890649795532,D,C,0.0007964891195297
5,1,1.0050602382421496,6.366524696350098,A,A,1.0050602382421496
5,2,0.0037989574670791,1.145132541656494,C,A,0.0037989574670791
5,3,0.0014519536495209,0.9947991371154784,D,D,0.0014519536495209
5,4,0.001924682855606,0.8128021359443665,D,D,0.001924682855606
5,5,0.0271640437841416,3.103667020797729,A,A,0.0271640437841416
5,6,0.0033540403842926,1.1859002113342283,C,A,0.0033540403842926
5,7,0.000295929312706,0.1626021564006805,D,D,0.000295929312706
5,8,-0.0156101721525192,0.710032045841217,D,D,0.0156101721525192
5,9,0.0792950230836868,2.259007692337036,A,A,0.0792950230836868
5,10,-0.0030465775728225,0.6307522058486938,D,D,0.0030465775728225
5,11,0.0053920036554337,0.6725594997406006,B,B,0.0053920036554337
6,0,-0.0046809178590774,1.476119875907898,C,D,0.0046809178590774
6,1,0.0044765108823776,0.465909868478775,D,D,0.0044765108823776
6,2,0.0648342424631118,0.755316972732544,B,B,0.0648342424631118
6,3,0.0088559287786484,1.7536463737487793,A,A,0.0088559287786484
6,4,0.0242932444810868,1.092021942138672,B,B,0.0242932444810868
6,5,-0.0047487002611159,1.5274549722671509,C,D,0.0047487002611159
6,6,-0.0851232576370237,2.1055054664611816,C,C,0.0851232576370237
6,7,0.1005396127700806,1.996131539344788,A,A,0.1005396127700806
6,8,0.024705946445465,2.6349117755889893,A,A,0.024705946445465
6,9,0.1091507053375244,2.87389612197876,A,A,0.1091507053375244
6,10,-0.0012032717466352,1.7116755247116089,C,C,0.0012032717466352
6,11,-0.0112706047296522,1.402388334274292,C,D,0.0112706047296522
7,0,0.0370830577611924,1.8201168775558472,A,A,0.0370830577611924
7,1,0.0187509381771089,1.3999245166778564,A,A,0.0187509381771089
7,2,0.094410275220871,2.315039157867432,A,A,0.094410275220871
7,3,-0.0783990305662154,1.8106629848480225,C,C,0.0783990305662154
7,4,-0.0002281969785689,0.4621757566928863,D,D,0.0002281969785689
7,5,0.0017954874038697,0.4549647569656372,D,D,0.0017954874038697
7,6,0.2169362568855286,1.9181818962097168,A,A,0.2169362568855286
7,7,0.0141100305318833,1.3305658102035522,A,D,0.0141100305318833
7,8,0.0148388957977296,0.5397040843963623,B,B,0.0148388957977296
7,9,0.0115486478805542,0.8117763996124268,B,D,0.0115486478805542
7,10,-0.0220395374298094,2.113679885864258,C,C,0.0220395374298094
7,11,0.0610733485221863,1.2852675914764404,A,B,0.0610733485221863
8,0,-0.0351851385831831,0.9078067541122437,D,D,0.0351851385831831
8,1,0.0534640741348266,1.2971720695495603,A,A,0.0534640741348266
8,2,0.0504726964235306,1.3776915073394775,A,A,0.0504726964235306
8,3,0.0153669565916061,0.4860075414180755,B,B,0.0153669565916061
8,4,0.0018037742376328,0.3551920056343078,D,D,0.0018037742376328
8,5,0.1611251109838487,1.9238470792770384,A,A,0.1611251109838487
8,6,0.0390762495994567,1.316797375679016,A,A,0.0390762495994567
8,7,0.0080658853054047,1.5295072793960571,A,A,0.0080658853054047
8,8,0.0056326049566268,0.6804254651069641,B,D,0.0056326049566268
8,9,-0.0591738080978392,0.9192211031913756,D,D,0.0591738080978392
8,10,-0.0010237550735472,1.4899163246154783,C,C,0.0010237550735472
8,11,0.0075454652309419,0.9023386240005492,B,D,0.0075454652309419
9,0,0.0127999424934388,1.2299091815948486,A,A,0.0127999424934388
9,1,0.0413633620738984,1.2548147439956665,A,A,0.0413633620738984
9,2,0.0045836788415909,0.9843229055404664,D,D,0.0045836788415909
9,3,0.0794526141881943,1.7302117347717283,A,A,0.0794526141881943
