layer,head,imp,pert,cell_global,cell_within,effect
0,0,0.4276890456676483,0.0029026162810623,D,B,0.019791666666666666
0,1,0.492621511220932,0.0072517762891948,D,A,0.019791666666666666
0,2,0.2525153756141662,0.004476168192923,D,C,0.016666666666666666
0,3,0.5059226155281067,0.0061399699188768,D,A,0.023958333333333335
0,4,0.2097164094448089,0.0018109385855495,D,D,0.020833333333333332
0,5,0.3352697491645813,0.0032648539636284,D,D,0.020833333333333332
0,6,0.2508557438850403,0.0020037190988659,D,D,0.023958333333333335
0,7,0.1160126700997352,0.0035954813938587,D,D,0.01875
0,8,0.1910946071147918,0.0126247890293598,D,C,0.026041666666666668
0,9,0.5010119676589966,0.0120133347809314,D,A,0.016666666666666666
0,10,0.3407267332077026,0.0097878044471144,D,C,0.017708333333333333
0,11,0.1309418678283691,0.0213196016848087,D,C,0.014583333333333334
0,12,0.4621269404888153,0.0101771084591746,D,A,0.019791666666666666
0,13,0.5365567207336426,0.0118235340341925,B,A,0.015625
0,14,0.4375115931034088,0.0089314822107553,D,A,0.019791666666666666
0,15,0.2806359529495239,0.0079608336091041,D,C,0.014583333333333334
0,16,0.5609585046768188,0.0020692346151918,B,B,0.020833333333333332
0,17,0.1008668914437294,0.0033802445977926,D,D,0.023958333333333335
0,18,0.4033503234386444,0.0014984103618189,D,B,0.014583333333333334
0,19,0.4575101137161255,0.0019942233338952,D,B,0.022916666666666665
0,20,0.2751355469226837,0.007208801805973,D,C,0.019791666666666666
0,21,0.6238852739334106,0.0046613500453531,B,A,0.023958333333333335
0,22,0.594200611114502,0.0025309624616056,B,B,0.025
0,23,0.3666525781154632,0.0153226666152477,D,C,0.020833333333333332
0,24,0.3492065072059631,0.0027920948341488,D,D,0.016666666666666666
0,25,0.1617190837860107,0.0041286265477538,D,C,0.014583333333333334
0,26,0.3929541707038879,0.0033919722773134,D,B,0.017708333333333333
0,27,0.2197554111480713,0.0052113281562924,D,C,0.022916666666666665
0,28,0.5099307298660278,0.0023612882941961,D,B,0.020833333333333332
0,29,0.5255734920501709,0.0003372468054294,D,B,0.015625
0,30,0.5769230127334595,0.0012562441406771,B,B,0.019791666666666666
0,31,0.229087233543396,1.991528552025557e-05,D,D,0.008333333333333333
1,0,0.3805084824562073,0.0060179620049893,D,B,0.01875
1,1,0.2902683615684509,0.0007064879755489,D,D,0.015625
1,2,0.410662829875946,0.0083862841129302,D,A,0.020833333333333332
1,3,0.3127890825271606,0.0056090191937983,D,D,0.019791666666666666
1,4,0.3735511004924774,0.0026031765155494,D,D,0.017708333333333333
1,5,0.2745441496372223,0.0039275023154914,D,D,0.022916666666666665
1,6,0.4906851053237915,0.0076990616507828,D,A,0.016666666666666666
1,7,0.2763396501541137,0.0021030455827713,D,D,0.017708333333333333
1,8,0.5035712122917175,0.0306960064917802,D,A,0.023958333333333335
1,9,0.420558214187622,0.0047993226908147,D,B,0.017708333333333333
1,10,0.489582896232605,0.0159783475100994,D,A,0.019791666666666666
1,11,0.3506813049316406,0.0086342990398406,D,C,0.021875
1,12,0.3023880124092102,0.0143278921023011,D,C,0.022916666666666665
1,13,0.1081137135624885,0.0024846603628247,D,D,0.026041666666666668
1,14,0.4900588989257812,0.0062504815869033,D,B,0.022916666666666665
1,15,0.4984363615512848,0.0079527301713824,D,A,0.019791666666666666
1,16,0.0611810460686683,0.0080818524584174,D,C,0.017708333333333333
1,17,0.4471363127231598,0.008681452833116,D,A,0.016666666666666666
1,18,0.2502259314060211,0.0039572892710566,D,D,0.028125
1,19,0.4863593280315399,0.0101592373102903,D,A,0.015625
1,20,0.1585632115602493,0.0049572070129215,D,D,0.020833333333333332
1,21,0.4890435338020324,0.0114246709272265,D,A,0.020833333333333332
1,22,0.3837488293647766,0.012442409992218,D,A,0.022916666666666665
1,23,0.3072330951690674,0.0259353015571832,D,C,0.016666666666666666
