layer,head,imp,pert,cell_global,cell_within,effect
0,0,0.5253496170043945,0.0939480140805244,B,A,0.11041666666666666
0,1,0.1373195946216583,0.0950081422924995,D,C,0.121875
0,2,0.3807098269462585,0.0899329409003257,D,A,0.10833333333333334
0,3,0.3386577367782593,0.0745587944984436,D,A,0.11458333333333333
0,4,0.359872430562973,0.0948744639754295,D,A,0.12916666666666668
0,5,0.0822138041257858,0.0615498535335063,D,D,0.140625
0,6,0.0954362824559211,0.096262477338314,D,C,0.11770833333333333
0,7,0.0678907036781311,0.0671151354908943,D,D,0.12291666666666666
0,8,0.0453285202383995,0.0860037207603454,D,C,0.13333333333333333
0,9,0.0986992269754409,0.0680031776428222,D,C,0.10729166666666666
0,10,0.5232083797454834,0.0981166884303093,B,A,0.14270833333333333
0,11,0.3985650539398193,0.0881312489509582,D,A,0.12395833333333334
0,12,0.4261651635169983,0.0077428170479834,D,B,0.128125
0,13,0.3129319250583648,0.1080878525972366,D,A,0.15729166666666666
0,14,0.4622073769569397,0.0104437554255127,D,B,0.12291666666666666
0,15,0.1073397397994995,0.0545441582798957,D,D,0.096875
0,16,0.5030239820480347,0.1328369081020355,D,A,0.125
0,17,0.1315987706184387,0.0977706685662269,D,C,0.13020833333333334
0,18,0.0965994447469711,0.0553458258509635,D,D,0.11145833333333334
0,19,0.035625547170639,0.0698436424136161,D,C,0.11979166666666667
0,20,0.0746330320835113,0.0541170053184032,D,D,0.12083333333333333
0,21,0.0856561958789825,0.0273496322333812,D,D,0.115625
0,22,0.4082687497138977,0.1098143383860588,D,A,0.11145833333333334
0,23,0.0834175497293472,0.0583928450942039,D,D,0.13229166666666667
0,24,0.0598245300352573,0.0565272830426692,D,D,0.11770833333333333
0,25,0.3842240571975708,0.1176893264055252,D,A,0.12916666666666668
0,26,0.1771275699138641,0.1229136288166046,D,C,0.13229166666666667
0,27,0.5921194553375244,0.0596303939819335,B,B,0.11979166666666667
0,28,0.5700744390487671,0.0790109187364578,B,A,0.13125
0,29,0.462621808052063,0.0336738340556621,D,B,0.13020833333333334
0,30,0.2828482389450073,0.049548715353012,D,B,0.13125
0,31,0.1109753400087356,0.0173354800790548,D,D,0.11666666666666667
0,32,0.4033910632133484,0.0085777007043361,D,B,0.10729166666666666
0,33,0.1318313032388687,0.0837365537881851,D,C,0.109375
0,34,0.1739305257797241,0.0447118543088436,D,D,0.11875
0,35,0.3051835298538208,0.0296726487576961,D,B,0.128125
0,36,0.2854768633842468,0.0472800359129905,D,B,0.10833333333333334
0,37,0.2340748310089111,0.0505068562924861,D,D,0.12916666666666668
0,38,0.2073276042938232,0.0784910544753074,D,C,0.10104166666666667
0,39,0.3643079698085785,0.0352473333477973,D,B,0.11145833333333334
1,0,0.2793108224868774,0.0158061068505048,D,D,0.11875
1,1,0.3990618288516998,0.0175160262733697,D,D,0.13333333333333333
1,2,0.1818900108337402,0.0134557569399476,D,D,0.12604166666666666
1,3,0.3174417018890381,0.0146790836006402,D,D,0.13541666666666666
1,4,0.3804744184017181,0.017760757356882,D,D,0.11354166666666667
1,5,0.6204043626785278,0.1048383116722107,B,A,0.11354166666666667
1,6,0.4971283674240112,0.0359454900026321,D,A,0.12083333333333333
1,7,0.4163247942924499,0.0267037041485309,D,A,0.10416666666666667
1,8,0.4242619276046753,0.07517871260643,D,A,0.115625
1,9,0.4910081624984741,0.0514507889747619,D,A,0.10520833333333333
1,10,0.1999067068099975,0.017857477068901,D,D,0.11354166666666667
1,11,0.3655047714710235,0.0175323169678449,D,D,0.11979166666666667
1,12,0.3794513344764709,0.0231656190007925,D,D,0.12604166666666666
1,13,0.348191887140274,0.0171021893620491,D,D,0.12291666666666666
1,14,0.2865263223648071,0.0145404785871505,D,D,0.09895833333333333
1,15,0.4537690281867981,0.0313988998532295,D,A,0.1
1,16,0.5143475532531738,0.0922079607844352,B,A,0.10520833333333333
1,17,0.4941103160381317,0.0274340808391571,D,A,0.13020833333333334
1,18,0.4864687919616699,0.0533874258399009,D,A,0.12291666666666666
1,19,0.3496289253234863,0.0203463211655616,D,D,0.13229166666666667
1,20,0.5172538161277771,0.0552181638777256,B,A,0.12083333333333333
1,21,0.115041509270668,0.0342233255505561,D,C,0.09895833333333333
1,22,0.3504993915557861,0.0414033271372318,D,C,0.13541666666666666
1,23,0.4253658056259155,0.0337563343346118,D,A,0.12291666666666666
1,24,0.4118548333644867,0.0241722073405981,D,B,0.14270833333333333
1,25,0.2964488863945007,0.0473817586898803,D,C,0.15104166666666666
1,26,0.2499900907278061,0.0456354245543479,D,C,0.13333333333333333
1,27,0.4523973762989044,0.0232129245996475,D,B,0.12604166666666666
1,28,0.3360132277011871,0.0290924124419689,D,C,0.115625
1,29,0.4269112944602966,0.0475879311561584,D,A,0.115625
1,30,0.3910889029502868,0.015506318770349,D,D,0.11979166666666667
1,31,0.3849801123142242,0.0129679786041378,D,D,0.1125
1,32,0.4353436231613159,0.0133824590593576,D,B,0.09583333333333334
1,33,0.4377266764640808,0.0122434273362159,D,B,0.121875
1,34,0.441256433725357,0.0130198998376727,D,B,0.115625
1,35,0.3193751573562622,0.0217924583703279,D,D,0.11979166666666667
1,36,0.4213069677352905,0.0213383566588163,D,B,0.09791666666666667
1,37,0.3723595440387726,0.0436410307884216,D,C,0.11145833333333334
1,38,0.5271328687667847,0.0329387933015823,B,A,0.11770833333333333
1,39,0.4374613165855407,0.0272951144725084,D,A,0.11770833333333333
2,0,0.5029441118240356,0.0605595707893371,D,A,0.109375
2,1,0.4943702518939972,0.0488926507532596,D,A,0.12083333333333333
2,2,0.4781858921051025,0.0634115189313888,D,A,0.12604166666666666
2,3,0.4007453322410583,0.0371922627091407,D,D,0.12916666666666668
2,4,0.4937390983104706,0.0567295253276824,D,A,0.12916666666666668
2,5,0.4042224586009979,0.030796330422163,D,D,0.115625
2,6,0.3447567224502563,0.0254145041108131,D,D,0.11979166666666667
2,7,0.3777751624584198,0.0263055302202701,D,D,0.12708333333333333
2,8,0.3446556627750397,0.0229705497622489,D,D,0.12083333333333333
2,9,0.3333102464675903,0.0245644059032201,D,D,0.13645833333333332
2,10,0.3900260329246521,0.0474153235554695,D,C,0.12083333333333333
2,11,0.3746789395809173,0.0468059815466403,D,D,0.13020833333333334
2,12,0.478251963853836,0.0610754750669002,D,A,0.12916666666666668
2,13,0.352100133895874,0.0399344377219677,D,D,0.11145833333333334
2,14,0.4121782481670379,0.0650984644889831,D,A,0.13125
2,15,0.398691713809967,0.0381254702806472,D,D,0.12916666666666668
2,16,0.3472896814346313,0.0415496714413166,D,D,0.11666666666666667
2,17,0.4037566184997558,0.1155885905027389,D,C,0.11979166666666667
2,18,0.4290311336517334,0.0577358677983284,D,A,0.11979166666666667
2,19,0.3738745748996734,0.0393046103417873,D,D,0.13125
2,20,0.4983288049697876,0.0638857185840606,D,A,0.12916666666666668
2,21,0.4919225871562958,0.0915571153163909,D,A,0.13020833333333334
2,22,0.2499174773693084,0.0585953816771507,D,C,0.109375
2,23,0.4536554217338562,0.0554985329508781,D,A,0.11770833333333333
2,24,0.3981189727783203,0.0466198064386844,D,D,0.11979166666666667
2,25,0.1394239068031311,0.068921111524105,D,C,0.12395833333333334
2,26,0.098583698272705,0.0783061236143112,D,C,0.12708333333333333
2,27,0.4718900322914123,0.0540546923875808,D,A,0.125
2,28,0.2885462641716003,0.0437604822218418,D,D,0.115625
2,29,0.5130362510681152,0.068844623863697,B,A,0.128125
2,30,0.471812903881073,0.0354397110641002,D,B,0.12916666666666668
2,31,0.3891209959983825,0.0444047078490257,D,D,0.13229166666666667
2,32,0.467888742685318,0.0460604429244995,D,B,0.16354166666666667
2,33,0.4522580504417419,0.0382907688617706,D,B,0.10625
2,34,0.4400404989719391,0.0347344353795051,D,B,0.11666666666666667
2,35,0.4894570410251617,0.0462895333766937,D,B,0.09583333333333334
2,36,0.4799671173095703,0.2262697070837021,D,A,0.11666666666666667
2,37,0.3175926506519317,0.0628467947244644,D,C,0.109375
2,38,0.52257239818573,0.0517274774610996,B,A,0.10729166666666666
2,39,0.4543858468532562,0.0428358763456344,D,B,0.11458333333333333
3,0,0.4892167150974273,0.0859863609075546,D,B,0.13645833333333332
3,1,0.3617085218429565,0.0869377627968788,D,D,0.134375
3,2,0.4751659631729126,0.0601509138941764,D,D,0.11875
3,3,0.5070276856422424,0.1422721147537231,D,A,0.109375
3,4,0.4942497014999389,0.1394242793321609,D,A,0.090625
3,5,0.4924672245979309,0.1040964946150779,D,A,0.11666666666666667
3,6,0.5052838921546936,0.1302770227193832,D,A,0.11875
3,7,0.4447227120399475,0.085225723683834,D,D,0.11875
3,8,0.4719893932342529,0.0774673148989677,D,D,0.12604166666666666
3,9,0.5295777916908264,0.1016759574413299,B,A,0.13125
3,10,0.4737739861011505,0.089394636452198,D,D,0.10729166666666666
3,11,0.4516832828521728,0.0744041055440902,D,D,0.11145833333333334
3,12,0.4943539500236511,0.1021549776196479,D,A,0.12604166666666666
3,13,0.4294007122516632,0.0764420256018638,D,D,0.13125
3,14,0.4692544341087341,0.0945193096995353,D,C,0.13333333333333333
3,15,0.5175191164016724,0.0889472737908363,B,B,0.12604166666666666
3,16,0.4010970592498779,0.0863353759050369,D,D,0.10729166666666666
3,17,0.4621488749980926,0.1011640578508377,D,C,0.12291666666666666
3,18,0.4482741951942444,0.0887482985854148,D,D,0.12291666666666666
3,19,0.4469994902610779,0.1285151094198227,D,C,0.11458333333333333
3,20,0.4774995446205139,0.0801335051655769,D,D,0.115625
3,21,0.461268663406372,0.0960130989551544,D,C,0.11458333333333333
3,22,0.4918697476387024,0.1188740283250808,D,A,0.13125
3,23,0.3188045024871826,0.0809181556105613,D,D,0.109375
3,24,0.3237107992172241,0.1134069338440895,D,C,0.12395833333333334
3,25,0.5028146505355835,0.1752263903617859,D,A,0.11458333333333333
3,26,0.4840251207351684,0.2023917734622955,D,A,0.10416666666666667
3,27,0.3991348445415497,0.1124817132949829,D,C,0.128125
3,28,0.1742523461580276,0.1356644332408905,D,C,0.11979166666666667
3,29,0.4862309694290161,0.1155391484498977,D,A,0.1125
3,30,0.4947400093078613,0.0598654188215732,D,B,0.11979166666666667
3,31,0.5016945004463196,0.0742312520742416,D,B,0.128125
3,32,0.499747633934021,0.0614097155630588,D,B,0.11770833333333333
3,33,0.5033694505691528,0.0756101682782173,D,B,0.13958333333333334
3,34,0.422659307718277,0.1053914949297905,D,C,0.11354166666666667
3,35,0.495383620262146,0.0747146233916282,D,B,0.11875
3,36,0.4839167892932892,0.0963408723473548,D,C,0.13333333333333333
3,37,0.4989960789680481,0.0865767747163772,D,B,0.11875
3,38,0.515208899974823,0.1042374745011329,B,A,0.12708333333333333
3,39,0.4976279139518738,0.0869276151061058,D,B,0.10833333333333334
4,0,0.4922670722007751,0.1373587399721145,D,A,0.10625
4,1,0.3995499908924103,0.1038312166929245,D,D,0.103125
4,2,0.4995471239089966,0.1435786634683609,D,A,0.13020833333333334
4,3,0.4945150017738342,0.1518046110868454,D,A,0.10625
4,4,0.4972586035728454,0.1454387754201889,D,A,0.12916666666666668
4,5,0.397912859916687,0.1982273459434509,D,C,0.12604166666666666
4,6,0.4957475960254669,0.2054490149021148,D,A,0.09270833333333334
4,7,0.4210569560527801,0.2065804302692413,D,C,0.140625
4,8,0.4953969717025757,0.1640989184379577,D,A,0.13229166666666667
