unit,unit_type,n_layers,total_heads,rho_layer_pert,p_layer_pert,layer_top_l0_ratio,global_within_agreement,jaccard_A,jaccard_B,jaccard_C,jaccard_D,cell_C_top2_frac_global,cell_C_median_layer_global,cd_gap_global_approx,cd_gap_within_approx,cd_gap_rel_change,pattern_flag
gemma-2-9b-it,novel_word,42,672,0.2992897536711648,2.255341774233109e-15,2.5362154291502756,0.5133928571428571,0.3166144200626959,0.3333333333333333,0.3125,0.40468227424749165,0.08181818181818182,32.0,2.774571070256424,1.9368705011590237,0.3019207466255246,A (C/D shift large)
gemma-3-27b-it,novel_word,62,1984,0.05142019916991425,0.021996042375554692,0.05920940066704199,0.5529233870967742,0.4742990654205608,0.22410865874363328,0.2778761061946903,0.46689895470383275,0.07692307692307693,13.0,1.8129269683652587,1.4530680345816025,0.1984961005396406,A
gpt-j-6b-fp32,novel_word,28,448,0.2964192565070451,1.5446586984949324e-10,2.976991562448426,0.5089285714285714,0.34210526315789475,0.2866666666666667,0.3129251700680272,0.4088397790055249,0.12222222222222222,21.0,12.149849954593142,6.317646695381926,0.4800226571527662,A (C/D shift large)
llama-3.1-8b-instruct,novel_word,32,1024,0.4699431939542743,2.2024980366836753e-57,224.91174289538398,0.5439453125,0.3597285067873303,0.38235294117647056,0.39603960396039606,0.3659090909090909,0.25280898876404495,26.0,2.778626597441795,2.3275629744888158,0.16233329925232173,B
llama-3.1-70b-instruct-4bit,novel_word,80,5120,0.33207610261731735,4.694646247934957e-132,154.54406441003232,0.514453125,0.3991919191919192,0.21748714180749448,0.25056603773584907,0.416359918200409,0.13451776649746192,71.0,1.1596750034089651,1.1443599894230891,0.01320629826533828,B
olmo-2-13b-instruct,novel_word,40,1600,0.30510424767677885,8.07892048922879e-36,10.936185548669958,0.564375,0.4875,0.23193916349809887,0.44966442953020136,0.391812865497076,0.19745222929936307,31.5,1.7878276816269054,1.628105368041769,0.08933876302876725,B
qwen-2.5-7b-instruct,novel_word,28,784,0.8770023635473452,3.858432452423426e-251,183.77666344762662,0.44260204081632654,0.33602150537634407,0.18181818181818182,0.27111111111111114,0.30708661417322836,0.352,24.0,2.3527392739273933,2.1324793927533654,0.09361848276811027,C
qwen-2.5-14b-instruct,novel_word,48,1920,0.8172131011907288,0.0,51.08334283139827,0.4348958333333333,0.30655391120507397,0.1875,0.24817518248175183,0.32192513368983955,0.25,43.0,0.9216857334202819,1.209804134845395,0.31259939367395323,C
ioi,gpt2_task,12,144,0.6994984649218866,1.807346369193956e-22,18.450618326573835,0.6875,0.4918032786885246,0.43243243243243246,0.5588235294117647,0.5964912280701754,0.32142857142857145,8.0,19.023162643222737,19.005641782642876,0.0009210277443589516,C
induction,gpt2_task,12,144,0.43395618755739296,5.5186057735498385e-08,3.738759385747166,0.6597222222222222,0.6333333333333333,0.3142857142857143,0.3939393939393939,0.5076923076923077,0.043478260869565216,5.0,2.9187610622621016,2.4636320371444738,0.1559322655773999,B
greater_than,gpt2_task,12,288,0.14949154269708784,0.011078521917688829,1.2840110937961366,0.6666666666666666,0.6226415094339622,0.3902439024390244,0.43209876543209874,0.5130434782608696,0.16393442622950818,6.0,2.5358148588976164,2.075729564471344,0.1814348917516334,A
