model,quartile,n_hi,n_lo,mean_hi,mean_lo,diff,cohens_d,mannwhitney_p,significant
gpt-j-6b-fp32,Q1,56,56,0.025955,0.001671,0.024284,1.2229,3.1174982455344675e-19,True
gpt-j-6b-fp32,Q2,56,56,0.020525,0.00227,0.018255,1.6373,3.2432152655786783e-18,True
gpt-j-6b-fp32,Q3,56,56,0.025013,0.003324,0.021689,0.6878,3.2432152655786783e-18,True
gpt-j-6b-fp32,Q4,56,56,0.02485,0.007922,0.016927,1.3714,8.449376070423247e-14,True
llama-3.1-8b-instruct,Q1,128,128,0.064917,0.035164,0.029753,0.6985,2.2101564529058377e-23,True
llama-3.1-8b-instruct,Q2,128,128,0.044035,0.035164,0.00887,0.3544,6.712901338756736e-08,True
llama-3.1-8b-instruct,Q3,128,128,0.04384,0.03623,0.007609,0.5333,8.063104475551872e-11,True
llama-3.1-8b-instruct,Q4,128,128,0.06901,0.037834,0.031177,0.8333,2.1995449960505618e-26,True
gemma-2-9b-it,Q1,84,84,0.102865,0.029365,0.0735,0.8604,3.4834907691163845e-17,True
gemma-2-9b-it,Q2,84,84,0.041034,0.030816,0.010218,0.4174,0.04849193531048104,True
gemma-2-9b-it,Q3,84,84,0.047135,0.032378,0.014757,0.5629,4.334275411871819e-06,True
gemma-2-9b-it,Q4,84,84,0.05527,0.035379,0.019891,0.615,1.5638030395676153e-09,True
qwen-2.5-7b-instruct,Q1,98,98,0.15946,0.08767,0.07179,0.8744,7.019848132447224e-15,True
qwen-2.5-7b-instruct,Q2,98,98,0.091231,0.089084,0.002147,0.2676,0.16890048228333676,False
qwen-2.5-7b-instruct,Q3,98,98,0.098512,0.088106,0.010406,0.5745,0.0008683853835323557,True
qwen-2.5-7b-instruct,Q4,98,98,0.148926,0.094271,0.054656,1.2286,3.361016951069145e-21,True
qwen-2.5-14b-instruct,Q1,240,240,0.165985,0.149861,0.016124,0.4487,0.013875258564562664,True
qwen-2.5-14b-instruct,Q2,240,240,0.152135,0.148351,0.003785,0.2707,0.11824535260624097,False
qwen-2.5-14b-instruct,Q3,240,240,0.160095,0.149345,0.010751,0.3243,4.298869489618375e-06,True
qwen-2.5-14b-instruct,Q4,240,240,0.173129,0.151363,0.021766,0.8531,7.866061083852776e-30,True
olmo-2-13b-instruct,Q1,200,200,0.043826,0.030266,0.01356,0.6423,6.493003460077447e-19,True
olmo-2-13b-instruct,Q2,200,200,0.035624,0.0305,0.005124,0.3829,7.761161882708193e-07,True
olmo-2-13b-instruct,Q3,201,200,0.035857,0.030626,0.005231,0.303,2.854849193609904e-08,True
olmo-2-13b-instruct,Q4,200,199,0.051232,0.030949,0.020283,0.5802,3.0690676696060903e-41,True
