model,quartile,n_hi,n_lo,mean_hi,mean_lo,diff,cohens_d,mannwhitney_p,significant
gpt-j-6b-fp32,Q1,56,56,0.001895,0.001231,0.000664,0.5701,0.003519123717873352,True
gpt-j-6b-fp32,Q2,56,56,0.005531,0.004404,0.001127,0.4857,0.015862718581022305,True
gpt-j-6b-fp32,Q3,56,56,0.014157,0.013789,0.000368,0.0421,0.8820352827876468,False
gpt-j-6b-fp32,Q4,56,56,0.035863,0.03466,0.001203,0.0331,0.34731964786155856,False
llama-3.1-8b-instruct,Q1,128,128,0.035075,0.034928,0.000146,0.0383,0.7378275794612643,False
llama-3.1-8b-instruct,Q2,128,128,0.036833,0.03632,0.000513,0.1294,0.5139042156186866,False
llama-3.1-8b-instruct,Q3,128,128,0.039274,0.040438,-0.001164,-0.1135,0.6908388961593849,False
llama-3.1-8b-instruct,Q4,128,128,0.070793,0.072534,-0.001742,-0.0288,0.5166294583903752,False
gemma-2-9b-it,Q1,84,84,0.031622,0.029353,0.002269,0.381,6.339637051689931e-05,True
gemma-2-9b-it,Q2,84,84,0.032093,0.034015,-0.001922,-0.1968,0.7781783405801598,False
gemma-2-9b-it,Q3,84,84,0.036731,0.04907,-0.012339,-0.428,0.5870449542636726,False
gemma-2-9b-it,Q4,84,84,0.052617,0.108743,-0.056126,-0.6164,1.557895685857951e-05,True
qwen-2.5-7b-instruct,Q1,98,98,0.088499,0.087638,0.000861,0.1602,0.45893833665109174,False
qwen-2.5-7b-instruct,Q2,98,98,0.088276,0.088786,-0.00051,-0.0873,0.6735314349415917,False
qwen-2.5-7b-instruct,Q3,98,98,0.095483,0.090625,0.004858,0.4695,0.013787781282143807,True
qwen-2.5-7b-instruct,Q4,98,98,0.149447,0.168506,-0.019058,-0.2096,0.7643898033656772,False
qwen-2.5-14b-instruct,Q1,240,240,0.148681,0.149818,-0.001137,-0.1375,0.13390675900145282,False
qwen-2.5-14b-instruct,Q2,240,240,0.148247,0.148268,-2.2e-05,-0.0025,0.9674281699813481,False
qwen-2.5-14b-instruct,Q3,240,240,0.154158,0.149891,0.004266,0.3174,0.00016917609657868837,True
qwen-2.5-14b-instruct,Q4,240,240,0.174414,0.176788,-0.002374,-0.0457,0.0003344446175978765,True
olmo-2-13b-instruct,Q1,200,200,0.030607,0.030125,0.000482,0.2271,0.027778747089379385,True
olmo-2-13b-instruct,Q2,200,200,0.030776,0.030452,0.000324,0.16,0.09992161580258163,False
olmo-2-13b-instruct,Q3,200,200,0.031785,0.031108,0.000677,0.2435,0.0055092246965671565,True
olmo-2-13b-instruct,Q4,200,200,0.053906,0.050146,0.00376,0.0843,0.9008704681262207,False
