group,ratio,crel_pair,pair_id,attr_dim,is_argmax_flip,model
hihp_imp_desc,0.05,SAME-OPP,pair0,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair1,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair2,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair3,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair4,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair5,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair6,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair7,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair8,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair9,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair0,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair1,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair2,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair3,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair4,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair4,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair5,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair5,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair6,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair6,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair7,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair7,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair8,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair8,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair9,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-MORE,pair9,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair0,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair0,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair1,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair1,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair2,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair2,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair3,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair3,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair4,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair4,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair5,P,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair5,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair6,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair6,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair7,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair7,Q,1,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair8,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair8,Q,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair9,P,0,llama-3.1-8b-instruct
hihp_imp_desc,0.05,SAME-LESS,pair9,Q,0,llama-3.1-8b-instruct
