model,source,ratio,ratio_label,n_C,n_D,C_prime_mean_abs_delta,D_prime_mean_abs_delta,C_minus_D,mw_U_C_gt_D,mw_p,mw_p_bonf_8,sig_at_alpha_0p05_bonf_8
Llama-8B-Inst,v3,0.05,r0.05,120,120,0.063542,0.027083,0.036458,9065.0,1.3384699488615709e-05,0.00010707759590892567,True
Llama-8B-Inst,v3,0.091796875,saturation,120,120,0.066667,0.034375,0.032292,8578.5,0.0010974741610773559,0.008779793288618847,True
Llama-8B-Inst,v3,0.1,r0.10,120,120,0.066667,0.033333,0.033333,8634.0,0.0006989453982174514,0.005591563185739611,True
Gemma-2-9B-IT,v3,0.05,r0.05,120,120,0.057292,0.040625,0.016667,7912.5,0.05690684090870712,0.45525472726965693,False
Gemma-2-9B-IT,v3,0.1,r0.10,120,120,0.092708,0.045833,0.046875,9207.0,1.3397654155169758e-05,0.00010718123324135806,True
Gemma-2-9B-IT,v3,0.1279761904761904,saturation,120,120,0.09375,0.060417,0.033333,8182.0,0.02028689369438272,0.16229514955506175,False
Llama-70B-Inst-4bit,v3,0.05,r0.05,120,120,0.180208,0.038542,0.141667,11923.5,2.6518591151374093e-21,2.1214872921099274e-20,True
Llama-70B-Inst-4bit,v3,0.1,r0.10,120,120,0.280208,0.039583,0.240625,12757.5,1.316341686947305e-27,1.053073349557844e-26,True
Llama-70B-Inst-4bit,v3,0.194140625,saturation,120,120,0.602083,0.035417,0.566667,13751.0,1.1668165025148083e-36,9.334532020118466e-36,True
Gemma-3-27B-IT,v4,0.05,r0.05,120,120,0.260417,0.197917,0.0625,8025.5,0.04795576529183594,0.38364612233468753,False
Gemma-3-27B-IT,v4,0.1,r0.10,120,120,0.333333,0.252083,0.08125,8330.0,0.013191616109887172,0.10553292887909738,False
Gemma-3-27B-IT,v4,0.2058355437665782,saturation,120,120,1.047917,0.375,0.672917,11849.5,7.032518661842738e-19,5.626014929474191e-18,True
Qwen-7B-Inst,v2,0.05,r0.05,120,120,0.152083,0.088542,0.063542,9181.0,3.8637183199248485e-05,0.0003090974655939879,True
Qwen-7B-Inst,v2,0.1,r0.10,120,120,0.353125,0.084375,0.26875,11692.0,2.5317851314647425e-18,2.025428105171794e-17,True
Qwen-7B-Inst,v2,0.1543367346938775,saturation,120,120,0.51875,0.094792,0.423958,12546.5,5.632514977494103e-25,4.506011981995282e-24,True
Qwen-14B-Inst,v2,0.05,r0.05,120,120,0.309375,0.158333,0.151042,9553.5,3.655328558012215e-06,2.924262846409772e-05,True
Qwen-14B-Inst,v2,0.1,r0.10,120,120,0.890625,0.185417,0.705208,12307.0,3.7653510736813293e-22,3.0122808589450634e-21,True
Qwen-14B-Inst,v2,0.2265625,saturation,120,120,4.003125,0.203125,3.8,13823.0,1.630968071675297e-35,1.3047744573402375e-34,True
OLMo-13B-Inst,v2,0.05,r0.05,120,120,0.111719,0.038542,0.073177,10925.5,8.309331461500364e-13,6.6474651692002916e-12,True
OLMo-13B-Inst,v2,0.1,r0.10,120,120,0.145052,0.04401,0.101042,11236.0,1.4808671156150367e-14,1.1846936924920293e-13,True
OLMo-13B-Inst,v2,0.131875,saturation,120,120,0.157812,0.053385,0.104427,10897.0,1.7663661209323703e-12,1.4130928967458962e-11,True
GPT-J-6B-fp32,v2,0.05,r0.05,120,120,0.06223,0.003012,0.059218,13627.0,3.238251213259615e-33,2.590600970607692e-32,True
GPT-J-6B-fp32,v2,0.0580357142857142,saturation,120,120,0.062693,0.004177,0.058516,13227.5,1.8767371797861015e-29,1.5013897438288812e-28,True
GPT-J-6B-fp32,v2,0.1,r0.10,120,120,0.062693,0.010698,0.051996,11971.5,3.599556679330034e-19,2.8796453434640274e-18,True
