model,group,ratio,n_trials,flip_rate_normalized
Llama-8B-Inst,hihp_imp_desc,0.05,120,0.4583
Llama-8B-Inst,hihp_imp_desc,0.1,120,0.55
Llama-8B-Inst,hihp_imp_desc,0.2,120,0.7417
Llama-8B-Inst,hihp_imp_desc,0.3,120,1.0
Llama-8B-Inst,hihp_imp_desc,0.5,120,1.0
Llama-8B-Inst,hilp_imp_desc,0.05,120,0.0
Llama-8B-Inst,hilp_imp_desc,0.1,120,0.0
Llama-8B-Inst,hilp_imp_desc,0.2,120,0.0
Llama-8B-Inst,hilp_imp_desc,0.3,120,0.0
Llama-8B-Inst,hilp_imp_desc,0.5,120,0.0
Llama-8B-Inst,C_imp_asc,0.05,120,0.1917
Llama-8B-Inst,C_imp_asc,0.1,120,0.375
Llama-8B-Inst,C_imp_asc,0.2,120,1.0
Llama-8B-Inst,C_imp_asc,0.3,120,1.0
Llama-8B-Inst,C_imp_asc,0.5,120,1.0
Llama-8B-Inst,D_imp_asc,0.05,120,0.0
Llama-8B-Inst,D_imp_asc,0.1,120,0.0
Llama-8B-Inst,D_imp_asc,0.2,120,0.0
Llama-8B-Inst,D_imp_asc,0.3,120,0.0
Llama-8B-Inst,D_imp_asc,0.5,120,0.0
Gemma-2-9B-IT,hihp_imp_desc,0.05,120,0.1583
Gemma-2-9B-IT,hihp_imp_desc,0.1,120,0.4583
Gemma-2-9B-IT,hihp_imp_desc,0.2,120,0.8833
Gemma-2-9B-IT,hihp_imp_desc,0.3,120,1.0
Gemma-2-9B-IT,hihp_imp_desc,0.5,120,1.0
Gemma-2-9B-IT,hilp_imp_desc,0.05,120,0.0
Gemma-2-9B-IT,hilp_imp_desc,0.1,120,0.0
Gemma-2-9B-IT,hilp_imp_desc,0.2,120,0.0
Gemma-2-9B-IT,hilp_imp_desc,0.3,120,0.0
Gemma-2-9B-IT,hilp_imp_desc,0.5,120,0.0
Gemma-2-9B-IT,C_imp_asc,0.05,120,0.2667
Gemma-2-9B-IT,C_imp_asc,0.1,120,0.9
Gemma-2-9B-IT,C_imp_asc,0.2,120,0.9167
Gemma-2-9B-IT,C_imp_asc,0.3,120,0.9167
Gemma-2-9B-IT,C_imp_asc,0.5,120,0.9167
