model,ratio,gap_CD_mean,gap_CD_se,gap_CD_positive_n_seeds,gap_CD_total_seeds,gap_hihp_hilp_mean,gap_hihp_hilp_se,gap_hihp_hilp_positive_n_seeds,gap_hihp_hilp_total_seeds
llama-3.1-8b-instruct,0.05,1.812158203125,0.057102638490669086,10,10,1.9452018229166665,0.017813226669721422,10,10
llama-3.1-8b-instruct,0.1,2.899384765625,0.06602720616414667,10,10,2.6174153645833336,0.037898187726176875,10,10
llama-3.1-8b-instruct,0.2,4.446116536458334,0.03184449414192194,10,10,4.089436848958333,0.08553105088013162,10,10
llama-3.1-8b-instruct,0.5,4.417561848958334,0.03289815506479388,10,10,5.145354817708332,0.013675959805415696,10,10
qwen-2.5-7b-instruct,0.05,4.539091796875001,0.14295665449282127,10,10,1.6378059895833335,0.22049437778625067,10,10
qwen-2.5-7b-instruct,0.1,11.890095704396565,0.09942834252809196,10,10,6.1764306640625,0.15234151773631685,10,10
qwen-2.5-7b-instruct,0.2,12.76144760131836,0.05312847131122759,10,10,10.118130900065104,0.06760295574798861,10,10
qwen-2.5-7b-instruct,0.5,12.721278330485026,0.04970953916805303,10,10,12.19451909383138,0.035510718834032486,10,10
qwen-2.5-14b-instruct,0.05,5.699290364583334,0.16545349680503016,10,10,1.0004947916666667,0.11763438422715906,10,10
qwen-2.5-14b-instruct,0.1,9.578717447916667,0.14659776072421035,10,10,4.089583333333334,0.047795173573260956,10,10
qwen-2.5-14b-instruct,0.2,11.659684244791666,0.14103760598307524,10,10,8.58376953125,0.2424081262203799,10,10
qwen-2.5-14b-instruct,0.5,11.648043619791666,0.14023918774696575,10,10,17.938418782552084,0.060502829281622816,10,10
gemma-2-9b-it,0.05,2.8965950520833337,0.05718875737710091,10,10,0.9595507812499999,0.06799896087628213,10,10
gemma-2-9b-it,0.1,5.037620442708333,0.16231234802338507,10,10,1.5448600260416667,0.05400363012015907,10,10
gemma-2-9b-it,0.2,5.695709635416667,0.03571345382609649,10,10,4.866793619791666,0.18198180402842862,10,10
gemma-2-9b-it,0.5,5.680045572916667,0.03572222178452413,10,10,9.138516953786215,0.04777584454452584,10,10
gemma-3-27b-it,0.05,2.8823307291666667,0.138362236697254,10,10,3.0443098958333334,0.10751875199889882,10,10
gemma-3-27b-it,0.1,5.830657552083334,0.16749480474740064,10,10,8.282005208333333,0.13258457359282488,10,10
gemma-3-27b-it,0.2,11.401254882812502,0.28313578590383,10,10,10.645319010416667,0.14991748893637463,10,10
gemma-3-27b-it,0.5,11.565909830729167,0.24466152624941725,10,10,13.301575520833333,0.1303781115356125,10,10
olmo-2-13b-instruct,0.05,2.8667217961947125,0.04572786408232016,10,10,2.2840384546915686,0.022357382967768943,10,10
olmo-2-13b-instruct,0.1,4.465530526638031,0.0542049139966191,10,10,3.432167943318685,0.08799492933489296,10,10
olmo-2-13b-instruct,0.2,6.560634223222732,0.07209747514768243,10,10,7.931904562314353,0.13849922185460622,10,10
olmo-2-13b-instruct,0.5,6.5509727648894,0.07243529874263924,10,10,8.677614588737487,0.11008357435615021,10,10
gpt-j-6b-fp32,0.05,0.3041586396098137,0.008408695061952586,10,10,0.05939414431651433,0.0034831827373665004,10,10
gpt-j-6b-fp32,0.1,0.6945677584409714,0.011479935801086444,10,10,0.09721317966779078,0.007885839210793331,10,10
gpt-j-6b-fp32,0.2,1.2343572094539803,0.010002021795717604,10,10,0.27480294426282253,0.029742209017402123,10,10
gpt-j-6b-fp32,0.5,1.2280794639388724,0.008521125987760819,10,10,0.2755483516057332,0.00668838174127824,10,10
