model,group,ratio,strict_flip_rate,n
llama-3.1-8b-instruct,C_imp_asc,0.05,0.19166666666666668,120
llama-3.1-8b-instruct,C_imp_asc,0.1,0.375,120
llama-3.1-8b-instruct,C_imp_asc,0.2,1.0,120
llama-3.1-8b-instruct,C_imp_asc,0.3,1.0,120
llama-3.1-8b-instruct,C_imp_asc,0.5,1.0,120
llama-3.1-8b-instruct,D_imp_asc,0.05,0.0,120
llama-3.1-8b-instruct,D_imp_asc,0.1,0.0,120
llama-3.1-8b-instruct,D_imp_asc,0.2,0.0,120
llama-3.1-8b-instruct,D_imp_asc,0.3,0.0,120
llama-3.1-8b-instruct,D_imp_asc,0.5,0.0,120
llama-3.1-8b-instruct,hihp_imp_desc,0.05,0.4583333333333333,120
llama-3.1-8b-instruct,hihp_imp_desc,0.1,0.55,120
llama-3.1-8b-instruct,hihp_imp_desc,0.2,0.7416666666666667,120
llama-3.1-8b-instruct,hihp_imp_desc,0.3,1.0,120
llama-3.1-8b-instruct,hihp_imp_desc,0.5,1.0,120
llama-3.1-8b-instruct,hilp_imp_desc,0.05,0.0,120
llama-3.1-8b-instruct,hilp_imp_desc,0.1,0.0,120
llama-3.1-8b-instruct,hilp_imp_desc,0.2,0.0,120
llama-3.1-8b-instruct,hilp_imp_desc,0.3,0.0,120
llama-3.1-8b-instruct,hilp_imp_desc,0.5,0.0,120
gemma-2-9b-it,C_imp_asc,0.05,0.31666666666666665,120
gemma-2-9b-it,C_imp_asc,0.1,0.9,120
gemma-2-9b-it,C_imp_asc,0.2,0.9166666666666666,120
gemma-2-9b-it,C_imp_asc,0.3,0.9166666666666666,120
gemma-2-9b-it,C_imp_asc,0.5,0.9166666666666666,120
gemma-2-9b-it,D_imp_asc,0.05,0.0,120
gemma-2-9b-it,D_imp_asc,0.1,0.0,120
gemma-2-9b-it,D_imp_asc,0.2,0.0,120
gemma-2-9b-it,D_imp_asc,0.3,0.008333333333333333,120
gemma-2-9b-it,D_imp_asc,0.5,0.0,120
gemma-2-9b-it,hihp_imp_desc,0.05,0.20833333333333334,120
gemma-2-9b-it,hihp_imp_desc,0.1,0.4666666666666667,120
gemma-2-9b-it,hihp_imp_desc,0.2,0.8833333333333333,120
gemma-2-9b-it,hihp_imp_desc,0.3,1.0,120
gemma-2-9b-it,hihp_imp_desc,0.5,1.0,120
gemma-2-9b-it,hilp_imp_desc,0.05,0.0,120
