model,imp_quartile,n_hi_pert,n_lo_pert,mean_effect_hi_pert,mean_effect_lo_pert,ratio_hi_over_lo,direction_hi_gt_lo,mann_whitney_u_greater_p,bonferroni_significant
llama-3.1-8b-instruct,Q1,128,128,0.04947916666666666,0.016243489583333333,3.046092184368737,True,8.584056923994566e-15,True
llama-3.1-8b-instruct,Q2,128,128,0.03313802083333334,0.01958821614583333,1.6917324470294979,True,4.523332728957765e-05,True
llama-3.1-8b-instruct,Q3,128,128,0.03988444010416666,0.0194091796875,2.0549266247379454,True,8.396819785691689e-12,True
llama-3.1-8b-instruct,Q4,128,128,0.05923665364583333,0.021256510416666666,2.7867534456355285,True,2.747735493385381e-28,True
qwen-2.5-7b-instruct,Q1,98,98,0.16425382653061224,0.06204294217687074,2.6474216206955634,True,7.324126046489055e-05,True
qwen-2.5-7b-instruct,Q2,98,98,0.0652529761904762,0.06175595238095238,1.0566265060240965,True,0.13966407480135157,False
qwen-2.5-7b-instruct,Q3,98,97,0.1016156462585034,0.06275773195876289,1.6191733366858037,True,1.96076498195746e-05,True
qwen-2.5-7b-instruct,Q4,98,98,0.1906143707482993,0.07285289115646258,2.616428362999708,True,1.5589236497443815e-18,True
qwen-2.5-14b-instruct,Q1,240,240,0.10001302083333335,0.11580729166666667,0.863615920845514,False,1.0,False
qwen-2.5-14b-instruct,Q2,240,240,0.11667100694444445,0.1190060763888889,0.9803785696050183,False,0.9989547594715638,False
qwen-2.5-14b-instruct,Q3,240,240,0.12822048611111111,0.11422309027777779,1.122544362959304,True,0.0022275571739003345,False
qwen-2.5-14b-instruct,Q4,240,240,0.17884114583333333,0.11820312499999999,1.5129984578100903,True,3.7092951985326238e-34,True
gemma-2-9b-it,Q1,84,84,0.09273313492063492,0.028497023809523812,3.2541340295909484,True,2.9312114072533653e-18,True
gemma-2-9b-it,Q2,84,84,0.046416170634920643,0.030964781746031747,1.4989987985582702,True,3.991162516398039e-06,True
gemma-2-9b-it,Q3,84,84,0.05396825396825396,0.03366815476190476,1.6029465930018414,True,3.1502233614943584e-06,True
gemma-2-9b-it,Q4,84,84,0.07312748015873016,0.03957093253968253,1.8480100282043253,True,1.310251709309079e-12,True
gemma-3-27b-it,Q1,248,248,0.11557039650537636,0.06717069892473118,1.7205477738869437,True,4.657313452712502e-44,True
gemma-3-27b-it,Q2,248,248,0.15093665994623656,0.08518145161290322,1.7719428007889548,True,1.7587601337055234e-25,True
gemma-3-27b-it,Q3,248,248,0.1254788306451613,0.09739583333333333,1.2883387959289287,True,2.721417220695128e-13,True
gemma-3-27b-it,Q4,248,248,0.16771673387096775,0.10593077956989247,1.583267248215702,True,4.923687294233299e-31,True
olmo-2-13b-instruct,Q1,200,200,0.03203125,0.01671614583333333,1.9161863218569872,True,1.3586113543837715e-11,True
olmo-2-13b-instruct,Q2,200,200,0.024789062499999997,0.01815625,1.3653184165232357,True,8.627148541330492e-10,True
olmo-2-13b-instruct,Q3,200,200,0.027410156249999998,0.020569010416666665,1.3325947964803444,True,1.9128618706412512e-17,True
olmo-2-13b-instruct,Q4,200,200,0.04542161051432291,0.02234375,2.0328552957459207,True,6.368743949278356e-35,True
gpt-j-6b-fp32,Q1,56,56,0.020320797250384333,0.0017220331089836788,11.800468379134358,True,9.678558698102239e-20,True
gpt-j-6b-fp32,Q2,56,56,0.03562849348499657,0.0023389846086501642,15.232461707201182,True,2.320213068688082e-18,True
gpt-j-6b-fp32,Q3,56,56,0.03983975975286388,0.004438190091223899,8.976578049607031,True,8.005155814664604e-17,True
gpt-j-6b-fp32,Q4,56,56,0.034627209816660155,0.0102718713737669,3.3710712056903094,True,1.861432041364544e-13,True
