relation,target
P103,French
P103,Russian
P103,Dutch
P103,English
P103,Spanish
P103,Italian
P103,Swedish
P103,Greek
P103,Chinese
P103,Korean
P103,Tamil
P103,Latin
P103,German
P103,Polish
P103,Romanian
P103,Finnish
P103,Hungarian
P103,Georgian
P103,Japanese
P103,Hebrew
P103,Welsh
P103,Persian
P103,Portuguese
P103,Indonesian
P103,Serbian
P103,Turkish
P103,Hindi
P103,Armenian
P103,Croatian
P103,Danish
P140,Islam
P140,Christianity
P140,Buddhism
P140,Judaism
P140,Scientology
P140,Christian
P140,Muslim
P140,Zen
P1303,piano
P1303,guitar
P1303,violin
P1303,trumpet
P1303,singing
P1303,slide
P17,India
P17,Canada
P17,Germany
P17,France
P17,Italy
P17,Australia
P17,Japan
P17,Russia
P17,Poland
P17,Netherlands
P17,Ireland
P17,Iran
P17,Spain
P17,Sweden
P17,Switzerland
P17,Belgium
P17,Norway
P17,Finland
P17,Philippines
P17,Greece
P17,Turkey
P17,Ukraine
P17,Brazil
P17,Malaysia
P17,Pakistan
P17,Indonesia
P17,Singapore
P17,Syria
P17,Peru
P17,Portugal
P17,Romania
P17,Austria
P17,Mexico
P17,Malta
P17,Nepal
P17,Nigeria
P17,Colombia
P17,Denmark
P17,Egypt
P17,Latvia
P17,Israel
P17,Hungary
P17,Kenya
P17,Venezuela
P17,Libya
P17,Afghanistan
P17,Argentina
P17,Chile
P17,Azerbaijan
P17,Vietnam
P17,Ethiopia
P17,Uganda
P17,Bulgaria
P17,Estonia
P17,Serbia
P17,Belarus
P17,Slovenia
P17,Lithuania
P17,Luxembourg
P17,Iraq
P17,Madagascar
P17,Fiji
P17,Qatar
P17,Armenia
P17,Bolivia
P17,Guatemala
P17,Thailand
P17,Sudan
P17,Lebanon
P17,Yemen
P17,Bangladesh
P17,Croatia
P17,Bahamas
P17,Ghana
P17,Haiti
P17,Taiwan
P17,Honduras
P17,Somalia
P17,Rwanda
P17,Bahrain
P17,Cyprus
P17,Liberia
P17,Kosovo
P17,Tanzania
P17,Tunisia
P17,Oman
P17,Cuba
P17,Cambodia
P17,Algeria
P17,Albania
P17,Nicaragua
P17,Bermuda
P17,Morocco
P17,Kuwait
P17,Kazakhstan
P190,Istanbul
P190,Athens
P190,Moscow
P190,Beijing
P190,Kiev
P190,Shanghai
P190,Chicago
P190,Madrid
P190,Budapest
P190,Ankara
P190,Warsaw
P190,Seoul
P190,Barcelona
P190,Cairo
P190,London
P190,Amsterdam
P190,Jakarta
P190,Prague
P190,Bangkok
P190,Vienna
P190,Havana
P190,Milan
P190,Florence
P190,Beirut
P190,Sydney
P190,Santiago
P190,Oslo
P190,Manila
P190,Tokyo
P190,Karachi
P190,Montreal
P190,Venice
P190,Damascus
P190,Dresden
P190,Lyon
P190,Lisbon
P190,Hamburg
P190,Alexandria
P190,Tehran
P190,Toronto
P190,Miami
P190,Copenhagen
P190,Dubai
P190,Baghdad
P190,Jerusalem
P190,Naples
P190,Frankfurt
P190,Berlin
P190,Cleveland
P190,Paris
P190,Edinburgh
P190,Mumbai
P190,Brisbane
P190,Houston
P190,Nice
P190,Philadelphia
P190,Rome
P190,Bristol
P190,Munich
P190,Vancouver
P190,Manchester
P190,Cologne
P190,Portsmouth
P190,Atlanta
P190,Bangalore
P190,Bethlehem
P190,Leeds
P190,Delhi
P190,Kyoto
P190,Dublin
P190,Boston
P190,Helsinki
P190,Dallas
P190,Guam
P190,Seattle
P190,Pittsburgh
P190,Auckland
P190,Lima
P190,Aberdeen
P190,Sheffield
P190,Birmingham
P190,Cardiff
P190,Indianapolis
P190,Calgary
P190,Albany
P190,Brooklyn
P190,Brunswick
P190,Dortmund
P190,Detroit
P190,Canberra
P190,Cambridge
P190,Toledo
P190,Valencia
P190,Liverpool
P190,Minneapolis
P190,Alberta
P190,Denver
P190,Adelaide
P190,Vladimir
P190,Cannes
P190,Nottingham
P740,London
P740,Seattle
P740,Philadelphia
P740,Chicago
P740,Manchester
P740,Paris
P740,Toronto
P740,Birmingham
P740,Tokyo
P740,Boston
P740,Atlanta
P740,Milan
P740,Montreal
P740,Brooklyn
P740,Oslo
P740,Melbourne
P740,Glasgow
P740,Leeds
P740,Berlin
P740,Sweden
P740,Detroit
P740,Munich
P740,Sydney
P740,Minneapolis
P740,Vancouver
P740,Stockholm
P740,Liverpool
P740,Helsinki
P740,Olympia
P740,Perth
P740,Miami
P740,Dallas
P740,Sheffield
P740,Dublin
P740,Hamburg
P740,Mumbai
P740,Athens
P740,Rome
P740,Netherlands
P740,Naples
P740,Brisbane
P740,Baltimore
P740,Barcelona
P740,Cleveland
P740,Nottingham
P740,Houston
P740,Moscow
P740,Oxford
P740,Seoul
P740,Edinburgh
P740,Beijing
P740,Japan
P740,Amsterdam
P740,Riverside
P740,Budapest
P740,Brighton
P740,Springfield
P740,California
P740,England
P740,Frankfurt
P740,Rochester
P740,Brazil
P740,Sacramento
P740,Adelaide
P740,Tyler
P740,Madrid
P740,Belfast
P740,Cincinnati
P740,Norway
P740,Canada
P740,Singapore
P740,Istanbul
P740,Tehran
P740,Victoria
P740,Jakarta
P740,Ottawa
P740,Lowell
P740,Waterloo
P740,Warsaw
P740,Florence
P740,Taiwan
P740,Cambridge
P740,Winnipeg
P740,Maryland
P740,Franklin
P740,Bern
P740,Edmonton
P740,Manila
P740,Pittsburgh
P740,Madison
P740,Cardiff
P740,Columbia
P740,Denver
P740,Calgary
P740,Wales
P740,Prague
P740,Scotland
P740,Kiev
P740,Italy
P740,Baghdad
P740,Stamford
P740,Camden
P740,Queens
P740,Wichita
P740,Kentucky
P740,Philippines
P740,Iceland
P740,Havana
P740,Fairfax
P740,Pennsylvania
P740,Germany
P740,Cologne
P740,Illinois
P740,Hamilton
P740,Belgium
P740,Nashville
P740,Reading
P740,Leicester
P740,France
P740,Indonesia
P740,Lafayette
P740,Dresden
P740,Minnesota
P740,Manhattan
P740,Aberdeen
P740,Shanghai
P740,Gibraltar
P740,Vienna
P740,Mobile
P740,Milwaukee
P740,Canterbury
P740,Reno
P740,Indianapolis
P740,Harlem
P740,Hawaii
P740,Southampton
P740,Auckland
P740,Venice
P740,Derby
P740,Burlington
P740,Spain
P740,Estonia
P740,Israel
P740,Portsmouth
P740,Louisiana
P740,Kyoto
P740,Tampa
P740,Australia
P740,Mexico
P740,Karachi
P740,Geneva
P740,Preston
P740,Lyon
P740,Somerset
P740,Lund
P178,Microsoft
P178,Apple
P178,IBM
P178,Google
P178,Adobe
P178,Intel
P178,Sega
P178,Nintendo
P178,Square
P178,Boeing
P178,Sony
P178,Amazon
P178,Atari
P178,Yahoo
P178,Samsung
P178,Airbus
P178,Nokia
P178,BBC
P178,Douglas
P495,Japan
P495,Canada
P495,India
P495,France
P495,Australia
P495,Italy
P495,Sweden
P495,Netherlands
P495,Germany
P495,Philippines
P495,Belgium
P495,Poland
P495,Spain
P495,Finland
P495,Norway
P495,Denmark
P495,Argentina
P495,Brazil
P495,Mexico
P495,Switzerland
P495,Singapore
P495,England
P495,Ireland
P495,Portugal
P495,Bangladesh
P495,Russia
P495,Scotland
P495,Israel
P495,Colombia
P495,Hungary
P495,Peru
P495,Romania
P495,Austria
P495,Indonesia
P495,Pakistan
P495,Iceland
P495,Greece
P495,Malaysia
P495,Turkey
P495,Cuba
P495,Venezuela
P495,Bulgaria
P495,Jamaica
P495,Belarus
P495,Egypt
P495,Ukraine
P495,Wales
P495,Iran
P495,Lebanon
P495,Ecuador
P495,Kenya
P495,Haiti
P495,Estonia
P495,Lithuania
P495,Honduras
P495,Laos
P495,Serbia
P495,Croatia
P495,Thailand
P495,Korea
P495,Ghana
P495,Cyprus
P495,Jordan
P495,Taiwan
P495,Chile
P495,Malta
P495,Chad
P127,Google
P127,Germany
P127,BBC
P127,Sony
P127,Microsoft
P127,Yahoo
P127,Sky
P127,Leonardo
P127,Nintendo
P127,Sega
P127,Boeing
P127,France
P127,WWE
P127,Apple
P127,Amazon
P127,Indianapolis
P127,Suzuki
P127,Edmonton
P127,Hamburg
P127,Philadelphia
P127,California
P127,Chicago
P127,Adobe
P127,IBM
P127,Winnipeg
P127,HBO
P127,Nokia
P127,Denver
P127,Fiat
P127,Tokyo
P127,Paris
P127,Berlin
P127,BP
P127,Detroit
P127,Finland
P127,Renault
P127,Rome
P127,Poland
P127,Vancouver
P127,Hawaii
P127,BMW
P127,Intel
P127,Volvo
P127,Milan
P127,Prague
P127,Croatia
P127,Fresno
P127,Anaheim
P127,Greece
P127,Toyota
P127,Ottawa
P127,Indiana
P127,Louisiana
P127,Toronto
P127,Oakland
P127,Mobile
P127,Nissan
P127,Switzerland
P127,Russia
P127,Luxembourg
P127,ESPN
P127,Omaha
P127,Dallas
P127,Chrysler
P127,Gibson
P127,Pennsylvania
P127,Montreal
P127,CBS
P127,Indonesia
P127,Houston
P127,Frankfurt
P127,Azerbaijan
P127,Nike
P127,Oslo
P127,Arlington
P127,Massachusetts
P127,Phoenix
P127,Calgary
P127,Helsinki
P127,Rai
P127,Atlanta
P127,Pittsburgh
P127,Airbus
P127,Bermuda
P127,Seattle
P127,Ukraine
P127,Seoul
P127,Turkey
P127,Sweden
P127,Memphis
P127,Vienna
P127,Norway
P127,Ankara
P127,Charlotte
P127,Belgium
P127,Chile
P127,Cyprus
P127,Lion
P127,Istanbul
P127,Jakarta
P127,Jacksonville
P127,Richmond
P127,Naples
P127,Netherlands
P127,Warsaw
P127,Bolivia
P127,Austria
P641,soccer
P641,football
P641,baseball
P641,basketball
P641,hockey
P176,Toyota
P176,Honda
P176,Nissan
P176,BMW
P176,Fiat
P176,Chevrolet
P176,Renault
P176,Dodge
P176,Ferrari
P176,Nokia
P176,Porsche
P176,Suzuki
P176,Apple
P176,Cadillac
P176,Nintendo
P176,Sony
P176,IBM
P176,Boeing
P176,Volvo
P176,Triumph
P176,Douglas
P176,Chrysler
P176,Microsoft
P176,Airbus
P176,Bentley
P176,Intel
P176,Iran
P176,Sega
P176,Jeep
P176,Yamaha
P176,Mercury
P176,Google
P176,McLaren
P176,Samsung
P176,Amazon
P176,Sears
P176,Atari
P413,midfielder
P413,quarterback
P413,linebacker
P413,pitcher
P413,catcher
P413,defender
P413,forward
P413,tackle
P413,goalkeeper
P413,guard
P413,closer
P413,centre
P364,English
P364,French
P364,Tamil
P364,Italian
P364,Hindi
P364,Spanish
P364,Russian
P364,Korean
P364,Latin
P364,Swedish
P364,Finnish
P364,Portuguese
P364,Dutch
P364,Hebrew
P364,Chinese
P364,Thai
P364,German
P364,Polish
P364,Indonesian
P364,Danish
P364,Icelandic
P364,Persian
P364,Greek
P364,Norwegian
P364,Croatian
P364,Serbian
P364,Ukrainian
P364,Turkish
P364,Welsh
P364,Hungarian
P364,Bulgarian
P364,Filipino
P364,Czech
P364,Romanian
P364,Catalan
P364,Georgian
P364,Irish
P39,bishop
P39,pope
P39,cardinal
P39,mayor
P39,Shah
P39,patriarch
P39,councillor
P39,governor
P39,minister
P39,pastor
P276,London
P276,Melbourne
P276,Istanbul
P276,Berlin
P276,Moscow
P276,Arizona
P276,Rome
P276,Copenhagen
P276,Cologne
P276,Jerusalem
P276,Amsterdam
P276,Vienna
P276,Toronto
P276,Paris
P276,Seattle
P276,France
P276,Iraq
P276,Boston
P276,Scotland
P276,Athens
P276,Atlanta
P276,Venice
P276,Madrid
P276,Singapore
P276,Barcelona
P276,Ankara
P276,Montreal
P276,Vancouver
P276,Stockholm
