relation,n_trials,n_unique_targets,n_unique_subjects
P101,541,81,515
P103,919,30,918
P106,787,27,787
P108,350,30,347
P127,426,107,426
P1303,513,6,507
P131,714,200,714
P136,847,22,847
P138,276,168,269
P140,427,8,422
P1412,922,37,921
P159,754,176,752
P17,875,95,874
P176,911,37,900
P178,579,19,572
P19,770,224,770
P190,618,101,232
P20,805,165,805
P264,53,12,52
P27,954,96,954
P276,598,214,562
P30,959,5,957
P36,133,58,133
P364,749,37,746
P37,891,44,737
P39,475,10,465
P407,215,34,212
P413,802,12,802
P449,794,15,789
P463,163,15,160
P495,904,67,903
P641,318,5,318
P740,773,155,773
P937,846,90,835
