trial_id,relation,subject,target,competitor,prompt,corrupt_subject,corrupt_target,corrupt_prompt
P103_0,P103,Danielle Darrieux,French,Russian,The mother tongue of Danielle Darrieux is,Thomas Joannes Stieltjes,Dutch,The mother tongue of Thomas Joannes Stieltjes is
P103_5,P103,Thomas Joannes Stieltjes,Dutch,French,The mother tongue of Thomas Joannes Stieltjes is,Michel Denisot,French,Michel Denisot spoke the language
P103_12,P103,Michel Denisot,French,Russian,Michel Denisot spoke the language,Go Hyeon-jeong,Korean,The mother tongue of Go Hyeon-jeong is
P103_14,P103,Go Hyeon-jeong,Korean,French,The mother tongue of Go Hyeon-jeong is,Jean Gaven,French,"Jean Gaven, speaker of"
P103_27,P103,Jean Gaven,French,Russian,"Jean Gaven, speaker of",Symeon of Polotsk,Russian,The native language of Symeon of Polotsk is
P103_36,P103,Symeon of Polotsk,Russian,French,The native language of Symeon of Polotsk is,Jean Galland,French,The mother tongue of Jean Galland is
P103_52,P103,Jean Galland,French,Russian,The mother tongue of Jean Galland is,Tanya Lopert,French,The native language of Tanya Lopert is
P103_75,P103,Tanya Lopert,French,Russian,The native language of Tanya Lopert is,Stefanos Stratigos,Greek,Stefanos Stratigos is a native speaker of
P103_86,P103,Stefanos Stratigos,Greek,French,Stefanos Stratigos is a native speaker of,Gwen Stefani,English,Gwen Stefani is a native speaker of
P103_112,P103,Gwen Stefani,English,French,Gwen Stefani is a native speaker of,Paul Biegel,Dutch,"Paul Biegel, a native"
P103_131,P103,Paul Biegel,Dutch,French,"Paul Biegel, a native",Cees Nooteboom,Dutch,The native language of Cees Nooteboom is
P103_168,P103,Cees Nooteboom,Dutch,French,The native language of Cees Nooteboom is,Pierre Messmer,French,The native language of Pierre Messmer is
P103_196,P103,Pierre Messmer,French,Russian,The native language of Pierre Messmer is,Ilya Ehrenburg,Russian,The mother tongue of Ilya Ehrenburg is
P103_213,P103,Ilya Ehrenburg,Russian,French,The mother tongue of Ilya Ehrenburg is,Dominique Perben,French,Dominique Perben spoke the language
P103_236,P103,Dominique Perben,French,Russian,Dominique Perben spoke the language,Julien Courbet,French,Julien Courbet is a native speaker of
P103_253,P103,Julien Courbet,French,Russian,Julien Courbet is a native speaker of,Alain Robbe-Grillet,French,The mother tongue of Alain Robbe-Grillet is
P103_272,P103,Alain Robbe-Grillet,French,Russian,The mother tongue of Alain Robbe-Grillet is,Jalil Lespert,French,The mother tongue of Jalil Lespert is
P103_311,P103,Jalil Lespert,French,Russian,The mother tongue of Jalil Lespert is,Xavier Saint-Macary,French,"Xavier Saint-Macary, speaker of"
P103_317,P103,Xavier Saint-Macary,French,Russian,"Xavier Saint-Macary, speaker of",Anatole France,French,The native language of Anatole France is
P103_371,P103,Anatole France,French,Russian,The native language of Anatole France is,Christian Bouchet,French,The mother tongue of Christian Bouchet is
P103_373,P103,Christian Bouchet,French,Russian,The mother tongue of Christian Bouchet is,Leslie Caron,French,"Leslie Caron, speaker of"
P103_389,P103,Leslie Caron,French,Russian,"Leslie Caron, speaker of",Fabrice Luchini,French,"Fabrice Luchini, a native"
P103_412,P103,Fabrice Luchini,French,Russian,"Fabrice Luchini, a native",Blanchette Brunoy,French,Blanchette Brunoy spoke the language
P103_427,P103,Blanchette Brunoy,French,Russian,Blanchette Brunoy spoke the language,Adriaan van Dis,Dutch,The mother tongue of Adriaan van Dis is
P103_428,P103,Adriaan van Dis,Dutch,French,The mother tongue of Adriaan van Dis is,Louis Bonaparte,French,Louis Bonaparte spoke the language
P103_465,P103,Louis Bonaparte,French,Russian,Louis Bonaparte spoke the language,Miguel de Cervantes,Spanish,The mother tongue of Miguel de Cervantes is
P103_494,P103,Miguel de Cervantes,Spanish,French,The mother tongue of Miguel de Cervantes is,Jean Marot,French,"Jean Marot, speaker of"
P103_584,P103,Jean Marot,French,Russian,"Jean Marot, speaker of",Toine Manders,Dutch,The mother tongue of Toine Manders is
P103_628,P103,Toine Manders,Dutch,French,The mother tongue of Toine Manders is,Ivan Ivanov-Vano,Russian,Ivan Ivanov-Vano spoke the language
