layer,head,mean_abs_delta,mean_signed_delta,n_trials
0,0,0.025275735294117647,-0.006893382352941176,68
0,1,0.024356617647058824,-0.012408088235294117,68
0,2,0.055376838235294115,0.003446691176470588,68
0,3,0.023207720588235295,0.001608455882352941,68
0,4,0.019301470588235295,0.0,68
0,5,0.025505514705882353,-0.00942095588235294,68
0,6,0.03125,-0.001838235294117647,68
0,7,0.02665441176470588,-0.0009191176470588235,68
0,8,0.027113970588235295,-0.0078125,68
0,9,0.01884191176470588,-0.004136029411764706,68
0,10,0.034466911764705885,-0.019761029411764705,68
0,11,0.02389705882352941,-0.0009191176470588235,68
0,12,0.03079044117647059,-0.0059742647058823525,68
0,13,0.019761029411764705,0.003216911764705882,68
0,14,0.027573529411764705,0.0055147058823529415,68
0,15,0.029411764705882353,-0.01011029411764706,68
1,0,0.03079044117647059,-0.01332720588235294,68
1,1,0.034466911764705885,-0.00045955882352941176,68
1,2,0.03170955882352941,0.009650735294117647,68
1,3,0.025735294117647058,-0.009191176470588236,68
1,4,0.05698529411764706,-0.0009191176470588235,68
1,5,0.035386029411764705,-0.008731617647058824,68
1,6,0.02849264705882353,-0.0009191176470588235,68
1,7,0.04342830882352941,0.003446691176470588,68
1,8,0.024816176470588234,-0.004595588235294118,68
1,9,0.025275735294117647,0.003216911764705882,68
1,10,0.02297794117647059,-0.0055147058823529415,68
1,11,0.03079044117647059,-0.0078125,68
1,12,0.025735294117647058,-0.0027573529411764708,68
1,13,0.02068014705882353,0.004136029411764706,68
1,14,0.0390625,0.006893382352941176,68
1,15,0.029871323529411766,-0.011488970588235295,68
2,0,0.035845588235294115,-0.011948529411764705,68
2,1,0.0390625,-0.006893382352941176,68
2,2,0.027113970588235295,0.0013786764705882354,68
2,3,0.029181985294117647,-0.008961397058823529,68
2,4,0.03125,0.001838235294117647,68
2,5,0.03561580882352941,0.011259191176470588,68
2,6,0.022058823529411766,-0.01011029411764706,68
2,7,0.028722426470588234,-0.0029871323529411763,68
2,8,0.03056066176470588,-0.00942095588235294,68
2,9,0.028722426470588234,-0.0057444852941176475,68
2,10,0.034926470588235295,-0.001838235294117647,68
2,11,0.035386029411764705,0.002297794117647059,68
