layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
0,0,6.181676640230067,5.746438454942658,68
0,1,7.392425915993312,5.9269825071219815,68
0,2,12.136480492484921,6.961218004899162,68
0,3,1.196993212599088,1.8614005592066019,68
0,4,1.4838719666962896,1.8253729001132184,68
0,5,2.484490162008168,2.2027415355593662,68
0,6,5.976050452822271,3.5561724182169145,68
0,7,5.434890975627829,3.0777106619121413,68
0,8,4.562119509367382,1.5176771091474206,68
0,9,5.317574504543753,1.4293471999731064,68
0,10,1.6726738782873487,4.591902808428168,68
0,11,2.143089215545093,1.4312962703770002,68
0,12,0.6126134708688101,2.4962377656117356,68
0,13,5.520056468598983,1.8998119499088453,68
0,14,6.53101001153974,2.3564296422203763,68
0,15,6.354224971386001,9.221346265265419,68
1,0,3.3012173219638714,2.1414346017653396,68
1,1,1.692416270948289,4.101396641857155,68
1,2,4.364423611831358,5.228602918944748,68
1,3,1.3951715980245567,2.4149414394453883,68
1,4,10.782375449424281,8.467534942630131,68
1,5,5.516920170801527,4.8242510254088815,68
1,6,3.3001494210432556,4.433878320464148,68
1,7,8.281198212274296,7.254466892826045,68
1,8,0.7240514802910826,0.8354345957307464,68
1,9,4.201279764337575,3.018759314037998,68
1,10,0.6076791516559965,1.5559541297317079,68
1,11,3.826658970292877,1.385336125115207,68
1,12,0.3262106614968027,0.46094321502821844,68
1,13,0.35775758205529523,0.2245893282372172,68
1,14,5.754764436251101,5.321329932385599,68
1,15,3.4748676955042517,5.272392321483349,68
2,0,4.681684030986884,5.933213887781494,68
2,1,2.697321005713414,3.24230333710102,68
2,2,3.1246005535564003,5.188060945902776,68
2,3,7.049846472985604,5.608185316011308,68
2,4,9.203628871809034,6.388505762231328,68
2,5,6.300462912548991,5.344601373094124,68
2,6,4.5045218827093345,3.8214357079078876,68
2,7,6.804164077429211,5.4508397803416955,68
2,8,6.517721024067963,5.653107226454829,68
2,9,2.8176738002940134,3.323767598110666,68
2,10,10.012969654163017,6.998231483843421,68
2,11,6.571240421603708,5.939382275871311,68
2,12,6.536564487416078,7.785112928620324,68
2,13,5.308203688000932,6.179163593377639,68
2,14,2.2659111178534874,2.579605225116428,68
2,15,6.2411171307458595,4.927927789721632,68
3,0,2.1622602547354557,2.1471800167869284,68
3,1,2.363175912595847,1.8342902304171096,68
3,2,3.517385133925606,1.5970674975090589,68
3,3,5.11558209973223,2.4280628449370902,68
3,4,1.958747035221142,0.9075098087113259,68
3,5,4.734363516463953,2.095491721731694,68
3,6,1.1169253140687943,0.5026761518684509,68
3,7,0.9094391607624643,1.233581361485142,68
3,8,7.372628869379268,3.995580686497233,68
3,9,2.810927091385512,2.625146546797641,68
3,10,6.479327782112009,3.237007453272793,68
3,11,7.027825060136178,2.9505542897844745,68
3,12,5.628389640766032,3.1210577525060796,68
3,13,4.424163754372036,2.8442466914665037,68
3,14,2.7341160647132816,2.403034185208341,68
3,15,6.588455004836707,3.749853638740271,68
4,0,5.789673882810509,3.2124591618052376,68
4,1,9.129346420659738,3.794824305524031,68
4,2,5.522167719462338,1.9660191999206271,68
4,3,5.812339512740865,2.7401794431886373,68
4,4,4.326691227800706,1.6710925765800784,68
4,5,2.827465479864794,1.3358040882345406,68
4,6,5.5906997533405525,2.2101684807827757,68
4,7,2.1420327214633716,1.3624350557152363,68
4,8,7.463577161269153,4.367267921335984,68
4,9,4.012714470681899,3.5383836625038985,68
4,10,3.2390413301832535,1.0903791969982968,68
4,11,1.8584810740807478,0.8702573457018187,68
4,12,6.63627855655025,3.2550225745271355,68
4,13,3.1208688252988983,2.189200576557822,68
4,14,4.450878280269749,3.5201468215542433,68
4,15,7.995774076375015,4.710527099657566,68
5,0,0.11075335089117289,0.13566024696688378,68
5,1,0.18162372571361415,0.175126212119108,68
5,2,6.869536966085434,3.0810540448488437,68
5,3,6.0400246960275314,3.9833995621030645,68
5,4,7.458995093317593,4.389455312362042,68
5,5,6.375439828480868,4.889464620655935,68
5,6,9.508409012766446,3.2266178727318042,68
5,7,0.11509218598332475,0.11373655398429232,68
5,8,7.87080417573452,3.3647590540987333,68
5,9,10.311562188846224,5.392949987338354,68
5,10,1.1087548149859203,1.0520827756484354,68
5,11,0.9875094682416495,0.9664389994385449,68
5,12,7.245644285617506,3.85425432769789,68
5,13,7.884149930056403,3.8201501768450505,68
5,14,2.5190049639957794,2.927501635061028,68
5,15,0.21032290168873527,0.2058494172723214,68
6,0,3.7645719717530643,1.9672301169685968,68
6,1,1.2293221929713207,1.6586209844653457,68
6,2,5.629070800455177,3.5457430963652694,68
6,3,2.5642707545091126,2.1355238601757294,68
6,4,5.148494504994767,4.250745167985296,68
6,5,3.027149295105654,2.176616435211658,68
6,6,3.6890690870144787,0.896935316900488,68
6,7,7.152669640148387,3.85653115579822,68
6,8,1.9709689647835844,1.118445599777717,68
6,9,5.296659010298112,3.041008199435136,68
6,10,1.3021556782152723,0.9161442658342148,68
6,11,3.6735106858917894,1.958299502263918,68
6,12,9.080147335086675,5.135549933728552,68
6,13,8.101665554677739,3.7376636083578045,68
6,14,4.756662370527492,2.539907318850192,68
6,15,4.431893994264743,2.0044804699824645,68
7,0,0.06524729610913817,0.07620058374082836,68
7,1,0.26423782321131406,0.48062029981591675,68
7,2,4.825295187532902,3.247424987311468,68
7,3,2.096943506094463,1.8225088569859291,68
7,4,3.3403114209718563,3.2572458764510865,68
7,5,8.763993020443355,3.8965752416448476,68
7,6,5.380657686030164,3.6255624959459296,68
7,7,0.5963866680531817,0.5984239360767052,68
7,8,2.498377442962545,2.712930505871831,68
7,9,8.30418438595884,4.945645642086185,68
7,10,0.2814581723685157,0.46407554180393074,68
7,11,0.06881117455743473,0.08260452515936215,68
7,12,11.290774483891095,3.783778124980064,68
7,13,5.124842021395178,1.3089376307346716,68
7,14,5.295111734200926,3.131145961462372,68
7,15,6.079389194355292,3.050171038731349,68
8,0,4.787311227006071,2.2886868729549628,68
8,1,3.353209105484626,1.703959079548243,68
8,2,3.398188808823333,2.429037625660732,68
8,3,2.305336766054525,2.079991942407215,68
8,4,4.11237194257624,1.934370031009167,68
8,5,4.1672466169385345,1.6471406128456139,68
8,6,8.136485366260304,2.850645106457813,68
8,7,9.112449202467413,2.8158807216835164,68
8,8,3.6499285196118496,2.3337034074174468,68
8,9,4.3232722348150086,2.2137338966326596,68
8,10,5.541759930989322,3.31177773792638,68
8,11,4.43722369784818,3.5991362744571074,68
8,12,6.804821188835537,3.7264550568186916,68
8,13,4.977452121236745,2.4556968113943967,68
8,14,2.9851275384426117,1.4211109594541107,68
8,15,1.8140570573947008,1.444932067984224,68
9,0,7.930461988729589,2.6761142176263863,68
9,1,4.806604038266575,4.088012448225829,68
9,2,0.9904236789135372,1.1689230561190918,68
9,3,0.12590614974033087,0.17560113576195632,68
9,4,3.9356709718704224,1.789195790399448,68
9,5,10.568499817567712,3.138887748557668,68
9,6,2.3709411862141945,2.93960174667047,68
9,7,6.231911778888282,3.946239954424307,68
9,8,2.234994521802839,3.257315004688571,68
9,9,4.862754487596891,4.2336094852739965,68
9,10,6.503221695913988,2.9214838548352624,68
9,11,4.551813260597341,2.2751367591463585,68
9,12,4.826588069033973,3.78969468321762,68
9,13,13.07538914680481,5.336185553906246,68
9,14,4.594635201727643,2.7012613616440326,68
9,15,0.706038382013931,0.8651126179260823,68
10,0,6.882362153600244,2.246490214577045,68
10,1,2.49501343641211,1.5134442656097622,68
10,2,3.265574680531726,1.7684442129626323,68
10,3,8.330690165652948,4.528060412505056,68
10,4,7.071068286895752,2.09118249380188,68
10,5,4.160886661094778,1.1371231619461677,68
10,6,4.604194725261015,1.6096206237386623,68
10,7,2.9883231143741047,1.7233985593941297,68
10,8,6.230660234304035,2.7658743772301,68
10,9,6.530037055997288,3.352094858623107,68
10,10,2.5538821566630814,1.9620104564469607,68
10,11,1.0597050012472797,1.0833533609594774,68
10,12,3.4938786345369675,1.6468027813648185,68
10,13,8.350111829883913,2.4418427929020203,68
10,14,5.444754204329322,1.6260315993449805,68
10,15,5.461147550274344,3.0815436033741457,68
11,0,5.195773174657541,2.7599122485244596,68
11,1,4.21538616541554,1.9828347116062484,68
11,2,0.3275882761706324,0.47784219747827705,68
11,3,1.6761828029856962,0.9735514236812037,68
11,4,6.879230951561647,2.5625420581841527,68
11,5,9.468992236782523,3.332427505093252,68
11,6,2.666050397352699,2.1030151527645917,68
11,7,5.5531732849776745,2.70597323463163,68
11,8,10.080206253949333,2.6989510567692863,68
11,9,2.685417659142438,1.9501215458923045,68
11,10,3.9875608524855446,1.4593565213082083,68
11,11,0.4985339901793529,0.45408006997099715,68
11,12,8.760027398081387,2.575017970476707,68
11,13,3.9414818300043835,1.669483791728595,68
11,14,6.073497450965292,3.4319608484300583,68
11,15,3.4724480845034122,1.7510083612486436,68
12,0,5.887832493685624,4.229311691856511,68
12,1,8.04264730740996,2.698720365389454,68
12,2,8.54701660135213,3.6632469700433186,68
12,3,5.97282331787488,2.553286292556532,68
12,4,7.886423178893678,3.2912268074931195,68
12,5,4.813567483249833,3.447018591523558,68
12,6,2.6289483580519173,1.9508705748634116,68
12,7,9.823000353925368,3.1968052747618163,68
12,8,0.3105951524613535,0.21291237392103246,68
12,9,3.745162065414821,3.0351742809434734,68
12,10,1.116083927671699,1.14811735671097,68
