trial_id,relation,subject,target,competitor,target_id,competitor_id,argmax_id,argmax_token,target_rank,target_logit,competitor_logit,margin,is_top1,is_top5
P101_10027,P101,Boris Delaunay,geometry,physics,22939,11887,3644, computer,43,10.077261924743652,9.199331283569336,0.8779306411743164,False,False
P101_10066,P101,Carl Hovland,psychology,physics,15119,11887,262, the,141,8.204002380371094,7.735445022583008,0.46855735778808594,False,False
P103_0,P103,Danielle Darrieux,French,Russian,4141,3394,4141, French,1,17.772083282470703,11.79593276977539,5.9761505126953125,True,True
P103_10038,P103,Alfred Capus,French,Russian,4141,3394,2679, German,6,14.914231300354004,12.463691711425781,2.4505395889282227,False,False
P106_10026,P106,Henry Maudsley,psychiatrist,actor,31207,8674,257, a,49,9.430768013000488,6.263289451599121,3.167478561401367,False,False
P106_10076,P106,Georgina Leonidas,actor,politician,8674,14971,6802, artist,13,13.96685791015625,2.0146822929382324,11.952175617218018,False,False
P108_10032,P108,Guido van Rossum,Google,BBC,3012,7823,262, the,2,17.52093505859375,10.814133644104004,6.706801414489746,False,True
P108_10064,P108,Krishna Bharat,Google,BBC,3012,7823,262, the,24,10.759511947631836,9.64948558807373,1.1100263595581055,False,False
P127_10,P127,BBC One,BBC,Google,7823,3012,262, the,11,11.461763381958008,6.631618976593018,4.83014440536499,False,False
P127_10040,P127,Cognos,IBM,Google,19764,3012,11,",",34,10.592852592468262,7.7342095375061035,2.858643054962158,False,False
P1303_10011,P1303,Marvin Stamm,trumpet,piano,40334,19132,900, set,74,9.958620071411133,12.234064102172852,-2.2754440307617188,False,False
P1303_10017,P1303,Herbert Fryer,piano,guitar,19132,10047,262, the,9,11.844877243041992,11.93049144744873,-0.08561420440673828,False,False
P131_10018,P131,Schwules Museum,Berlin,Pennsylvania,11307,9589,262, the,2,15.296782493591309,4.74125337600708,10.555529117584229,False,True
P131_10045,P131,Neighborhoods in Detroit,Detroit,Pennsylvania,8488,9589,262, the,19,11.736855506896973,6.098189830780029,5.638665676116943,False,False
P136_10043,P136,Mark Bucci,opera,jazz,27296,21274,257, a,429,7.018661975860596,8.217171669006348,-1.198509693145752,False,False
P136_10065,P136,Alexander O'Neal,funk,jazz,46212,21274,257, a,424,7.349006652832031,9.562984466552734,-2.213977813720703,False,False
P138_10042,P138,Beijing Capital International Airport,Beijing,Victoria,11618,12313,262, the,4,13.881678581237793,5.522469520568848,8.359209060668945,False,True
P138_1009,P138,HMAS Sydney,Sydney,Victoria,11852,12313,262, the,3,15.553974151611328,11.41146469116211,4.142509460449219,False,True
P140_1,P140,Edwin of Northumbria,Christianity,Islam,13624,3449,262, the,2,14.420183181762695,9.287322998046875,5.13286018371582,False,True
P140_100,P140,Jahangir,Islam,Christianity,3449,13624,3449, Islam,1,15.380767822265625,10.643305778503418,4.737462043762207,True,True
P1412_10009,P1412,Lin Huiyin,Chinese,English,3999,3594,286, of,188,8.156204223632812,9.790711402893066,-1.634507179260254,False,False
P1412_10036,P1412,Dominique Perben,French,English,4141,3594,407, not,370,8.214282989501953,8.176719665527344,0.037563323974609375,False,False
P159_1001,P159,Physikalisch-Technische Bundesanstalt,Brunswick,London,32211,3576,9718, Bra,35,14.211262702941895,6.187171936035156,8.024090766906738,False,False
P159_10015,P159,GIC Private Limited,Singapore,London,12551,3576,22917, Mumbai,16,13.871339797973633,12.113093376159668,1.7582464218139648,False,False
P17_10005,P17,New Era University,Philippines,India,13316,3794,262, the,1684,7.617802143096924,6.864937782287598,0.7528643608093262,False,False
P17_10034,P17,Kojur District,Iran,India,4068,3794,262, the,173,10.188186645507812,10.914848327636719,-0.7266616821289062,False,False
P176_10014,P176,Honda CB550,Honda,Toyota,20059,20182,20059, Honda,1,17.594154357910156,10.536906242370605,7.057248115539551,True,True
P176_10044,P176,Toyota Mark II,Toyota,Honda,20182,20059,262, the,2,12.718031883239746,8.5348539352417,4.183177947998047,False,True
P178_10019,P178,Google Account,Google,Microsoft,3012,5413,3012, Google,1,20.264591217041016,11.989623069763184,8.274968147277832,True,True
P178_10020,P178,NTLDR,Microsoft,Apple,5413,4196,262, the,14,10.344645500183105,7.485416412353516,2.85922908782959,False,False
P19_1002,P19,Michel Brault,Montreal,London,12871,3576,12871, Montreal,1,15.66632080078125,11.604256629943848,4.062064170837402,True,True
P19_10031,P19,Masako Natsume,Tokyo,London,11790,3576,262, the,5,12.192827224731445,7.888385772705078,4.304441452026367,False,True
P190_10000,P190,Cincinnati,Munich,Istanbul,22418,25299,257, a,11192,1.849613904953003,0.8786267042160034,0.9709872007369995,False,False
P190_10006,P190,Athens,Kiev,Istanbul,22761,25299,262, the,924,6.513453960418701,9.962027549743652,-3.448573589324951,False,False
P20_10007,P20,Sa'd al-Dawla,Aleppo,London,18593,3576,860, 9,30,13.454676628112793,9.94839096069336,3.5062856674194336,False,False
P20_1008,P20,Greer Lankton,Chicago,London,4842,3576,607, her,12,11.5732421875,11.915918350219727,-0.34267616271972656,False,False
P264_1000,P264,Purple Hearts,Sunshine,Brunswick,32210,32211,257, a,7665,3.0828020572662354,0.8695509433746338,2.2132511138916016,False,False
P264_10597,P264,Meredith Andrews,Word,Brunswick,9678,32211,262, the,1894,6.374151706695557,5.350712299346924,1.0234394073486328,False,False
P27_10002,P27,Colmar Freiherr von der Goltz,Germany,Canada,4486,3340,262, the,4,13.397022247314453,9.490032196044922,3.9069900512695312,False,True
P27_10008,P27,Paolo Martin,Italy,Canada,8031,3340,262, the,2,14.186705589294434,11.444640159606934,2.7420654296875,False,True
P276_10021,P276,Jay Treaty,London,Melbourne,3576,14819,262, the,767,7.45043420791626,3.937516450881958,3.5129177570343018,False,False
P276_10062,P276,Chelyabinsk meteor,Russia,London,3284,3576,3402, shown,111,9.83474063873291,3.7427310943603516,6.092009544372559,False,False
P30_10003,P30,Liard Island,Antarctica,Europe,30185,2031,262, the,78,11.714704513549805,9.799566268920898,1.9151382446289062,False,False
P30_10028,P30,Whillans Ice Stream,Antarctica,Europe,30185,2031,30185, Antarctica,1,20.771137237548828,16.547740936279297,4.223396301269531,True,True
P36_10035,P36,Saxony,Dresden,Paris,46993,6342,46993, Dresden,1,18.648466110229492,4.305602550506592,14.3428635597229,True,True
P36_10369,P36,Second French Empire,Paris,Prague,6342,37079,6342, Paris,1,14.825490951538086,7.348929405212402,7.476561546325684,True,True
P364_10013,P364,Conjunctions,English,French,3594,4141,257, a,6,12.043211936950684,10.684601783752441,1.3586101531982422,False,False
P364_10039,P364,Rasigan,Tamil,English,32519,3594,257, a,28,10.728048324584961,11.780120849609375,-1.052072525024414,False,False
P37_10078,P37,Papua New Guinea,English,Finnish,3594,26838,407, not,16,12.621966361999512,5.403923988342285,7.218042373657227,False,False
P37_10134,P37,Zimbabwe,English,Finnish,3594,26838,911, Sh,2,16.726755142211914,2.9181277751922607,13.808627367019653,False,True
P39_10010,P39,Maximianus of Ravenna,bishop,pope,24233,26850,32292, saint,6,13.374865531921387,10.764638900756836,2.610226631164551,False,False
P39_10025,P39,Bernard Tissier de Mallerais,bishop,pope,24233,26850,262, the,36,10.957334518432617,6.749238014221191,4.208096504211426,False,False
P407_10033,P407,Vogue Italia,Italian,French,8200,4141,257, a,3,12.79233169555664,10.861581802368164,1.9307498931884766,False,True
P407_10082,P407,I Got a Boy,Korean,French,6983,4141,257, a,3821,4.483738422393799,6.689722061157227,-2.2059836387634277,False,False
P413_10029,P413,Don Meredith,quarterback,midfielder,7880,18707,286, of,47,9.961310386657715,5.655574798583984,4.3057355880737305,False,False
P413_1006,P413,Jonathan Goff,linebacker,midfielder,18961,18707,257, a,18,10.040474891662598,9.911795616149902,0.1286792755126953,False,False
P449_10023,P449,Whew!,CBS,NBC,11133,9716,262, the,868,5.923138618469238,5.260442733764648,0.6626958847045898,False,False
P449_10104,P449,Dough Re Mi,NBC,CBS,9716,11133,262, the,26,12.799188613891602,12.252735137939453,0.5464534759521484,False,False
P463_10050,P463,Football Association of Zambia,FIFA,NATO,21285,11332,47186, Confederation,7,14.46208667755127,2.3590946197509766,12.102992057800293,False,False
P463_10121,P463,Tajikistan National Football Federation,FIFA,NATO,21285,11332,7740, Asian,3,17.358617782592773,5.869208812713623,11.48940896987915,False,True
P495_10012,P495,Franco-Belgian comics,Belgium,Japan,15664,2869,262, the,2,15.097430229187012,8.273164749145508,6.824265480041504,False,True
P495_1003,P495,Comic High!,Japan,Canada,2869,3340,262, the,93,11.128618240356445,11.55578327178955,-0.42716503143310547,False,False
P641_10047,P641,Stan Musial,baseball,soccer,9283,11783,9283, baseball,1,15.838077545166016,8.240483283996582,7.597594261169434,True,True
P641_10270,P641,Billy Sunday,baseball,soccer,9283,11783,286, of,102,8.779404640197754,4.889177322387695,3.8902273178100586,False,False
P740_10016,P740,Pentacon,Dresden,London,46993,3576,11104, 1989,820,7.019664287567139,11.727450370788574,-4.7077860832214355,False,False
P740_10054,P740,Larsen & Toubro,Mumbai,London,22917,3576,262, the,127,12.208114624023438,11.170178413391113,1.0379362106323242,False,False
P937_10004,P937,Adam Jerzy Czartoryski,Paris,London,6342,3576,262, the,12,11.85088062286377,12.076263427734375,-0.22538280487060547,False,False
P937_10060,P937,Jonathan Meese,Hamburg,London,32526,3576,262, the,1799,5.972564220428467,10.23989200592041,-4.267327785491943,False,False
