layer,head,importance,perturbation,cell
0,0,0.0668619450400857,3.399571570410284,hihp
0,1,0.0432231461300568,2.8841909687308704,hihp
0,2,0.0402391728232887,2.70504891828579,hihp
0,3,0.0311113893985748,2.3430421203374863,hihp
0,4,0.0448375870199763,3.851769416428664,hihp
0,5,0.0351998911184422,2.3419248558142605,hihp
0,6,0.051339584238389,2.889494718874202,hihp
0,7,0.0940354536561405,4.3307824163314175,hihp
0,8,0.0362746189622316,2.6285875404582306,hihp
0,9,0.0441838169799133,2.426633510081207,hihp
0,10,0.0330332465031566,2.325356128570788,hihp
0,11,0.0396991757785574,2.5690718705163285,hihp
0,12,0.0403765510110292,2.7017338758005813,hihp
0,13,0.0564478442949407,3.0363576081307495,hihp
0,14,0.0276825392947479,2.166052614503047,hilp
0,15,0.0466291448649238,3.3772657961201142,hihp
1,0,0.0346697358524095,2.515038116013302,hihp
1,1,0.0257380552151623,2.589926708599224,C
1,2,0.0489730046075933,3.4176247737863483,hihp
1,3,0.0413919371717117,2.837647761492168,hihp
1,4,0.0329010469072004,2.8928086170378853,hihp
1,5,0.0267816326197455,2.3954766857273437,C
1,6,0.0348769093261047,3.073867309181129,hihp
1,7,0.0286306230460894,2.417754940195557,hihp
1,8,0.0565119753865635,3.5677434169851683,hihp
1,9,0.0337328419965856,2.9006638597039616,hihp
1,10,0.0490024755982791,3.816019242300707,hihp
1,11,0.0305891370072084,2.7521166485898636,hihp
1,12,0.0549599037450903,2.751152944915435,hihp
1,13,0.0365007361944984,2.7716256231069565,hihp
1,14,0.0270088683156408,2.292293143184746,C
1,15,0.0365935932187472,2.9089534379103603,hihp
2,0,0.0525074969319733,3.65619379019036,hihp
2,1,0.0812815252472371,4.928029946106322,hihp
2,2,0.0560309606439928,3.0420559565810597,hihp
2,3,0.0374406015171724,2.963752839495154,hihp
2,4,0.0400023916188408,3.325950052808313,hihp
2,5,0.0423518349142634,2.8477442597641662,hihp
2,6,0.0668536056490504,4.660096428850117,hihp
2,7,0.0458465253605561,3.283408835530281,hihp
2,8,0.0461743491537432,3.5612408711629757,hihp
2,9,0.0422668947893029,3.1774806665147053,hihp
2,10,0.0417801141738893,2.8300224520704327,hihp
2,11,0.0873222298481884,5.42091941132265,hihp
2,12,0.0395022174891303,2.8596562196445814,hihp
2,13,0.0666574134546167,3.7578237337224625,hihp
2,14,0.0343856303130877,2.6486131667214283,hihp
2,15,0.0646400626967935,4.151294962009963,hihp
3,0,0.0499241124181186,2.2113368414780674,hilp
3,1,0.053437879856895,4.188583697575857,hihp
3,2,0.0117288635057562,0.8847584493239137,D
3,3,0.0525762736797333,2.390759056981872,hihp
3,4,0.0307044562171487,2.0157037909854862,hilp
3,5,0.054134775610531,3.9783286675810814,hihp
3,6,0.0022242752944721,0.239258699283442,D
3,7,0.0137211592758404,0.8312191101996338,D
3,8,0.0084552835015689,0.4920736501979477,D
3,9,0.0035986882798813,0.3256699686924763,D
3,10,0.007928208393209,0.6031819470226765,D
3,11,0.0132770152652964,0.7800219841301441,D
3,12,0.0075754225254058,0.7275447188054814,D
3,13,0.0139367317452151,1.2330226361313288,D
3,14,0.0252115165486054,1.5076934771940989,D
3,15,0.0658900807885561,3.8199467492454193,hihp
4,0,0.0016216355211594,0.1442839681335231,D
4,1,0.0064153145341312,0.385166387347614,D
4,2,0.0081536156289717,0.5353414303458789,D
4,3,0.002611458301544,0.3205554369727478,D
4,4,0.0188432458569023,1.1925559306845943,D
4,5,0.0372123034561382,2.5730097658713076,hihp
4,6,0.0015751999967237,0.2027235446936067,D
4,7,0.0361805102404426,2.167258171693367,hilp
4,8,0.0062447821392733,0.5587972731274717,D
4,9,0.0045689695021686,0.5268244417932104,D
4,10,0.0056049438083873,0.4541980336036752,D
4,11,0.0446210328270407,2.797459328875822,hihp
4,12,0.001460173550774,0.1390942812020725,D
4,13,0.0188759056960835,1.3499046831446535,D
4,14,0.0134141778244689,1.389284690403763,D
4,15,0.0628817712559417,3.078185499590986,hihp
5,0,0.0178319110589869,1.530287134735023,D
5,1,0.0429079409907846,2.2183634099714897,hilp
5,2,0.0476498183082132,2.8806035816669464,hihp
5,3,0.0175039382541879,1.3204514590256355,D
5,4,0.009152386118384,0.8319447419660932,D
5,5,0.0706147937213675,4.313532612779561,hihp
5,6,0.1010207358528586,5.380959450322039,hihp
5,7,0.0042050901581258,0.3399400657371563,D
5,8,0.0094369334333083,0.7118699133177014,D
5,9,0.003097108181785,0.3008263919173795,D
5,10,0.0255934841492596,1.3490589243524216,D
5,11,0.0347632730708403,2.897182179724469,hihp
5,12,0.0270812213420867,1.6791005375630714,hilp
5,13,0.0090838144807256,0.8590510321014068,D
5,14,0.010640494963702,0.6999365038731519,D
5,15,0.0500246759723215,2.9649060583289932,hihp
6,0,0.0634393727078155,3.9187763889922818,hihp
6,1,0.0565734838738162,3.882799046442789,hihp
6,2,0.0027431915788089,0.2909248575349064,D
6,3,0.0020012539975783,0.204914734698832,D
6,4,0.0183747095220227,1.0758155777173883,D
6,5,0.0701076914282407,4.0088782494559005,hihp
6,6,0.0125251517576328,0.7879907322280547,D
6,7,0.0031050268341514,0.2296589427244137,D
6,8,0.0294743267928852,1.7204768530586187,hilp
6,9,0.0313279681345996,1.9839525284136044,hilp
6,10,0.0057984450284172,0.5764009817777311,D
6,11,0.1026516136001136,2.623864208950716,hihp
6,12,0.0495974666932049,4.866658472839524,hihp
6,13,0.0118224515634424,0.9440500653513214,D
6,14,0.0040161890142103,0.3059761723065201,D
6,15,0.0121743871885187,0.8331004013033474,D
7,0,0.0490950731670155,3.3169859330005504,hihp
7,1,0.0370877244893241,1.8809383651789495,hilp
7,2,0.0255300402641296,1.5843825158389175,D
7,3,0.0200139038703021,1.5710663874359692,D
7,4,0.0378830730915069,2.220365008010584,hilp
7,5,0.0310056717956766,1.8285877402214443,hilp
7,6,0.0017395072123584,0.1694039160604862,D
7,7,0.0101038743467893,0.7815858776516774,D
7,8,0.0114343604620764,0.7695417982690475,D
7,9,0.0033136816585765,0.3188095074146986,D
7,10,0.0075537106570076,0.5756522991749293,D
7,11,0.0353270295788258,3.4803198367795525,hihp
7,12,0.008508364943897,0.6262137221501154,D
7,13,0.0084589474341449,0.6561764905996182,D
7,14,0.1249300539493559,5.731771214043393,hihp
7,15,0.0237480384462019,0.8984686989775476,D
8,0,0.0340983464437373,2.05842843301156,hilp
8,1,0.0013456204358269,0.1495635036159963,D
8,2,0.0632309808450588,5.133669285213246,hihp
8,3,0.0548561706262478,3.268762627068688,hihp
8,4,0.0284815044964062,1.6140459526111095,hilp
8,5,0.0581265109426833,3.838929675957736,hihp
8,6,0.036993130164988,2.1954896292265724,hilp
8,7,0.0192785543553969,1.5409775067339926,D
8,8,0.0275537213858436,1.5882177221424438,hilp
8,9,0.0105929024079267,0.6990787868990618,D
8,10,0.0064402853741363,0.5834337497020469,D
8,11,0.0498637627152837,3.0247852083514717,hihp
8,12,0.0376584039014927,3.061062059858266,hihp
8,13,0.0304474900750553,1.6591022224987255,hilp
8,14,0.018637485363904,1.4242097340962463,D
8,15,0.0023613957797779,0.2018997136996511,D
9,0,0.0494689555729136,3.1292403314043495,hihp
9,1,0.0320395774701062,2.3200004241045784,hihp
9,2,0.008472700329388,0.9055874566821492,D
9,3,0.0434038323514602,2.266190628356793,hihp
9,4,0.0879600784357858,5.131985024494283,hihp
9,5,0.1456103359951691,7.3014154995189,hihp
9,6,0.0357089866610134,2.0277769289472523,hilp
9,7,0.0405884174739613,3.108048181323444,hihp
9,8,0.0222687651129328,1.1259921962285744,D
9,9,0.0765670502887053,4.183935989351833,hihp
9,10,0.1357293111436507,5.922520019990556,hihp
9,11,0.0234588822897745,1.180142406374216,D
9,12,0.0249577900942634,1.5696483841713738,D
9,13,0.1319389623754165,7.740571463590159,hihp
9,14,0.0204072226496301,1.10778491637286,D
9,15,0.0356679348384633,1.6982500653933077,hilp
10,0,0.0566089205882127,1.7073435270610977,hilp
10,1,0.0548828945440404,3.4345429399434257,hihp
10,2,0.0272521832410027,1.8632571096805963,hilp
10,3,0.0938322894713458,4.623804748934858,hihp
10,4,0.1017719857832965,4.957150506622651,hihp
10,5,0.0278550526675055,1.7212995571248673,hilp
10,6,0.0530873624717488,2.6884437650442123,hihp
10,7,0.0070845204241136,0.6810821265201358,D
10,8,0.0200981427641475,1.5317063331604004,D
10,9,0.0780412940418019,3.015610820230316,hihp
10,10,0.0444385076270384,2.5508296814034965,hihp
10,11,0.0444314795381884,2.7789609936230324,hihp
10,12,0.0221862968276528,1.5461540399667095,D
10,13,0.0408121750635258,2.4047466928468033,hihp
10,14,0.02408167719841,1.4984369672396605,D
10,15,0.007588200709399,0.5722144201178762,D
11,0,0.0083094256765702,0.5246265107656226,D
11,1,0.0254321904743418,1.7189843759817236,D
11,2,0.0086429206763996,0.7082445165690254,D
11,3,0.0653707981109619,4.330962292411748,hihp
11,4,0.1015441803371204,4.43880012105493,hihp
11,5,0.0534898638725282,2.188095342148753,hilp
11,6,0.0606851104427785,3.0126081775216496,hihp
11,7,0.0890682234483605,2.8543934024432125,hihp
11,8,0.1007842666962569,4.0220578768674065,hihp
11,9,0.0224388311890993,1.85047117270091,D
11,10,0.057448097888161,3.6923331013497185,hihp
11,11,0.1596117300145767,7.278863732429111,hihp
11,12,0.1427199945730323,5.316356320591534,hihp
11,13,0.0807540556963754,3.537242152235087,hihp
11,14,0.0276987500050488,1.78310440732714,hilp
11,15,0.0251117471386403,1.205665434108061,D
12,0,0.0746384683777305,3.5981374637168995,hihp
12,1,0.0322472067440256,1.4216275202000843,hilp
12,2,0.0513388023656958,2.816168815993211,hihp
12,3,0.0322540612781749,2.0337994854678128,hilp
12,4,0.0098548023139729,0.533981983714244,D
12,5,0.018152173827676,1.076703615486622,D
12,6,0.0347933593918295,3.165163290412987,hihp
12,7,0.1198226897155538,5.597574237514944,hihp
12,8,0.0349105543950024,1.973181623746367,hilp
12,9,0.0337983895750605,1.8614603622871289,hilp
12,10,0.0039660264463985,0.3471501973074148,D
12,11,0.0955953001976013,5.427495302522884,hihp
12,12,0.0314605937284583,2.7629770636558533,hihp
12,13,0.0681031977429108,3.9296149909496303,hihp
12,14,0.0303665978067063,1.596312635742566,hilp
12,15,0.0140699428670548,1.0927461405449057,D
13,0,0.0185177782002615,1.606383172685609,D
13,1,0.062098271706525,3.3794122044654453,hihp
13,2,0.0439680429065927,3.3326974298585865,hihp
13,3,0.0086584213901968,0.625324556056191,D
13,4,0.0457917521981633,2.3029171789393708,hihp
13,5,0.0784947048215304,5.559133559465408,hihp
13,6,0.024336683399537,1.2322797141969204,D
13,7,0.0750713944435121,3.8605521470308304,hihp
13,8,0.0418621687328112,2.343914558124893,hihp
13,9,0.0087968216222875,0.7791832520023865,D
13,10,0.0197268391356748,1.5808728034881985,D
13,11,0.0054452068665448,0.4823096108568065,D
13,12,0.0667189640157364,4.5885609738966995,hihp
13,13,0.0126427657463971,0.5804023578324738,D
13,14,0.0244939625263215,1.6054127566954668,D
13,15,0.0464456186575047,3.014972191961373,hihp
14,0,0.0415116986807654,2.909184199922225,hihp
14,1,0.0604481819797964,4.159419995020418,hihp
14,2,0.0230711593347435,1.4070325471899088,D
14,3,0.0231374291812672,1.239489223150646,D
14,4,0.0170928082045386,1.5284965555457508,D
14,5,0.041157287709853,2.68587869800189,hihp
14,6,0.0101541245684905,1.061135017477414,D
14,7,0.0563828401705797,2.8516147829153957,hihp
14,8,0.0449674900840309,3.2451212677885506,hihp
14,9,0.1103267424246845,4.882103450158063,hihp
14,10,0.0217282316263983,1.147165751851657,D
14,11,0.090975039145526,4.04337960218682,hihp
14,12,0.0983553861870486,3.697939758791643,hihp
14,13,0.0388017980491413,2.3299917775918457,hihp
14,14,0.0271611020845524,1.823815683669904,hilp
14,15,0.0087853687651016,0.827825050581904,D
15,0,0.0148261803037981,1.322247132220689,D
15,1,0.0415405525880703,2.9596633021445835,hihp
15,2,0.0725498690324669,5.687933341545217,hihp
15,3,0.0940419610808875,3.995664167053559,hihp
15,4,0.0215743657420661,2.391306946382803,C
15,5,0.0287547514719119,1.2317076974055343,hilp
15,6,0.02478593061952,1.8194524641422665,D
15,7,0.0049493155058693,0.4689416944542351,D
15,8,0.0716057367184582,4.587162864120567,hihp
15,9,0.0244800308171441,1.2499618723111994,D
15,10,0.0909681355251986,5.288861844469519,hihp
15,11,0.0905380319146548,3.7820266046944786,hihp
15,12,0.0256839587407954,1.188645854811458,D
15,13,0.0908437967300415,4.4022686507771995,hihp
15,14,0.0273260719635905,1.7502938465160482,hilp
15,15,0.0433241514598624,2.0341339001760765,hilp
16,0,0.0960713800262,7.173976743922514,hihp
16,1,0.0166217299068674,1.6266146142254858,D
16,2,0.020516020410201,1.5755676162593506,D
