cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
C,C_imp_asc,0.05,0.9705882352941176,0.1323529411764706,498.70588235294116,17.5,3.336330204325564,0.12665556809481449,68
C,C_imp_asc,0.1,0.9705882352941176,0.1323529411764706,491.95588235294116,16.5,3.4176364935496273,0.17018835334216856,68
C,C_imp_asc,0.2,0.9705882352941176,0.1323529411764706,491.95588235294116,16.5,3.4176364935496273,0.17018835334216856,68
C,C_imp_asc,0.3,0.9705882352941176,0.1323529411764706,491.95588235294116,16.5,3.4176364935496273,0.17018835334216856,68
C,C_imp_asc,0.5,0.9705882352941176,0.1323529411764706,491.95588235294116,16.5,3.4176364935496273,0.17018835334216856,68
D,D_imp_asc,0.05,1.0,0.1323529411764706,501.4852941176471,17.0,3.3395950610146805,0.016291709507212863,68
D,D_imp_asc,0.1,1.0,0.1323529411764706,498.8529411764706,17.0,3.337538959348903,0.03462637172025788,68
D,D_imp_asc,0.2,0.9852941176470589,0.1323529411764706,496.1029411764706,17.5,3.332735206274425,0.0778106223134433,68
D,D_imp_asc,0.3,0.9558823529411765,0.1323529411764706,467.6029411764706,18.0,3.3374894112348557,0.14194746227825397,68
D,D_imp_asc,0.5,0.9411764705882353,0.1323529411764706,445.13235294117646,16.0,3.3086671469842686,0.32775084060781146,68
diag,diag_rank_asc,0.05,1.0,0.1323529411764706,502.1617647058824,17.0,3.337346176014227,0.016720207298503247,68
diag,diag_rank_asc,0.1,1.0,0.1323529411764706,495.77941176470586,17.5,3.3396313041448593,0.0336419379009921,68
diag,diag_rank_asc,0.2,0.9852941176470589,0.1323529411764706,472.0147058823529,17.0,3.342456861453898,0.08860462903976446,68
diag,diag_rank_asc,0.3,0.9411764705882353,0.1323529411764706,464.0147058823529,16.5,3.330302920411615,0.15020167126375092,68
diag,diag_rank_asc,0.5,0.9117647058823529,0.1323529411764706,440.20588235294116,18.5,3.3875744106138455,0.3517384669359993,68
hihp,hihp_imp_asc,0.05,0.9264705882352942,0.14705882352941177,536.1323529411765,15.5,3.2889334594502166,0.1952967854107127,68
hihp,hihp_imp_asc,0.1,0.9264705882352942,0.11764705882352941,544.4558823529412,14.5,3.278675710891976,0.32300024172838987,68
hihp,hihp_imp_asc,0.2,0.8823529411764706,0.1323529411764706,528.7352941176471,13.5,3.227881552541957,0.5552906394004821,68
hihp,hihp_imp_asc,0.3,0.6470588235294118,0.10294117647058823,483.11764705882354,18.0,2.9856277844485115,1.1990246281904333,68
hihp,hihp_imp_asc,0.5,0.4264705882352941,0.029411764705882353,1848.1323529411766,281.0,-0.07986157770980806,4.099424883723259,68
hihp,hihp_imp_desc,0.05,0.75,0.14705882352941177,785.1911764705883,27.5,1.1261385276037104,1.969081601675819,68
hihp,hihp_imp_desc,0.1,0.6176470588235294,0.04411764705882353,1153.9705882352941,53.0,0.5194448092404533,2.687111768652411,68
hihp,hihp_imp_desc,0.2,0.5588235294117647,0.029411764705882353,1607.9117647058824,118.5,0.320771282648339,3.25087053767022,68
hihp,hihp_imp_desc,0.3,0.45588235294117646,0.014705882352941176,1771.514705882353,236.5,-0.009922827867900623,3.9164946228265762,68
hihp,hihp_imp_desc,0.5,0.4264705882352941,0.029411764705882353,1848.1323529411766,281.0,-0.07986157770980806,4.099424883723259,68
hilp,hilp_imp_asc,0.05,0.9411764705882353,0.1323529411764706,501.77941176470586,16.0,3.367123329464127,0.147040712482789,68
hilp,hilp_imp_asc,0.1,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_asc,0.2,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_asc,0.3,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_asc,0.5,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_desc,0.05,0.9705882352941176,0.1323529411764706,440.8970588235294,14.5,3.354956938939936,0.2223160617491779,68
hilp,hilp_imp_desc,0.1,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_desc,0.2,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_desc,0.3,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
hilp,hilp_imp_desc,0.5,0.9411764705882353,0.1323529411764706,428.88235294117646,15.0,3.3345984343220207,0.25838567930109363,68
