trial_id,cell,ordering,ratio,k,k_actual,argmax_preserved,target_preserved_top1,patched_argmax_id,patched_target_rank,patched_target_logit,patched_competitor_logit,patched_margin,clean_target_logit,delta_target_logit
P101_10027,hihp,hihp_imp_desc,0.05,256,256,False,False,3698,8,11.4375,6.5,4.9375,12.0625,-0.625
P101_10066,hihp,hihp_imp_desc,0.05,256,256,True,False,279,18,9.6875,8.25,1.4375,11.1875,-1.5
P103_0,hihp,hihp_imp_desc,0.05,256,256,False,False,24113,2,13.5625,9.5,4.0625,16.375,-2.8125
P103_10038,hihp,hihp_imp_desc,0.05,256,256,True,True,8753,1,14.8125,10.5,4.3125,15.5,-0.6875
P106_10026,hihp,hihp_imp_desc,0.05,256,256,True,False,10212,200,6.375,6.96875,-0.59375,8.625,-2.25
P106_10076,hihp,hihp_imp_desc,0.05,256,256,False,False,3778,3,12.875,6.53125,6.34375,13.1875,-0.3125
P108_10032,hihp,hihp_imp_desc,0.05,256,256,True,True,5195,1,14.625,6.34375,8.28125,17.0,-2.375
P108_10064,hihp,hihp_imp_desc,0.05,256,256,True,False,279,25,7.375,6.65625,0.71875,10.5625,-3.1875
P127_10,hihp,hihp_imp_desc,0.05,256,256,True,False,279,15,5.53125,2.78125,2.75,6.96875,-1.4375
P127_10040,hihp,hihp_imp_desc,0.05,256,256,True,False,11,951,3.203125,2.703125,0.5,10.375,-7.171875
P1303_10011,hihp,hihp_imp_desc,0.05,256,256,False,True,92359,1,10.625,9.25,1.375,10.875,-0.25
P1303_10017,hihp,hihp_imp_desc,0.05,256,256,True,False,279,6,10.75,10.875,-0.125,7.875,2.875
P131_10018,hihp,hihp_imp_desc,0.05,256,256,True,False,279,14,10.5625,4.90625,5.65625,13.875,-3.3125
P131_10045,hihp,hihp_imp_desc,0.05,256,256,True,False,279,156,8.0,3.625,4.375,11.0625,-3.0625
P136_10043,hihp,hihp_imp_desc,0.05,256,256,False,False,520,389,5.875,7.5625,-1.6875,6.125,-0.25
P136_10065,hihp,hihp_imp_desc,0.05,256,256,True,False,279,11853,1.2578125,6.15625,-4.8984375,2.546875,-1.2890625
P138_10042,hihp,hihp_imp_desc,0.05,256,256,True,False,279,96,7.71875,3.03125,4.6875,12.0,-4.28125
P138_1009,hihp,hihp_imp_desc,0.05,256,256,True,False,279,13,11.0,7.375,3.625,15.5625,-4.5625
P140_1,hihp,hihp_imp_desc,0.05,256,256,False,False,15256,8,11.5625,14.5,-2.9375,14.375,-2.8125
P140_100,hihp,hihp_imp_desc,0.05,256,256,True,True,15256,1,14.0625,7.5,6.5625,15.75,-1.6875
P1412_10009,hihp,hihp_imp_desc,0.05,256,256,True,False,315,3247,4.4375,6.5625,-2.125,8.9375,-4.5
P1412_10036,hihp,hihp_imp_desc,0.05,256,256,True,False,539,275,9.0625,8.5,0.5625,11.1875,-2.125
P159_1001,hihp,hihp_imp_desc,0.05,256,256,False,False,7295,46,9.4375,13.125,-3.6875,15.375,-5.9375
P159_10015,hihp,hihp_imp_desc,0.05,256,256,False,False,20005,10,11.4375,11.3125,0.125,14.0,-2.5625
P17_10005,hihp,hihp_imp_desc,0.05,256,256,False,False,279,2310,4.25,9.1875,-4.9375,9.5,-5.25
P17_10034,hihp,hihp_imp_desc,0.05,256,256,True,False,279,107,8.5625,6.25,2.3125,10.1875,-1.625
P176_10014,hihp,hihp_imp_desc,0.05,256,256,False,False,30300,4,13.0,16.125,-3.125,17.0,-4.0
P176_10044,hihp,hihp_imp_desc,0.05,256,256,False,False,42981,5,11.4375,8.125,3.3125,15.375,-3.9375
P178_10019,hihp,hihp_imp_desc,0.05,256,256,True,True,5195,1,11.625,9.75,1.875,15.0,-3.375
P178_10020,hihp,hihp_imp_desc,0.05,256,256,True,False,279,2,11.625,9.8125,1.8125,9.1875,2.4375
P19_1002,hihp,hihp_imp_desc,0.05,256,256,True,False,220,21,9.6875,12.125,-2.4375,15.625,-5.9375
P19_10031,hihp,hihp_imp_desc,0.05,256,256,False,False,8494,125,8.0625,9.875,-1.8125,10.6875,-2.625
P190_10000,hihp,hihp_imp_desc,0.05,256,256,False,False,39593,183,7.625,8.3125,-0.6875,6.125,1.5
P190_10006,hihp,hihp_imp_desc,0.05,256,256,False,False,56301,368,7.34375,10.1875,-2.84375,7.25,0.09375
P20_10007,hihp,hihp_imp_desc,0.05,256,256,True,False,220,159,8.125,8.875,-0.75,10.8125,-2.6875
P20_1008,hihp,hihp_imp_desc,0.05,256,256,False,False,813,32,7.5,9.0625,-1.5625,8.9375,-1.4375
P264_1000,hihp,hihp_imp_desc,0.05,256,256,False,False,264,1261,3.5625,3.859375,-0.296875,2.40625,1.15625
P264_10597,hihp,hihp_imp_desc,0.05,256,256,True,False,279,50,5.75,3.109375,2.640625,7.625,-1.875
P27_10002,hihp,hihp_imp_desc,0.05,256,256,False,False,15704,9,11.375,11.1875,0.1875,14.9375,-3.5625
P27_10008,hihp,hihp_imp_desc,0.05,256,256,False,False,7008,28,8.875,13.125,-4.25,12.875,-4.0
P276_10021,hihp,hihp_imp_desc,0.05,256,256,True,False,279,755,5.125,2.125,3.0,5.21875,-0.09375
P276_10062,hihp,hihp_imp_desc,0.05,256,256,False,False,6982,339,5.5,5.21875,0.28125,12.8125,-7.3125
P30_10003,hihp,hihp_imp_desc,0.05,256,256,True,False,279,2,15.8125,8.1875,7.625,10.5625,5.25
P30_10028,hihp,hihp_imp_desc,0.05,256,256,True,True,72787,1,15.8125,13.6875,2.125,16.75,-0.9375
P36_10035,hihp,hihp_imp_desc,0.05,256,256,False,False,12366,59,9.125,13.875,-4.75,16.375,-7.25
P36_10369,hihp,hihp_imp_desc,0.05,256,256,False,False,81801,20,10.5,7.0,3.5,13.1875,-2.6875
P364_10013,hihp,hihp_imp_desc,0.05,256,256,False,False,539,43,9.4375,7.65625,1.78125,12.1875,-2.75
P364_10039,hihp,hihp_imp_desc,0.05,256,256,False,False,50961,227,8.0625,12.875,-4.8125,9.875,-1.8125
P37_10078,hihp,hihp_imp_desc,0.05,256,256,False,False,1443,2,15.25,5.59375,9.65625,16.0,-0.75
P37_10134,hihp,hihp_imp_desc,0.05,256,256,False,True,6498,1,15.3125,7.46875,7.84375,16.5,-1.1875
P39_10010,hihp,hihp_imp_desc,0.05,256,256,False,False,8753,25,10.1875,5.0,5.1875,10.125,0.0625
P39_10025,hihp,hihp_imp_desc,0.05,256,256,True,False,721,25,9.3125,6.53125,2.78125,9.25,0.0625
P407_10033,hihp,hihp_imp_desc,0.05,256,256,True,False,539,310,7.875,6.6875,1.1875,11.8125,-3.9375
P407_10082,hihp,hihp_imp_desc,0.05,256,256,True,False,264,8478,2.9375,8.5625,-5.625,11.1875,-8.25
P413_10029,hihp,hihp_imp_desc,0.05,256,256,True,False,315,100,8.375,3.28125,5.09375,11.6875,-3.3125
P413_1006,hihp,hihp_imp_desc,0.05,256,256,False,False,264,1489,4.4375,10.6875,-6.25,7.84375,-3.40625
P449_10023,hihp,hihp_imp_desc,0.05,256,256,False,False,6664,41,9.125,8.6875,0.4375,8.3125,0.8125
P449_10104,hihp,hihp_imp_desc,0.05,256,256,False,False,279,11,12.3125,11.9375,0.375,11.625,0.6875
P463_10050,hihp,hihp_imp_desc,0.05,256,256,False,False,14875,2,14.6875,4.15625,10.53125,12.875,1.8125
P463_10121,hihp,hihp_imp_desc,0.05,256,256,True,True,44742,1,14.0625,4.75,9.3125,15.6875,-1.625
P495_10012,hihp,hihp_imp_desc,0.05,256,256,True,False,279,22,11.5625,13.9375,-2.375,12.9375,-1.375
P495_1003,hihp,hihp_imp_desc,0.05,256,256,False,False,220,30,9.625,10.75,-1.125,11.5,-1.875
P641_10047,hihp,hihp_imp_desc,0.05,256,256,True,True,20075,1,15.5,12.4375,3.0625,15.375,0.125
P641_10270,hihp,hihp_imp_desc,0.05,256,256,True,False,315,95,8.0625,7.34375,0.71875,11.875,-3.8125
P740_10016,hihp,hihp_imp_desc,0.05,256,256,True,False,220,1972,5.03125,9.8125,-4.78125,16.75,-11.71875
P740_10054,hihp,hihp_imp_desc,0.05,256,256,True,False,220,91,8.375,10.8125,-2.4375,12.25,-3.875
P937_10004,hihp,hihp_imp_desc,0.05,256,256,True,False,279,13,9.5625,10.8125,-1.25,12.5625,-3.0
P937_10060,hihp,hihp_imp_desc,0.05,256,256,True,False,279,195,6.375,9.0,-2.625,6.71875,-0.34375
P101_10027,hihp,hihp_imp_desc,0.1,512,512,False,False,3674,10,10.8125,6.9375,3.875,12.0625,-1.25
P101_10066,hihp,hihp_imp_desc,0.1,512,512,True,False,279,31,9.3125,8.25,1.0625,11.1875,-1.875
P103_0,hihp,hihp_imp_desc,0.1,512,512,False,False,24113,2,13.4375,9.5625,3.875,16.375,-2.9375
P103_10038,hihp,hihp_imp_desc,0.1,512,512,True,True,8753,1,13.75,9.25,4.5,15.5,-1.75
P106_10026,hihp,hihp_imp_desc,0.1,512,512,True,False,10212,326,5.875,7.34375,-1.46875,8.625,-2.75
P106_10076,hihp,hihp_imp_desc,0.1,512,512,False,False,3778,13,10.875,5.09375,5.78125,13.1875,-2.3125
P108_10032,hihp,hihp_imp_desc,0.1,512,512,True,True,5195,1,13.4375,5.90625,7.53125,17.0,-3.5625
P108_10064,hihp,hihp_imp_desc,0.1,512,512,True,False,279,21,7.0625,6.21875,0.84375,10.5625,-3.5
P127_10,hihp,hihp_imp_desc,0.1,512,512,True,False,279,28,5.0625,3.78125,1.28125,6.96875,-1.90625
P127_10040,hihp,hihp_imp_desc,0.1,512,512,True,False,11,4647,1.4921875,2.921875,-1.4296875,10.375,-8.8828125
P1303_10011,hihp,hihp_imp_desc,0.1,512,512,False,False,220,2,8.9375,8.6875,0.25,10.875,-1.9375
P1303_10017,hihp,hihp_imp_desc,0.1,512,512,True,False,279,4,11.1875,11.625,-0.4375,7.875,3.3125
P131_10018,hihp,hihp_imp_desc,0.1,512,512,True,False,279,134,7.84375,4.90625,2.9375,13.875,-6.03125
