cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
C,C_imp_asc,0.05,0.9558823529411765,0.23529411764705882,109.6029411764706,6.0,4.377872242647059,0.20932904411764705,68
C,C_imp_asc,0.1,0.9705882352941176,0.23529411764705882,117.25,4.5,4.341911764705882,0.3134191176470588,68
C,C_imp_asc,0.2,0.9117647058823529,0.23529411764705882,131.7941176470588,4.0,4.230583639705882,0.4852941176470588,68
C,C_imp_asc,0.3,0.9117647058823529,0.23529411764705882,131.7941176470588,4.0,4.230583639705882,0.4852941176470588,68
C,C_imp_asc,0.5,0.9117647058823529,0.23529411764705882,131.7941176470588,4.0,4.230583639705882,0.4852941176470588,68
D,D_imp_asc,0.05,0.9852941176470589,0.23529411764705882,106.51470588235294,5.5,4.384191176470588,0.05997242647058824,68
D,D_imp_asc,0.1,0.9852941176470589,0.23529411764705882,107.73529411764706,5.5,4.363166360294118,0.10064338235294118,68
D,D_imp_asc,0.2,0.9705882352941176,0.23529411764705882,112.70588235294117,5.5,4.374885110294118,0.13901654411764705,68
D,D_imp_asc,0.3,0.9705882352941176,0.23529411764705882,114.82352941176471,5.0,4.34765625,0.15418198529411764,68
D,D_imp_asc,0.5,0.9705882352941176,0.23529411764705882,120.5,5.0,4.354090073529412,0.1528033088235294,68
diag,diag_rank_asc,0.05,1.0,0.23529411764705882,107.52941176470588,5.5,4.369715073529412,0.054457720588235295,68
diag,diag_rank_asc,0.1,0.9705882352941176,0.23529411764705882,107.6029411764706,5.5,4.373391544117647,0.07996323529411764,68
diag,diag_rank_asc,0.2,0.9705882352941176,0.23529411764705882,111.92647058823529,5.0,4.362706801470588,0.16796875,68
diag,diag_rank_asc,0.3,0.9411764705882353,0.23529411764705882,115.07352941176471,5.0,4.3693704044117645,0.2585018382352941,68
diag,diag_rank_asc,0.5,0.8823529411764706,0.20588235294117646,134.2058823529412,4.0,4.297219669117647,0.4704733455882353,68
hihp,hihp_imp_asc,0.05,0.9411764705882353,0.25,117.23529411764706,6.0,4.304802389705882,0.17118566176470587,68
hihp,hihp_imp_asc,0.1,0.9264705882352942,0.23529411764705882,113.82352941176471,4.5,4.206456801470588,0.25574448529411764,68
hihp,hihp_imp_asc,0.2,0.8088235294117647,0.23529411764705882,137.63235294117646,5.5,3.8816636029411766,0.6832490808823529,68
hihp,hihp_imp_asc,0.3,0.39705882352941174,0.14705882352941177,1112.2205882352941,39.0,0.90869140625,3.5843003216911766,68
hihp,hihp_imp_asc,0.5,0.3382352941176471,0.04411764705882353,1742.8823529411766,198.5,-0.4087919347426471,4.746969784007353,68
hihp,hihp_imp_desc,0.05,0.5441176470588235,0.1323529411764706,534.6176470588235,26.5,1.0612362132352942,2.7572380514705883,68
hihp,hihp_imp_desc,0.1,0.4852941176470588,0.11764705882352941,843.9411764705883,53.5,0.3478860294117647,3.615176930147059,68
hihp,hihp_imp_desc,0.2,0.36764705882352944,0.058823529411764705,1472.8235294117646,86.5,-0.12265912224264706,4.3347024356617645,68
hihp,hihp_imp_desc,0.3,0.3382352941176471,0.04411764705882353,1781.3823529411766,200.5,-0.41885914522058826,4.756476907169118,68
hihp,hihp_imp_desc,0.5,0.3382352941176471,0.04411764705882353,1742.8823529411766,198.5,-0.4087919347426471,4.746969784007353,68
hilp,hilp_imp_asc,0.05,0.9852941176470589,0.23529411764705882,104.70588235294117,6.0,4.362994025735294,0.09283088235294118,68
hilp,hilp_imp_asc,0.1,0.9852941176470589,0.23529411764705882,113.13235294117646,5.5,4.346622242647059,0.13028492647058823,68
hilp,hilp_imp_asc,0.2,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
hilp,hilp_imp_asc,0.3,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
hilp,hilp_imp_asc,0.5,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
hilp,hilp_imp_desc,0.05,0.9411764705882353,0.25,112.61764705882354,5.5,4.335133272058823,0.22380514705882354,68
hilp,hilp_imp_desc,0.1,0.9558823529411765,0.23529411764705882,124.44117647058823,5.0,4.316291360294118,0.20955882352941177,68
hilp,hilp_imp_desc,0.2,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
hilp,hilp_imp_desc,0.3,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
hilp,hilp_imp_desc,0.5,0.9705882352941176,0.23529411764705882,128.30882352941177,5.0,4.3078469669117645,0.27619485294117646,68
