layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
0,0,0.1607403010403847,0.05022315997997978,68
0,1,0.21644731919642415,0.14255972558419486,68
0,2,0.2494463408297366,0.12171400933335759,68
0,3,0.01802570728400228,0.010088374405279921,68
0,4,0.07040921757545542,0.16732997333460728,68
0,5,0.01620320506780818,0.010173174218422523,68
0,6,0.13230185774976716,0.19534569757611717,68
0,7,0.09824060829808277,0.10626180825244197,68
0,8,0.034447185092550854,0.011462603832631741,68
0,9,0.018124951965600128,0.006215365247483267,68
0,10,0.0388216508709935,0.047314333080457675,68
0,11,0.11169684557792017,0.041541868129585116,68
0,12,0.1006051679715336,0.1827529914196291,68
0,13,0.013017890711232787,0.0070371546102641494,68
0,14,0.00837569285410127,0.006255107413103301,68
0,15,0.07847901939085739,0.03002089269836512,68
0,16,0.007040503897930157,0.011319074176887673,68
0,17,0.04694837290684089,0.02093633356268227,68
0,18,0.003248804598971368,0.001588645325133905,68
0,19,0.01287835725815966,0.00612944502840742,68
0,20,0.026831228094285016,0.01034133773461874,68
0,21,0.012576279791948537,0.007012572953018216,68
0,22,0.004610670152674961,0.002479906523846818,68
0,23,0.11831766514874556,0.039625977080109086,68
0,24,0.17290964196538827,0.1773738236570913,68
0,25,0.031193164827795137,0.017335273026984302,68
0,26,0.03668963393583372,0.02147402015989277,68
0,27,0.02684984472580253,0.012972294671598406,68
0,28,0.029526418437907348,0.021629862585834384,68
0,29,0.0005174438145278249,0.0010552150677656967,68
0,30,0.014517826243878934,0.014108370707723384,68
0,31,1.528815763616448e-05,2.533065681859031e-05,68
1,0,0.09020407895064529,0.07386830879630744,68
1,1,0.1495499202693977,0.09324703039060311,68
1,2,0.05330725129255476,0.031230974341478847,68
1,3,0.23442254548974553,0.13297367066527244,68
1,4,0.3072489484714906,0.22502635858957729,68
1,5,0.1245735856697566,0.17588860778796425,68
1,6,0.1721679906357381,0.1980990633332221,68
1,7,0.02499055747381027,0.02044928634706223,68
1,8,0.042224479668006736,0.022879021047969562,68
1,9,0.024578317058245255,0.010329788403748964,68
1,10,0.13644182397162213,0.037705844166422364,68
1,11,0.15673600534415422,0.0928977017755186,68
1,12,0.030134817119687782,0.01388768033237367,68
1,13,0.022610395021996833,0.015067046119248565,68
1,14,0.017877769971485515,0.011299463210614934,68
1,15,0.04506903949111479,0.04665689344826411,68
1,16,0.16897394050679662,0.11530577939294713,68
1,17,0.10817380654899511,0.07046191502946081,68
1,18,0.07557029451709239,0.07473031294353107,68
1,19,0.0797465046360979,0.09109474890131782,68
1,20,0.3167488582103568,0.13026066883538198,68
1,21,0.18899816438993988,0.06472393235373175,68
1,22,0.021281999618034144,0.01085151844924523,68
1,23,0.03419222294092725,0.04671465738239026,68
1,24,0.0475377224433674,0.03286737051682571,68
1,25,0.055027882232988136,0.04473766219017524,68
1,26,0.09423100110828218,0.07379742722545202,68
1,27,0.04806878338636391,0.04347326447567466,68
1,28,0.13334246615276618,0.0468464821360095,68
1,29,0.04569181746474521,0.019007968996986962,68
1,30,0.11971107637509704,0.07434818565347336,68
1,31,0.05565674074322861,0.02175694687159499,68
2,0,0.12136628227445352,0.12188394365999174,68
2,1,0.046353120863547204,0.08783242723392116,68
2,2,0.09309810239082092,0.09523581234556665,68
2,3,0.07531306563931352,0.07042790792222456,68
2,4,0.16295081152416327,0.05267151796630488,68
2,5,0.1728194662479355,0.06346634290340801,68
2,6,0.053151851821252524,0.018363249266636517,68
2,7,0.26924188506296454,0.10025732128466149,68
2,8,0.1262528341030702,0.10303753323841822,68
2,9,0.14976840808658914,0.107511086546863,68
2,10,0.06708362384233622,0.046607100633409344,68
2,11,0.07567956630030974,0.06443607716757868,68
2,12,0.007038757422432183,0.005179525650420548,68
2,13,0.024472807232728766,0.01683824767212889,68
2,14,0.016719437147805678,0.012054629200251592,68
2,15,0.05292882601155296,0.04585648876643656,68
2,16,0.28588254875777397,0.2325425182394843,68
2,17,0.05523485662963459,0.037698439234490684,68
2,18,0.13521842118900487,0.09066786496503143,68
2,19,0.20333278683178566,0.06816296945549843,68
2,20,0.008734923593960142,0.012000834212733324,68
2,21,0.0009533767773545407,0.000733130389229126,68
2,22,0.013149208923363501,0.013676931401986302,68
2,23,0.06119330805000464,0.04468196661272447,68
2,24,0.10079215847722746,0.06630296153400171,68
2,25,0.004441621591788979,0.002554363914707232,68
2,26,0.03857221286606919,0.058812122239594075,68
2,27,0.056179154773845386,0.03800625301547116,68
2,28,0.14661269919837222,0.1403427463512947,68
2,29,0.036106017510653184,0.03701953254357737,68
2,30,0.40988216616439305,0.3308079145158396,68
2,31,0.17997779986163712,0.16834121383904352,68
3,0,0.12131915323655396,0.08881988340421737,68
3,1,0.15065778035889654,0.08752222555122452,68
3,2,0.19776561544002855,0.14327717516491478,68
3,3,0.08560932852218255,0.09016597009349027,68
3,4,0.10233495991183991,0.07789548083071451,68
3,5,0.1731599454959745,0.13505612929132402,68
3,6,0.20857727742644355,0.13015894231368824,68
3,7,0.12942637929090245,0.11908165144019227,68
3,8,0.16214936243041472,0.07510174054750247,68
3,9,0.10718084984075497,0.07204955254754598,68
3,10,0.20927709488965132,0.142589387962751,68
3,11,0.24538696639458923,0.1683964896862806,68
3,12,0.1044752034564119,0.09076415440315751,68
3,13,0.16392639438238213,0.11267283383738073,68
3,14,0.10908194688176187,0.11590755626455608,68
3,15,0.33272770225234766,0.23871756180355586,68
3,16,0.48564215791959536,0.40100157225208344,68
3,17,0.20876085539074504,0.10036101485889815,68
3,18,0.3002184676554273,0.1683174019309066,68
3,19,0.2975616172394332,0.13792627561319004,68
3,20,0.15091647563830896,0.05591846184488395,68
3,21,0.3491573750096209,0.16041162714679344,68
3,22,0.35167809060829525,0.1696786897519966,68
