trial_id,cell,ordering,ratio,k,k_actual,argmax_preserved,target_preserved_top1,patched_argmax_id,patched_target_rank,patched_target_logit,patched_competitor_logit,patched_margin,clean_target_logit,delta_target_logit
P101_10027,hihp,hihp_imp_asc,0.05,51,51,True,False,55580,15,11.5,9.3125,2.1875,11.9375,-0.4375
P101_10027,hihp,hihp_imp_asc,0.1,102,102,False,False,47976,18,11.1875,8.75,2.4375,11.9375,-0.75
P101_10027,hihp,hihp_imp_asc,0.2,204,204,True,False,55580,11,11.5625,9.0625,2.5,11.9375,-0.375
P101_10027,hihp,hihp_imp_asc,0.3,307,307,False,False,47976,9,11.1875,9.375,1.8125,11.9375,-0.75
P101_10027,hihp,hihp_imp_asc,0.5,512,399,False,False,3495,774,6.625,9.0,-2.375,11.9375,-5.3125
P101_10027,hilp,hilp_imp_asc,0.05,51,51,True,False,55580,9,11.9375,9.0,2.9375,11.9375,0.0
P101_10027,hilp,hilp_imp_asc,0.1,102,102,False,False,47976,7,12.375,9.1875,3.1875,11.9375,0.4375
P101_10027,hilp,hilp_imp_asc,0.2,204,112,False,False,47976,11,12.25,8.9375,3.3125,11.9375,0.3125
P101_10027,hilp,hilp_imp_asc,0.3,307,112,False,False,47976,11,12.25,8.9375,3.3125,11.9375,0.3125
P101_10027,hilp,hilp_imp_asc,0.5,512,112,False,False,47976,11,12.25,8.9375,3.3125,11.9375,0.3125
P101_10027,C,C_imp_asc,0.05,51,51,True,False,55580,10,11.9375,9.375,2.5625,11.9375,0.0
P101_10027,C,C_imp_asc,0.1,102,102,True,False,55580,10,11.875,9.3125,2.5625,11.9375,-0.0625
P101_10027,C,C_imp_asc,0.2,204,113,True,False,55580,11,11.875,9.25,2.625,11.9375,-0.0625
P101_10027,C,C_imp_asc,0.3,307,113,True,False,55580,11,11.875,9.25,2.625,11.9375,-0.0625
P101_10027,C,C_imp_asc,0.5,512,113,True,False,55580,11,11.875,9.25,2.625,11.9375,-0.0625
P101_10027,D,D_imp_asc,0.05,51,51,True,False,55580,11,11.9375,9.3125,2.625,11.9375,0.0
P101_10027,D,D_imp_asc,0.1,102,102,True,False,55580,11,12.0,9.375,2.625,11.9375,0.0625
P101_10027,D,D_imp_asc,0.2,204,204,True,False,55580,10,11.9375,9.3125,2.625,11.9375,0.0
P101_10027,D,D_imp_asc,0.3,307,307,False,False,53584,10,12.0,9.25,2.75,11.9375,0.0625
P101_10027,D,D_imp_asc,0.5,512,400,False,False,53584,9,12.0,9.125,2.875,11.9375,0.0625
P101_10066,hihp,hihp_imp_asc,0.05,51,51,True,False,279,26,10.375,7.375,3.0,10.3125,0.0625
P101_10066,hihp,hihp_imp_asc,0.1,102,102,True,False,279,24,10.4375,7.28125,3.15625,10.3125,0.125
P101_10066,hihp,hihp_imp_asc,0.2,204,204,True,False,279,26,10.6875,7.71875,2.96875,10.3125,0.375
P101_10066,hihp,hihp_imp_asc,0.3,307,307,True,False,279,38,10.1875,8.9375,1.25,10.3125,-0.125
P101_10066,hihp,hihp_imp_asc,0.5,512,399,True,False,279,240,8.5,10.0,-1.5,10.3125,-1.8125
P101_10066,hilp,hilp_imp_asc,0.05,51,51,True,False,279,29,10.5,7.375,3.125,10.3125,0.1875
P101_10066,hilp,hilp_imp_asc,0.1,102,102,True,False,279,26,10.8125,7.59375,3.21875,10.3125,0.5
P101_10066,hilp,hilp_imp_asc,0.2,204,112,True,False,279,27,10.5625,7.625,2.9375,10.3125,0.25
P101_10066,hilp,hilp_imp_asc,0.3,307,112,True,False,279,27,10.5625,7.625,2.9375,10.3125,0.25
P101_10066,hilp,hilp_imp_asc,0.5,512,112,True,False,279,27,10.5625,7.625,2.9375,10.3125,0.25
P101_10066,C,C_imp_asc,0.05,51,51,True,False,279,28,10.3125,7.28125,3.03125,10.3125,0.0
P101_10066,C,C_imp_asc,0.1,102,102,True,False,279,35,10.1875,7.34375,2.84375,10.3125,-0.125
P101_10066,C,C_imp_asc,0.2,204,113,True,False,279,33,10.1875,7.3125,2.875,10.3125,-0.125
P101_10066,C,C_imp_asc,0.3,307,113,True,False,279,33,10.1875,7.3125,2.875,10.3125,-0.125
P101_10066,C,C_imp_asc,0.5,512,113,True,False,279,33,10.1875,7.3125,2.875,10.3125,-0.125
P101_10066,D,D_imp_asc,0.05,51,51,True,False,279,29,10.3125,7.40625,2.90625,10.3125,0.0
P101_10066,D,D_imp_asc,0.1,102,102,True,False,279,29,10.3125,7.375,2.9375,10.3125,0.0
P101_10066,D,D_imp_asc,0.2,204,204,True,False,279,29,10.3125,7.4375,2.875,10.3125,0.0
P101_10066,D,D_imp_asc,0.3,307,307,True,False,279,29,10.375,7.40625,2.96875,10.3125,0.0625
P101_10066,D,D_imp_asc,0.5,512,400,True,False,279,28,10.4375,7.5,2.9375,10.3125,0.125
P103_0,hihp,hihp_imp_asc,0.05,51,51,True,True,8753,1,17.625,9.875,7.75,17.5,0.125
P103_0,hihp,hihp_imp_asc,0.1,102,102,True,True,8753,1,17.375,10.1875,7.1875,17.5,-0.125
