cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
C,C_imp_asc,0.05,0.9558823529411765,0.29411764705882354,112.29411764705883,4.0,5.2302389705882355,0.12982536764705882,68
C,C_imp_asc,0.1,0.8970588235294118,0.3088235294117647,105.51470588235294,3.5,5.146053538602941,0.22977941176470587,68
C,C_imp_asc,0.2,0.9117647058823529,0.3088235294117647,104.20588235294117,3.0,5.131965188419118,0.26815257352941174,68
C,C_imp_asc,0.3,0.9117647058823529,0.3088235294117647,104.20588235294117,3.0,5.131965188419118,0.26815257352941174,68
C,C_imp_asc,0.5,0.9117647058823529,0.3088235294117647,104.20588235294117,3.0,5.131965188419118,0.26815257352941174,68
D,D_imp_asc,0.05,0.9852941176470589,0.3088235294117647,108.97058823529412,3.0,5.273336971507353,0.05514705882352941,68
D,D_imp_asc,0.1,0.9558823529411765,0.3088235294117647,106.79411764705883,3.0,5.257984834558823,0.06364889705882353,68
D,D_imp_asc,0.2,0.9558823529411765,0.3088235294117647,103.07352941176471,3.5,5.241067325367647,0.13648897058823528,68
D,D_imp_asc,0.3,0.9264705882352942,0.29411764705882354,101.33823529411765,4.0,5.203024471507353,0.20886948529411764,68
D,D_imp_asc,0.5,0.8970588235294118,0.27941176470588236,92.94117647058823,4.5,5.084070542279412,0.33547794117647056,68
diag,diag_rank_asc,0.05,0.9705882352941176,0.3088235294117647,106.69117647058823,4.0,5.2779684627757355,0.03239889705882353,68
diag,diag_rank_asc,0.1,0.9558823529411765,0.29411764705882354,108.48529411764706,3.0,5.265452665441177,0.04986213235294118,68
diag,diag_rank_asc,0.2,0.9705882352941176,0.3088235294117647,114.1029411764706,3.0,5.262982536764706,0.11557904411764706,68
diag,diag_rank_asc,0.3,0.9411764705882353,0.3088235294117647,102.3529411764706,3.5,5.179227941176471,0.15510110294117646,68
diag,diag_rank_asc,0.5,0.8088235294117647,0.2647058823529412,89.38235294117646,4.0,4.966739430147059,0.4758731617647059,68
hihp,hihp_imp_asc,0.05,0.9411764705882353,0.29411764705882354,85.61764705882354,3.5,5.2543801700367645,0.23920036764705882,68
hihp,hihp_imp_asc,0.1,0.8676470588235294,0.29411764705882354,75.66176470588235,3.0,5.154483570772059,0.4446231617647059,68
hihp,hihp_imp_asc,0.2,0.8382352941176471,0.29411764705882354,53.161764705882355,4.0,4.814165900735294,0.7644761029411765,68
hihp,hihp_imp_asc,0.3,0.7205882352941176,0.29411764705882354,64.79411764705883,4.0,4.012063419117647,1.5425091911764706,68
hihp,hihp_imp_asc,0.5,0.29411764705882354,0.058823529411764705,2565.6617647058824,190.5,-0.30193014705882354,5.702090992647059,68
hihp,hihp_imp_desc,0.05,0.5294117647058824,0.1323529411764706,280.1029411764706,12.0,1.6632582720588236,2.579159007352941,68
hihp,hihp_imp_desc,0.1,0.36764705882352944,0.10294117647058823,638.9558823529412,23.5,0.9989947150735294,3.371869255514706,68
hihp,hihp_imp_desc,0.2,0.36764705882352944,0.08823529411764706,1547.6470588235295,141.5,-0.02072323069852941,5.046228745404412,68
hihp,hihp_imp_desc,0.3,0.3235294117647059,0.10294117647058823,2391.294117647059,130.5,-0.13274069393382354,5.484418083639706,68
hihp,hihp_imp_desc,0.5,0.29411764705882354,0.058823529411764705,2565.6617647058824,190.5,-0.30193014705882354,5.702090992647059,68
hilp,hilp_imp_asc,0.05,0.9558823529411765,0.29411764705882354,98.07352941176471,3.5,5.289206112132353,0.17830882352941177,68
hilp,hilp_imp_asc,0.1,0.8970588235294118,0.2647058823529412,90.95588235294117,4.0,5.352855009191177,0.38534007352941174,68
hilp,hilp_imp_asc,0.2,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
hilp,hilp_imp_asc,0.3,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
hilp,hilp_imp_asc,0.5,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
hilp,hilp_imp_desc,0.05,0.8676470588235294,0.29411764705882354,87.79411764705883,4.0,5.270392922794118,0.4607077205882353,68
hilp,hilp_imp_desc,0.1,0.8676470588235294,0.25,92.36764705882354,4.0,5.220458984375,0.5278033088235294,68
hilp,hilp_imp_desc,0.2,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
hilp,hilp_imp_desc,0.3,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
hilp,hilp_imp_desc,0.5,0.8676470588235294,0.27941176470588236,92.25,4.0,5.255687040441177,0.5415900735294118,68
