layer,head,importance,perturbation,cell
0,0,0.02493465647977941,0.7639280671582502,D
0,1,0.02238195082720588,1.056354665008899,D
0,2,0.024460736443014705,0.7217980943729773,D
0,3,0.022191664751838234,1.5241336033624762,C
0,4,0.026370777803308824,0.6577118560671806,hilp
0,5,0.018364401424632353,0.33148350429666396,D
0,6,0.024855669806985295,0.35653595719486475,D
0,7,0.02435302734375,0.285636772374239,D
0,8,0.02517879710477941,0.3392067433280103,D
0,9,0.023139504825367647,0.623722275828614,D
0,10,0.05014576631433824,1.9806101317791378,hihp
0,11,0.028672162224264705,1.0317478278816186,hilp
0,12,0.02232809627757353,0.7820409386254409,D
0,13,0.022852280560661766,0.6087896420675165,D
0,14,0.03184958065257353,0.8637698415447684,hilp
0,15,0.01968563304227941,0.7417396579814308,D
0,16,0.18888585707720587,3.48887460339157,hihp
0,17,0.02672262752757353,0.35462433628409223,hilp
0,18,0.024726418887867647,0.42673840297057347,D
0,19,0.04720171760110294,2.072687683161348,hihp
0,20,0.02317540785845588,0.6073757673011106,D
0,21,0.02330465877757353,0.7443678054739448,D
0,22,0.028445973115808824,0.749574843706796,hilp
0,23,0.02675134995404412,1.61342725935666,hihp
0,24,0.02191162109375,0.6179402948302382,D
0,25,0.028374167049632353,1.28302925244412,hihp
0,26,0.025932760799632353,0.7214064506046912,hilp
0,27,0.02476950252757353,0.46567775221431956,D
0,28,0.026015337775735295,1.1687551219673717,hihp
0,29,0.019646139705882353,0.47590442955055656,D
0,30,0.025193158318014705,1.42520521812206,C
0,31,0.02694881663602941,1.3629076206947075,hihp
0,32,0.02138025620404412,0.7585503941073137,D
0,33,0.02191162109375,0.31864386358681845,D
0,34,0.02799718520220588,0.6198965723023695,hilp
0,35,0.02589685776654412,0.29800687533091097,hilp
0,36,0.02418787339154412,0.3288030814489021,D
0,37,0.024755141314338234,0.47244270408854766,D
0,38,0.021261776194852942,0.5435921351480133,D
0,39,0.030104693244485295,0.8380473637405563,hilp
1,0,0.03153363396139706,1.1722449022619164,hihp
1,1,0.02879064223345588,0.7393296223462504,hilp
1,2,0.02552346622242647,0.5145398084868622,hilp
1,3,0.022073184742647058,0.43334441610118923,D
1,4,0.02517879710477941,0.30840254296986935,D
1,5,0.02606201171875,0.869233385714538,hilp
1,6,0.030625287224264705,0.743904249085223,hilp
1,7,0.02222756778492647,0.500775703420753,D
1,8,0.02792178883272059,0.41327540872289853,hilp
1,9,0.026991900275735295,0.892302521449678,hilp
1,10,0.024848489200367647,0.5918235779356431,D
1,11,0.024704877068014705,0.3294592895647785,D
1,12,0.024338666130514705,0.8395033044028369,D
1,13,0.02723245059742647,1.4528690176632475,hihp
1,14,0.028754739200367647,0.9016486218966105,hilp
1,15,0.04243289723115809,2.4516875347232117,hihp
1,16,0.02392578125,0.7623399126836482,D
1,17,0.026780072380514705,0.6557450079742599,hilp
1,18,0.026851878446691176,0.5801896921852056,hilp
1,19,0.024166331571691176,0.5809857921455713,D
1,20,0.023972455193014705,0.34654559260782075,D
1,21,0.03787769990808824,1.6733734317616944,hihp
1,22,0.027975643382352942,1.197042003438315,hihp
1,23,0.024496639476102942,0.5831510738935322,D
1,24,0.025803509880514705,0.9648009891457417,hilp
1,25,0.02752685546875,0.6200273821459097,hilp
1,26,0.024776683134191176,0.5562097536509528,D
1,27,0.02675134995404412,0.6578980523216373,hilp
1,28,0.022730210248161766,0.4297283384948969,D
1,29,0.02821619370404412,1.2170021439738132,hihp
1,30,0.03248147403492647,1.3048463497749145,hihp
1,31,0.02906350528492647,0.7119956305387485,hilp
1,32,0.02877628102022059,0.7574771639397916,hilp
1,33,0.02173928653492647,0.4636386050020947,D
1,34,0.02759866153492647,0.4667790830409264,hilp
1,35,0.029943129595588234,0.9177874185364036,hilp
1,36,0.02227783203125,0.6742677050231791,D
1,37,0.02397425034466912,0.546968487851486,D
1,38,0.029199936810661766,0.5202605126370841,hilp
1,39,0.021987017463235295,0.5191075734465438,D
2,0,0.02593994140625,0.47499174076844664,hilp
2,1,0.02154541015625,0.33831620117759004,D
2,2,0.03136129940257353,0.9657304182867793,hilp
