trial_id,layer,head,clean_target_logit,patched_target_logit,delta_target_logit
P101_10027,0,0,-1.6171875,-1.625,-0.0078125
P101_10027,0,1,-1.6171875,-1.6328125,-0.015625
P101_10027,0,2,-1.6171875,-1.6171875,0.0
P101_10027,0,3,-1.6171875,-1.6171875,0.0
P101_10027,0,4,-1.6171875,-1.6015625,0.015625
P101_10027,0,5,-1.6171875,-1.609375,0.0078125
P101_10027,0,6,-1.6171875,-1.6171875,0.0
P101_10027,0,7,-1.6171875,-1.6171875,0.0
P101_10027,0,8,-1.6171875,-1.625,-0.0078125
P101_10027,0,9,-1.6171875,-1.6015625,0.015625
P101_10027,0,10,-1.6171875,-1.578125,0.0390625
P101_10027,0,11,-1.6171875,-1.6328125,-0.015625
P101_10027,0,12,-1.6171875,-1.6171875,0.0
P101_10027,0,13,-1.6171875,-1.609375,0.0078125
P101_10027,0,14,-1.6171875,-1.640625,-0.0234375
P101_10027,0,15,-1.6171875,-1.625,-0.0078125
P101_10027,0,16,-1.6171875,-1.609375,0.0078125
P101_10027,0,17,-1.6171875,-1.6171875,0.0
P101_10027,0,18,-1.6171875,-1.609375,0.0078125
P101_10027,0,19,-1.6171875,-1.6640625,-0.046875
P101_10027,0,20,-1.6171875,-1.609375,0.0078125
P101_10027,0,21,-1.6171875,-1.625,-0.0078125
P101_10027,0,22,-1.6171875,-1.625,-0.0078125
P101_10027,0,23,-1.6171875,-1.640625,-0.0234375
P101_10027,0,24,-1.6171875,-1.6171875,0.0
P101_10027,0,25,-1.6171875,-1.625,-0.0078125
P101_10027,0,26,-1.6171875,-1.609375,0.0078125
P101_10027,0,27,-1.6171875,-1.625,-0.0078125
P101_10027,0,28,-1.6171875,-1.6171875,0.0
P101_10027,0,29,-1.6171875,-1.6015625,0.015625
P101_10027,0,30,-1.6171875,-1.6171875,0.0
P101_10027,0,31,-1.6171875,-1.609375,0.0078125
P101_10027,0,32,-1.6171875,-1.609375,0.0078125
P101_10027,0,33,-1.6171875,-1.6171875,0.0
P101_10027,0,34,-1.6171875,-1.625,-0.0078125
P101_10027,0,35,-1.6171875,-1.625,-0.0078125
P101_10027,0,36,-1.6171875,-1.6171875,0.0
P101_10027,0,37,-1.6171875,-1.625,-0.0078125
P101_10027,0,38,-1.6171875,-1.640625,-0.0234375
P101_10027,0,39,-1.6171875,-1.6171875,0.0
P101_10027,1,0,-1.6171875,-1.625,-0.0078125
P101_10027,1,1,-1.6171875,-1.6171875,0.0
P101_10027,1,2,-1.6171875,-1.6171875,0.0
P101_10027,1,3,-1.6171875,-1.6328125,-0.015625
P101_10027,1,4,-1.6171875,-1.625,-0.0078125
P101_10027,1,5,-1.6171875,-1.59375,0.0234375
P101_10027,1,6,-1.6171875,-1.6328125,-0.015625
P101_10027,1,7,-1.6171875,-1.6015625,0.015625
P101_10027,1,8,-1.6171875,-1.6328125,-0.015625
P101_10027,1,9,-1.6171875,-1.6328125,-0.015625
P101_10027,1,10,-1.6171875,-1.609375,0.0078125
P101_10027,1,11,-1.6171875,-1.6171875,0.0
P101_10027,1,12,-1.6171875,-1.71875,-0.1015625
P101_10027,1,13,-1.6171875,-1.6171875,0.0
P101_10027,1,14,-1.6171875,-1.625,-0.0078125
P101_10027,1,15,-1.6171875,-1.578125,0.0390625
P101_10027,1,16,-1.6171875,-1.6015625,0.015625
P101_10027,1,17,-1.6171875,-1.625,-0.0078125
P101_10027,1,18,-1.6171875,-1.6015625,0.015625
P101_10027,1,19,-1.6171875,-1.6328125,-0.015625
P101_10027,1,20,-1.6171875,-1.609375,0.0078125
P101_10027,1,21,-1.6171875,-1.59375,0.0234375
P101_10027,1,22,-1.6171875,-1.6171875,0.0
P101_10027,1,23,-1.6171875,-1.625,-0.0078125
P101_10027,1,24,-1.6171875,-1.640625,-0.0234375
P101_10027,1,25,-1.6171875,-1.609375,0.0078125
P101_10027,1,26,-1.6171875,-1.6171875,0.0
P101_10027,1,27,-1.6171875,-1.6015625,0.015625
P101_10027,1,28,-1.6171875,-1.6171875,0.0
P101_10027,1,29,-1.6171875,-1.6015625,0.015625
P101_10027,1,30,-1.6171875,-1.5390625,0.078125
P101_10027,1,31,-1.6171875,-1.609375,0.0078125
P101_10027,1,32,-1.6171875,-1.6328125,-0.015625
P101_10027,1,33,-1.6171875,-1.625,-0.0078125
P101_10027,1,34,-1.6171875,-1.5859375,0.03125
P101_10027,1,35,-1.6171875,-1.6015625,0.015625
P101_10027,1,36,-1.6171875,-1.6484375,-0.03125
P101_10027,1,37,-1.6171875,-1.6171875,0.0
P101_10027,1,38,-1.6171875,-1.640625,-0.0234375
P101_10027,1,39,-1.6171875,-1.625,-0.0078125
P101_10027,2,0,-1.6171875,-1.625,-0.0078125
