trial_id,cell,ordering,ratio,k,k_actual,argmax_preserved,target_preserved_top1,patched_argmax_id,patched_target_rank,patched_target_logit,patched_competitor_logit,patched_margin,clean_target_logit,delta_target_logit
P101_10027,hihp,hihp_imp_desc,0.05,80,80,False,False,3823,733,-4.625,-2.71875,-1.90625,-1.6171875,-3.0078125
P101_10027,hihp,hihp_imp_desc,0.1,160,160,False,False,10758,1382,-6.3125,-3.890625,-2.421875,-1.6171875,-4.6953125
P101_10027,hihp,hihp_imp_desc,0.2,320,320,False,False,10758,10164,-11.125,-7.25,-3.875,-1.6171875,-9.5078125
P101_10027,hihp,hihp_imp_desc,0.3,480,480,False,False,10758,13529,-12.0,-8.25,-3.75,-1.6171875,-10.3828125
P101_10027,hihp,hihp_imp_desc,0.5,800,605,False,False,10758,11852,-11.75,-8.1875,-3.5625,-1.6171875,-10.1328125
P101_10027,hihp,hihp_imp_asc,0.05,80,80,True,False,6500,96,-1.640625,-1.453125,-0.1875,-1.6171875,-0.0234375
P101_10027,hihp,hihp_imp_asc,0.1,160,160,True,False,6500,86,-1.5078125,-1.4609375,-0.046875,-1.6171875,0.109375
P101_10027,hihp,hihp_imp_asc,0.2,320,320,True,False,6500,79,-1.3671875,-1.5703125,0.203125,-1.6171875,0.25
P101_10027,hihp,hihp_imp_asc,0.3,480,480,False,False,25702,37,-0.74609375,-1.953125,1.20703125,-1.6171875,0.87109375
P101_10027,hihp,hihp_imp_asc,0.5,800,605,False,False,10758,11852,-11.75,-8.1875,-3.5625,-1.6171875,-10.1328125
P101_10027,hilp,hilp_imp_desc,0.05,80,80,True,False,6500,65,-1.203125,-1.4921875,0.2890625,-1.6171875,0.4140625
P101_10027,hilp,hilp_imp_desc,0.1,160,160,True,False,6500,59,-1.046875,-1.4921875,0.4453125,-1.6171875,0.5703125
P101_10027,hilp,hilp_imp_desc,0.2,320,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,hilp,hilp_imp_desc,0.3,480,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,hilp,hilp_imp_desc,0.5,800,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,hilp,hilp_imp_asc,0.05,80,80,True,False,6500,83,-1.5078125,-1.5,-0.0078125,-1.6171875,0.109375
P101_10027,hilp,hilp_imp_asc,0.1,160,160,True,False,6500,73,-1.296875,-1.4375,0.140625,-1.6171875,0.3203125
P101_10027,hilp,hilp_imp_asc,0.2,320,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,hilp,hilp_imp_asc,0.3,480,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,hilp,hilp_imp_asc,0.5,800,195,True,False,6500,55,-0.98046875,-1.515625,0.53515625,-1.6171875,0.63671875
P101_10027,C,C_imp_asc,0.05,80,80,True,False,6500,96,-1.59375,-1.4375,-0.15625,-1.6171875,0.0234375
P101_10027,C,C_imp_asc,0.1,160,160,True,False,6500,114,-1.765625,-1.4375,-0.328125,-1.6171875,-0.1484375
P101_10027,C,C_imp_asc,0.2,320,195,True,False,6500,110,-1.78125,-1.4609375,-0.3203125,-1.6171875,-0.1640625
P101_10027,C,C_imp_asc,0.3,480,195,True,False,6500,110,-1.78125,-1.4609375,-0.3203125,-1.6171875,-0.1640625
P101_10027,C,C_imp_asc,0.5,800,195,True,False,6500,110,-1.78125,-1.4609375,-0.3203125,-1.6171875,-0.1640625
