layer,head,importance,perturbation,cell
0,0,0.0818014705882353,1.011319618261255,hilp
0,1,0.033547794117647,1.0628147116478752,hilp
0,2,0.0597426470588235,1.5151158764081842,hihp
0,3,0.0611213235294117,1.443758291137569,hihp
0,4,0.0560661764705882,1.7516691481304243,hihp
0,5,0.0684742647058823,0.9669856142033548,hilp
0,6,0.0477941176470588,0.9722158165977282,hilp
0,7,0.0597426470588235,0.9969668221824308,hilp
0,8,0.2559742647058823,1.0486626987904482,hilp
0,9,0.0689338235294117,0.973510081277174,hilp
0,10,0.0294117647058823,0.5384058659238851,D
0,11,0.0427389705882352,1.5040254503880586,hihp
0,12,0.0381433823529411,1.4239088374272209,hihp
0,13,0.0340073529411764,0.9694241344490472,hilp
0,14,0.0744485294117647,1.146810799042749,hilp
0,15,0.0409007352941176,1.193620662259705,hilp
0,16,0.0399816176470588,1.1186693369903986,hilp
0,17,0.3501838235294117,1.1911520343958677,hilp
0,18,0.1084558823529411,1.4164251596940791,hihp
0,19,0.056985294117647,0.995490430662518,hilp
0,20,0.0579044117647058,1.1259323139401043,hilp
0,21,0.0349264705882352,0.3053205073126318,hilp
0,22,0.0445772058823529,1.32009553421727,hihp
0,23,0.0611213235294117,1.09328196953763,hilp
0,24,0.0556066176470588,1.035654359990183,hilp
0,25,0.0363051470588235,0.6817985643797061,hilp
0,26,0.0422794117647058,1.4820244066855486,hihp
0,27,0.0496323529411764,0.7956524307305431,hilp
0,28,0.03125,0.6112943218801828,D
0,29,0.0284926470588235,0.5895060427925166,D
0,30,0.0431985294117647,0.653157702044529,hilp
0,31,0.041360294117647,1.2795769158093369,hihp
0,32,0.033547794117647,0.6450544451089466,hilp
0,33,0.0317095588235294,0.749959845753277,D
0,34,0.0404411764705882,0.6366340213400477,hilp
0,35,0.041360294117647,1.111834071631379,hilp
0,36,0.033547794117647,0.7731457491240957,hilp
0,37,0.0344669117647058,0.6030108160613215,hilp
0,38,0.0923713235294117,1.6575390436850928,hihp
0,39,0.0487132352941176,1.565621774561484,hihp
1,0,0.0340073529411764,0.1185666548416895,hilp
1,1,0.0445772058823529,0.1150326741558006,hilp
1,2,0.0349264705882352,0.1133553705945172,hilp
1,3,0.0321691176470588,0.1117508076131343,hilp
1,4,0.0252757352941176,0.1082391932551913,D
1,5,0.0252757352941176,0.3815935957108569,D
1,6,0.0298713235294117,0.4065141815911321,D
1,7,0.0284926470588235,0.3861395729815258,D
1,8,0.0349264705882352,0.5171857844380772,hilp
1,9,0.0284926470588235,0.3369777442558723,D
1,10,0.0303308823529411,0.1254065102514098,D
1,11,0.0307904411764705,0.1187965448069221,D
1,12,0.0317095588235294,0.1114580667413333,D
1,13,0.0225183823529411,0.1174683398293221,D
1,14,0.0353860294117647,0.1122900804723886,hilp
1,15,0.0353860294117647,0.2623939418836551,hilp
1,16,0.0358455882352941,0.2581411928815,hilp
1,17,0.017922794117647,0.2372079828534932,D
1,18,0.0229779411764705,0.3151624775080777,D
1,19,0.0271139705882352,0.2843123448136098,D
1,20,0.03125,0.2909655326922588,D
1,21,0.025735294117647,0.2906692170483224,D
1,22,0.0340073529411764,0.3220500545576215,hilp
1,23,0.0238970588235294,0.2724780691239764,D
1,24,0.0280330882352941,0.322017844328109,D
1,25,0.0280330882352941,0.490872653091655,D
1,26,0.0344669117647058,0.3086483110399807,hilp
1,27,0.0367647058823529,0.4200155509307104,hilp
1,28,0.0409007352941176,0.7349587738075677,hilp
1,29,0.0340073529411764,0.3603654728983255,hilp
1,30,0.0248161764705882,0.113774681902107,D
1,31,0.0294117647058823,0.1256252434652517,D
1,32,0.0211397058823529,0.147628255886957,D
1,33,0.0248161764705882,0.0995424551998867,D
1,34,0.025735294117647,0.1001269060789662,D
1,35,0.0284926470588235,0.2624478067874032,D
1,36,0.0284926470588235,0.2205494893440867,D
1,37,0.0367647058823529,0.245451169061091,hilp
1,38,0.0303308823529411,0.2259919685037697,D
1,39,0.025735294117647,0.2300109577858272,D
2,0,0.0261948529411764,0.3215403741718653,D
2,1,0.033547794117647,0.292079127722365,hilp
2,2,0.0284926470588235,0.349624358008013,D
2,3,0.0303308823529411,0.3650597165174344,D
2,4,0.0294117647058823,0.3540800727684708,D
2,5,0.0330882352941176,0.1979292823440011,hilp
2,6,0.0399816176470588,0.1925893309800063,hilp
2,7,0.0229779411764705,0.1903129307114902,D
2,8,0.025735294117647,0.202506511746084,D
2,9,0.0275735294117647,0.1833224734839271,D
2,10,0.033547794117647,0.7634310230393621,hilp
2,11,0.0353860294117647,0.7794641768011976,hilp
2,12,0.0238970588235294,0.4457154393415241,D
2,13,0.0450367647058823,0.7656416910536149,hilp
2,14,0.033547794117647,0.4827346990213674,hilp
2,15,0.0266544117647058,0.5580310158650664,D
2,16,0.0317095588235294,0.7080150505199152,D
2,17,0.0340073529411764,0.680061233942123,hilp
2,18,0.0317095588235294,0.5176279720138101,D
2,19,0.0381433823529411,0.7292836485978436,hilp
2,20,0.0358455882352941,0.6496364833677516,hilp
2,21,0.0321691176470588,0.387523498495712,hilp
2,22,0.0284926470588235,0.5996673217810252,D
2,23,0.025735294117647,0.9466725366518778,D
2,24,0.0404411764705882,0.7210832299555049,hilp
2,25,0.0252757352941176,0.4060881615561597,D
2,26,0.0261948529411764,0.543106288594358,D
2,27,0.0298713235294117,0.3556242461918908,D
2,28,0.0340073529411764,0.4320294393555206,hilp
2,29,0.0294117647058823,0.4359481669962406,D
2,30,0.0376838235294117,0.2571772195617942,hilp
