trial_id,cell,ordering,ratio,k,k_actual,argmax_preserved,target_preserved_top1,patched_argmax_id,patched_target_rank,patched_target_logit,patched_competitor_logit,patched_margin,clean_target_logit,delta_target_logit
P101_10027,C,C_imp_asc,0.05,96,96,True,True,17047,1,15.4375,10.375,5.0625,15.4375,0.0
P101_10027,C,C_imp_asc,0.1,192,192,False,False,43179,2,15.25,10.6875,4.5625,15.4375,-0.1875
P101_10027,C,C_imp_asc,0.2,384,300,False,False,43179,3,14.9375,11.125,3.8125,15.4375,-0.5
P101_10027,C,C_imp_asc,0.3,576,300,False,False,43179,3,14.9375,11.125,3.8125,15.4375,-0.5
P101_10027,C,C_imp_asc,0.5,960,300,False,False,43179,3,14.9375,11.125,3.8125,15.4375,-0.5
P101_10027,D,D_imp_asc,0.05,96,96,True,True,17047,1,15.4375,10.1875,5.25,15.4375,0.0
P101_10027,D,D_imp_asc,0.1,192,192,False,False,54480,2,15.375,10.25,5.125,15.4375,-0.0625
P101_10027,D,D_imp_asc,0.2,384,384,False,False,43179,3,15.3125,10.3125,5.0,15.4375,-0.125
P101_10027,D,D_imp_asc,0.3,576,576,True,True,17047,1,15.375,10.375,5.0,15.4375,-0.0625
P101_10027,D,D_imp_asc,0.5,960,677,True,True,17047,1,15.5625,10.375,5.1875,15.4375,0.125
P101_10066,C,C_imp_asc,0.05,96,96,True,False,304,9,17.0,9.3125,7.6875,16.875,0.125
P101_10066,C,C_imp_asc,0.1,192,192,True,False,304,8,17.125,9.9375,7.1875,16.875,0.25
P101_10066,C,C_imp_asc,0.2,384,300,True,False,304,7,17.375,10.5625,6.8125,16.875,0.5
P101_10066,C,C_imp_asc,0.3,576,300,True,False,304,7,17.375,10.5625,6.8125,16.875,0.5
P101_10066,C,C_imp_asc,0.5,960,300,True,False,304,7,17.375,10.5625,6.8125,16.875,0.5
P101_10066,D,D_imp_asc,0.05,96,96,True,False,304,12,16.875,9.0,7.875,16.875,0.0
P101_10066,D,D_imp_asc,0.1,192,192,False,False,1304,11,16.875,9.0625,7.8125,16.875,0.0
