cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
C,C_imp_asc,0.05,1.0,0.27941176470588236,289.7352941176471,5.0,5.038229549632353,0.15808823529411764,68
C,C_imp_asc,0.1,0.9558823529411765,0.2647058823529412,320.11764705882354,5.0,5.000804227941177,0.24080882352941177,68
C,C_imp_asc,0.2,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.40441176470588236,68
C,C_imp_asc,0.3,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.40441176470588236,68
C,C_imp_asc,0.5,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.40441176470588236,68
D,D_imp_asc,0.05,0.9852941176470589,0.27941176470588236,304.2647058823529,5.0,5.125344669117647,0.04917279411764706,68
D,D_imp_asc,0.1,0.9558823529411765,0.27941176470588236,297.27941176470586,5.0,5.126953125,0.09145220588235294,68
D,D_imp_asc,0.2,0.9264705882352942,0.29411764705882354,307.8970588235294,5.0,5.10302734375,0.17325367647058823,68
D,D_imp_asc,0.3,0.9264705882352942,0.3235294117647059,303.86764705882354,4.5,5.141687729779412,0.23345588235294118,68
D,D_imp_asc,0.5,0.9411764705882353,0.3088235294117647,315.9264705882353,4.5,5.169376148897059,0.28860294117647056,68
diag,diag_rank_asc,0.05,0.9411764705882353,0.3088235294117647,318.6764705882353,5.0,5.138470818014706,0.043658088235294115,68
diag,diag_rank_asc,0.1,0.9852941176470589,0.29411764705882354,309.30882352941177,5.0,5.100729549632353,0.05422794117647059,68
diag,diag_rank_asc,0.2,0.9558823529411765,0.29411764705882354,320.44117647058823,4.5,5.12451171875,0.15533088235294118,68
diag,diag_rank_asc,0.3,0.9264705882352942,0.29411764705882354,288.4852941176471,5.0,5.075654871323529,0.23207720588235295,68
diag,diag_rank_asc,0.5,0.8088235294117647,0.27941176470588236,257.8529411764706,4.5,4.975126378676471,0.5009191176470589,68
hihp,hihp_imp_asc,0.05,0.8823529411764706,0.27941176470588236,282.25,5.0,4.896139705882353,0.3681066176470588,68
hihp,hihp_imp_asc,0.1,0.8235294117647058,0.27941176470588236,203.85294117647058,4.0,4.7412109375,0.6121323529411765,68
hihp,hihp_imp_asc,0.2,0.75,0.29411764705882354,257.02941176470586,4.5,4.700137867647059,0.9682904411764706,68
hihp,hihp_imp_asc,0.3,0.5882352941176471,0.2647058823529412,258.1617647058824,5.0,3.8816636029411766,1.9744944852941178,68
hihp,hihp_imp_asc,0.5,0.3382352941176471,0.08823529411764706,1789.7205882352941,156.0,-0.31847426470588236,5.407628676470588,68
hihp,hihp_imp_desc,0.05,0.5441176470588235,0.1323529411764706,444.0735294117647,26.0,1.1082261029411764,2.9064797794117645,68
hihp,hihp_imp_desc,0.1,0.47058823529411764,0.1323529411764706,589.0588235294117,33.5,0.6475183823529411,3.4545036764705883,68
hihp,hihp_imp_desc,0.2,0.39705882352941174,0.11764705882352941,635.6176470588235,44.0,0.16544117647058823,4.069623161764706,68
hihp,hihp_imp_desc,0.3,0.3382352941176471,0.10294117647058823,1351.0588235294117,106.5,-0.08536305147058823,5.002642463235294,68
hihp,hihp_imp_desc,0.5,0.3382352941176471,0.08823529411764706,1789.7205882352941,156.0,-0.31847426470588236,5.407628676470588,68
hilp,hilp_imp_asc,0.05,0.9558823529411765,0.3088235294117647,375.11764705882354,4.5,5.100040211397059,0.19025735294117646,68
hilp,hilp_imp_asc,0.1,0.9117647058823529,0.3235294117647059,389.69117647058823,5.0,5.211454503676471,0.3446691176470588,68
hilp,hilp_imp_asc,0.2,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
hilp,hilp_imp_asc,0.3,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
hilp,hilp_imp_asc,0.5,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
hilp,hilp_imp_desc,0.05,0.6617647058823529,0.23529411764705882,390.88235294117646,9.0,4.822782628676471,1.3701746323529411,68
hilp,hilp_imp_desc,0.1,0.6470588235294118,0.23529411764705882,363.97058823529414,8.0,4.876407398897059,1.458639705882353,68
hilp,hilp_imp_desc,0.2,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
hilp,hilp_imp_desc,0.3,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
hilp,hilp_imp_desc,0.5,0.6176470588235294,0.23529411764705882,335.5147058823529,8.0,4.9001608455882355,1.5496323529411764,68
