layer,head,mean_abs_delta,mean_signed_delta,n_trials
0,0,0.18278952205882354,-0.02585018382352941,68
0,1,0.09966681985294118,0.020163143382352942,68
0,2,0.06451056985294118,0.002470128676470588,68
0,3,0.4987936580882353,-0.26154641544117646,68
0,4,0.057329963235294115,-0.003561580882352941,68
0,5,0.12614889705882354,-0.00505514705882353,68
0,6,0.11483226102941177,-0.014073988970588236,68
0,7,0.18439797794117646,-0.08720128676470588,68
0,8,0.04963235294117647,-0.0057444852941176475,68
0,9,0.052964154411764705,0.007927389705882353,68
0,10,0.12626378676470587,-0.02424172794117647,68
0,11,0.07261029411764706,-0.009880514705882353,68
0,12,0.07915900735294118,0.02102481617647059,68
0,13,0.09214154411764706,0.00390625,68
0,14,0.06255744485294118,0.001091452205882353,68
0,15,0.1150045955882353,-0.0724954044117647,68
0,16,0.08794806985294118,0.002585018382352941,68
0,17,0.051528033088235295,-0.0068359375,68
0,18,0.049057904411764705,0.0005744485294117647,68
0,19,0.0595703125,-0.003963694852941176,68
0,20,0.08358226102941177,-0.0038488051470588237,68
0,21,0.10647403492647059,-0.03937844669117647,68
0,22,0.04773667279411765,-0.0048828125,68
0,23,0.1352826286764706,0.0021254595588235292,68
0,24,0.1279296875,0.002814797794117647,68
0,25,0.06922104779411764,0.016371783088235295,68
0,26,0.10274011948529412,0.003877527573529412,68
0,27,0.07416130514705882,0.001206341911764706,68
1,0,0.04486443014705882,0.0007467830882352941,68
1,1,0.05078125,-0.010340073529411764,68
1,2,0.05135569852941176,-0.0010340073529411765,68
1,3,0.06499885110294118,-0.011690027573529412,68
1,4,0.047104779411764705,-0.005284926470588236,68
1,5,0.04181985294117647,0.00045955882352941176,68
1,6,0.03664981617647059,-0.004480698529411764,68
1,7,0.05158547794117647,0.0008042279411764705,68
1,8,0.05801930147058824,-0.01711856617647059,68
1,9,0.06204044117647059,-0.0234375,68
1,10,0.04790900735294118,0.0040211397058823525,68
1,11,0.05261948529411765,0.0057444852941176475,68
1,12,0.057387408088235295,-0.0009765625,68
1,13,0.04193474264705882,-0.0028722426470588237,68
1,14,0.06238511029411765,-0.010684742647058824,68
1,15,0.07898667279411764,0.0087890625,68
1,16,0.06301700367647059,0.011776194852941176,68
1,17,0.05911075367647059,-0.001206341911764706,68
1,18,0.05520450367647059,0.006146599264705882,68
1,19,0.07439108455882353,-0.0004021139705882353,68
1,20,0.08386948529411764,-0.01332720588235294,68
1,21,0.06600413602941177,-0.01970358455882353,68
1,22,0.05773207720588235,0.005342371323529412,68
1,23,0.08093979779411764,-0.03130744485294118,68
1,24,0.05382582720588235,-0.005457261029411764,68
1,25,0.05451516544117647,0.0014361213235294119,68
1,26,0.06611902573529412,-0.010167738970588236,68
1,27,0.05014935661764706,-0.006376378676470588,68
2,0,0.05531939338235294,0.00017233455882352942,68
2,1,0.05474494485294118,0.012580422794117647,68
2,2,0.05560661764705882,-0.010569852941176471,68
2,3,0.04584099264705882,-0.0031020220588235292,68
2,4,0.05755974264705882,0.014590992647058824,68
2,5,0.0703125,0.015625,68
2,6,0.052734375,0.008846507352941176,68
2,7,0.0700827205882353,0.009650735294117647,68
2,8,0.07508042279411764,0.005457261029411764,68
2,9,0.08576516544117647,0.02372472426470588,68
2,10,0.06428079044117647,-0.001091452205882353,68
2,11,0.06824448529411764,0.0011488970588235295,68
2,12,0.05531939338235294,-0.0047679227941176475,68
2,13,0.08740234375,0.010713465073529412,68
2,14,0.04974724264705882,-0.0031020220588235292,68
2,15,0.05773207720588235,0.0015510110294117646,68
2,16,0.0810546875,0.013959099264705883,68
2,17,0.06939338235294118,-0.004365808823529412,68
2,18,0.06382123161764706,-0.005457261029411764,68
2,19,0.06359145220588236,-0.00764016544117647,68
2,20,0.09231387867647059,0.0302734375,68
2,21,0.04256663602941176,0.00028722426470588236,68
2,22,0.05089613970588235,-0.008846507352941176,68
2,23,0.06232766544117647,0.02165670955882353,68
2,24,0.0595703125,-0.0283203125,68
2,25,0.07531020220588236,-0.025333180147058824,68
2,26,0.0439453125,0.00568704044117647,68
2,27,0.09162454044117647,0.01591222426470588,68
3,0,0.0730124080882353,5.744485294117647e-05,68
3,1,0.07266773897058823,-0.022116268382352942,68
3,2,0.06060431985294118,-0.0037339154411764708,68
3,3,0.13390395220588236,0.033490349264705885,68
3,4,0.13321461397058823,-0.0166015625,68
3,5,0.0695657169117647,-0.000861672794117647,68
3,6,0.0910500919117647,0.005112591911764706,68
3,7,0.05457261029411765,-0.002182904411764706,68
3,8,0.057329963235294115,-0.00700827205882353,68
3,9,0.06140854779411765,-0.002585018382352941,68
3,10,0.09731158088235294,-0.011603860294117647,68
3,11,0.05078125,0.013097426470588236,68
3,12,0.06508501838235294,-0.0015510110294117646,68
3,13,0.0642233455882353,0.002642463235294118,68
3,14,0.08099724264705882,0.0008042279411764705,68
3,15,0.09713924632352941,-0.009363511029411764,68
3,16,0.05428538602941176,-0.0048828125,68
3,17,0.09771369485294118,-0.02372472426470588,68
3,18,0.07042738970588236,0.012752757352941176,68
3,19,0.05893841911764706,0.017807904411764705,68
3,20,0.06669347426470588,-0.02165670955882353,68
3,21,0.11833639705882353,0.002297794117647059,68
3,22,0.08289292279411764,0.03463924632352941,68
3,23,0.0810546875,0.022690716911764705,68
3,24,0.08111213235294118,0.02412683823529412,68
3,25,0.05962775735294118,-0.014361213235294117,68
3,26,0.07697610294117647,0.00942095588235294,68
3,27,0.07726332720588236,0.01740579044117647,68
4,0,0.058363970588235295,-0.02734375,68
4,1,0.07473575367647059,0.0007467830882352941,68
4,2,0.09237132352941177,-0.011029411764705883,68
4,3,0.050494025735294115,0.0071806066176470585,68
4,4,0.05376838235294118,-0.0027573529411764708,68
4,5,0.05796185661764706,0.0005170036764705882,68
4,6,0.047104779411764705,0.003446691176470588,68
4,7,0.031537224264705885,0.003963694852941176,68
4,8,0.0478515625,-0.002814797794117647,68
4,9,0.04526654411764706,-0.00390625,68
4,10,0.04296875,-0.001838235294117647,68
4,11,0.038315716911764705,0.0045381433823529415,68
4,12,0.04216452205882353,0.001723345588235294,68
4,13,0.044921875,-0.005629595588235294,68
4,14,0.08513327205882353,0.023782169117647058,68
4,15,0.16963465073529413,-0.0537109375,68
4,16,0.04773667279411765,0.0067210477941176475,68
4,17,0.057904411764705885,-0.01608455882352941,68
4,18,0.06307444852941177,0.001953125,68
4,19,0.05095358455882353,-0.0004021139705882353,68
4,20,0.04440487132352941,-0.004308363970588236,68
4,21,0.06387867647058823,-0.009191176470588236,68
4,22,0.17049632352941177,0.08754595588235294,68
4,23,0.06163832720588235,0.006376378676470588,68
4,24,0.04503676470588235,0.003446691176470588,68
4,25,0.11942784926470588,-0.005112591911764706,68
4,26,0.09260110294117647,0.020909926470588234,68
4,27,0.06594669117647059,0.022518382352941176,68
5,0,0.03957950367647059,-0.01108685661764706,68
5,1,0.06686580882352941,0.01631433823529412,68
5,2,0.06537224264705882,-0.019186580882352942,68
5,3,0.099609375,0.008616727941176471,68
5,4,0.05606617647058824,-0.0055147058823529415,68
5,5,0.0478515625,5.744485294117647e-05,68
5,6,0.04216452205882353,0.003561580882352941,68
5,7,0.04216452205882353,0.006548713235294118,68
5,8,0.04790900735294118,-0.002412683823529412,68
5,9,0.05560661764705882,-0.0078125,68
5,10,0.07829733455882353,-0.01614200367647059,68
5,11,0.036362591911764705,-0.007869944852941176,68
5,12,0.13987821691176472,0.0283203125,68
5,13,0.05819163602941176,0.0014361213235294119,68
5,14,0.0686178768382353,0.001235064338235294,68
5,15,0.04991957720588235,-0.000861672794117647,68
5,16,0.04986213235294118,0.008961397058823529,68
5,17,0.04497931985294118,-0.003504136029411765,68
5,18,0.03573069852941176,0.0042509191176470585,68
5,19,0.04285386029411765,-0.012752757352941176,68
5,20,0.03900505514705882,-0.00407858455882353,68
5,21,0.043658088235294115,-0.002297794117647059,68
5,22,0.055376838235294115,-0.022058823529411766,68
5,23,0.08800551470588236,0.0029871323529411763,68
5,24,0.05118336397058824,-0.0071806066176470585,68
5,25,0.03889016544117647,-0.013614430147058824,68
5,26,0.03894761029411765,0.00471047794117647,68
5,27,0.060317095588235295,-0.024471507352941176,68
6,0,0.06847426470588236,0.01401654411764706,68
6,1,0.0546875,-0.011948529411764705,68
6,2,0.10696231617647059,0.05755974264705882,68
6,3,0.06117876838235294,0.0185546875,68
6,4,0.05721507352941176,0.01401654411764706,68
6,5,0.08369715073529412,-0.02395450367647059,68
6,6,0.1269244025735294,-0.016170726102941176,68
6,7,0.061293658088235295,-0.016486672794117647,68
6,8,0.04624310661764706,-0.01235064338235294,68
6,9,0.1101217830882353,-0.034869025735294115,68
6,10,0.06968060661764706,0.022575827205882353,68
6,11,0.0654296875,-0.008674172794117647,68
6,12,0.04296875,-0.008042279411764705,68
6,13,0.12074908088235294,0.001953125,68
6,14,0.051011029411764705,-0.01838235294117647,68
6,15,0.06290211397058823,-0.004653033088235294,68
6,16,0.13097426470588236,-0.028952205882352942,68
6,17,0.04532398897058824,-0.009937959558823529,68
6,18,0.05893841911764706,0.0008042279411764705,68
6,19,0.04061351102941176,-0.005801930147058824,68
6,20,0.04480698529411765,-0.0013786764705882354,68
6,21,0.05911075367647059,-0.007410386029411764,68
6,22,0.09455422794117647,0.003791360294117647,68
6,23,0.10219439338235294,0.039349724264705885,68
6,24,0.04159007352941176,0.0059742647058823525,68
6,25,0.06439568014705882,-0.007295496323529412,68
6,26,0.0871438419117647,-0.007984834558823529,68
6,27,0.03860294117647059,-0.0062040441176470585,68
7,0,0.08852251838235294,0.007065716911764706,68
7,1,0.09139476102941177,-0.02315027573529412,68
7,2,0.11873851102941177,-0.05210248161764706,68
