prompt_id,text,start_year
0,The war lasted from the year 1705 to the year 17,5
1,The dynasty ruled from the year 1733 to the year 17,33
2,The meeting was scheduled from the year 1719 to the year 17,19
3,The war lasted from the year 1788 to the year 17,88
4,The expedition ran from the year 1713 to the year 17,13
5,The expedition ran from the year 1756 to the year 17,56
6,The war lasted from the year 1705 to the year 17,5
7,The war lasted from the year 1729 to the year 17,29
8,The meeting was scheduled from the year 1766 to the year 17,66
9,The expedition ran from the year 1705 to the year 17,5
10,The expedition ran from the year 1727 to the year 17,27
11,The expedition ran from the year 1755 to the year 17,55
12,The meeting was scheduled from the year 1759 to the year 17,59
13,The expedition ran from the year 1737 to the year 17,37
14,The war lasted from the year 1722 to the year 17,22
15,The construction took from the year 1745 to the year 17,45
16,The dynasty ruled from the year 1721 to the year 17,21
17,The meeting was scheduled from the year 1745 to the year 17,45
18,The war lasted from the year 1713 to the year 17,13
19,The construction took from the year 1714 to the year 17,14
20,The dynasty ruled from the year 1746 to the year 17,46
21,The expedition ran from the year 1735 to the year 17,35
22,The war lasted from the year 1760 to the year 17,60
23,The expedition ran from the year 1717 to the year 17,17
24,The construction took from the year 1712 to the year 17,12
25,The expedition ran from the year 1739 to the year 17,39
26,The expedition ran from the year 1748 to the year 17,48
27,The expedition ran from the year 1726 to the year 17,26
28,The war lasted from the year 1707 to the year 17,7
29,The meeting was scheduled from the year 1739 to the year 17,39
30,The war lasted from the year 1731 to the year 17,31
31,The war lasted from the year 1750 to the year 17,50
32,The dynasty ruled from the year 1760 to the year 17,60
33,The dynasty ruled from the year 1722 to the year 17,22
34,The dynasty ruled from the year 1747 to the year 17,47
35,The meeting was scheduled from the year 1787 to the year 17,87
36,The dynasty ruled from the year 1789 to the year 17,89
37,The war lasted from the year 1779 to the year 17,79
38,The meeting was scheduled from the year 1770 to the year 17,70
39,The meeting was scheduled from the year 1722 to the year 17,22
40,The construction took from the year 1750 to the year 17,50
41,The dynasty ruled from the year 1783 to the year 17,83
42,The expedition ran from the year 1730 to the year 17,30
43,The dynasty ruled from the year 1709 to the year 17,9
44,The meeting was scheduled from the year 1706 to the year 17,6
45,The dynasty ruled from the year 1753 to the year 17,53
46,The dynasty ruled from the year 1710 to the year 17,10
47,The meeting was scheduled from the year 1774 to the year 17,74
48,The dynasty ruled from the year 1729 to the year 17,29
49,The construction took from the year 1752 to the year 17,52
50,The construction took from the year 1720 to the year 17,20
51,The dynasty ruled from the year 1719 to the year 17,19
52,The meeting was scheduled from the year 1773 to the year 17,73
53,The expedition ran from the year 1735 to the year 17,35
54,The expedition ran from the year 1756 to the year 17,56
55,The expedition ran from the year 1753 to the year 17,53
56,The dynasty ruled from the year 1730 to the year 17,30
57,The meeting was scheduled from the year 1767 to the year 17,67
58,The construction took from the year 1713 to the year 17,13
59,The war lasted from the year 1716 to the year 17,16
60,The meeting was scheduled from the year 1782 to the year 17,82
61,The meeting was scheduled from the year 1789 to the year 17,89
62,The construction took from the year 1778 to the year 17,78
63,The war lasted from the year 1751 to the year 17,51
64,The construction took from the year 1778 to the year 17,78
65,The construction took from the year 1769 to the year 17,69
66,The dynasty ruled from the year 1772 to the year 17,72
67,The war lasted from the year 1789 to the year 17,89
68,The war lasted from the year 1789 to the year 17,89
69,The expedition ran from the year 1736 to the year 17,36
70,The dynasty ruled from the year 1716 to the year 17,16
71,The dynasty ruled from the year 1757 to the year 17,57
72,The meeting was scheduled from the year 1760 to the year 17,60
73,The war lasted from the year 1735 to the year 17,35
74,The expedition ran from the year 1724 to the year 17,24
75,The expedition ran from the year 1715 to the year 17,15
76,The dynasty ruled from the year 1783 to the year 17,83
77,The expedition ran from the year 1779 to the year 17,79
78,The meeting was scheduled from the year 1721 to the year 17,21
79,The dynasty ruled from the year 1722 to the year 17,22
80,The expedition ran from the year 1769 to the year 17,69
81,The war lasted from the year 1778 to the year 17,78
82,The dynasty ruled from the year 1764 to the year 17,64
83,The war lasted from the year 1716 to the year 17,16
84,The dynasty ruled from the year 1741 to the year 17,41
85,The meeting was scheduled from the year 1709 to the year 17,9
86,The meeting was scheduled from the year 1774 to the year 17,74
87,The war lasted from the year 1712 to the year 17,12
88,The construction took from the year 1710 to the year 17,10
89,The expedition ran from the year 1718 to the year 17,18
90,The meeting was scheduled from the year 1786 to the year 17,86
91,The construction took from the year 1772 to the year 17,72
92,The meeting was scheduled from the year 1735 to the year 17,35
93,The expedition ran from the year 1779 to the year 17,79
94,The construction took from the year 1729 to the year 17,29
95,The expedition ran from the year 1727 to the year 17,27
96,The dynasty ruled from the year 1753 to the year 17,53
97,The dynasty ruled from the year 1758 to the year 17,58
98,The expedition ran from the year 1759 to the year 17,59
99,The war lasted from the year 1733 to the year 17,33
100,The meeting was scheduled from the year 1710 to the year 17,10
101,The dynasty ruled from the year 1704 to the year 17,4
102,The expedition ran from the year 1772 to the year 17,72
103,The meeting was scheduled from the year 1777 to the year 17,77
104,The meeting was scheduled from the year 1702 to the year 17,2
105,The war lasted from the year 1782 to the year 17,82
106,The war lasted from the year 1731 to the year 17,31
107,The war lasted from the year 1706 to the year 17,6
108,The dynasty ruled from the year 1711 to the year 17,11
109,The expedition ran from the year 1732 to the year 17,32
110,The dynasty ruled from the year 1787 to the year 17,87
111,The construction took from the year 1729 to the year 17,29
112,The expedition ran from the year 1718 to the year 17,18
113,The expedition ran from the year 1775 to the year 17,75
114,The construction took from the year 1733 to the year 17,33
115,The construction took from the year 1754 to the year 17,54
116,The meeting was scheduled from the year 1714 to the year 17,14
117,The war lasted from the year 1786 to the year 17,86
118,The construction took from the year 1747 to the year 17,47
119,The construction took from the year 1754 to the year 17,54
120,The construction took from the year 1708 to the year 17,8
121,The war lasted from the year 1709 to the year 17,9
122,The construction took from the year 1745 to the year 17,45
123,The war lasted from the year 1733 to the year 17,33
124,The meeting was scheduled from the year 1726 to the year 17,26
125,The expedition ran from the year 1759 to the year 17,59
126,The meeting was scheduled from the year 1756 to the year 17,56
127,The meeting was scheduled from the year 1737 to the year 17,37
128,The construction took from the year 1733 to the year 17,33
129,The war lasted from the year 1758 to the year 17,58
130,The expedition ran from the year 1714 to the year 17,14
131,The war lasted from the year 1785 to the year 17,85
132,The expedition ran from the year 1703 to the year 17,3
133,The war lasted from the year 1732 to the year 17,32
134,The meeting was scheduled from the year 1754 to the year 17,54
135,The construction took from the year 1763 to the year 17,63
136,The meeting was scheduled from the year 1753 to the year 17,53
137,The war lasted from the year 1723 to the year 17,23
138,The construction took from the year 1702 to the year 17,2
139,The construction took from the year 1735 to the year 17,35
140,The construction took from the year 1738 to the year 17,38
141,The construction took from the year 1773 to the year 17,73
142,The construction took from the year 1721 to the year 17,21
143,The meeting was scheduled from the year 1739 to the year 17,39
144,The meeting was scheduled from the year 1709 to the year 17,9
145,The expedition ran from the year 1771 to the year 17,71
146,The war lasted from the year 1742 to the year 17,42
147,The war lasted from the year 1708 to the year 17,8
148,The expedition ran from the year 1763 to the year 17,63
149,The expedition ran from the year 1769 to the year 17,69
150,The meeting was scheduled from the year 1709 to the year 17,9
151,The expedition ran from the year 1712 to the year 17,12
152,The meeting was scheduled from the year 1710 to the year 17,10
153,The expedition ran from the year 1710 to the year 17,10
154,The meeting was scheduled from the year 1753 to the year 17,53
155,The war lasted from the year 1774 to the year 17,74
156,The meeting was scheduled from the year 1776 to the year 17,76
157,The expedition ran from the year 1707 to the year 17,7
158,The expedition ran from the year 1712 to the year 17,12
159,The construction took from the year 1786 to the year 17,86
160,The expedition ran from the year 1774 to the year 17,74
161,The expedition ran from the year 1742 to the year 17,42
162,The dynasty ruled from the year 1728 to the year 17,28
163,The dynasty ruled from the year 1732 to the year 17,32
164,The dynasty ruled from the year 1752 to the year 17,52
165,The meeting was scheduled from the year 1787 to the year 17,87
166,The dynasty ruled from the year 1760 to the year 17,60
167,The dynasty ruled from the year 1711 to the year 17,11
168,The war lasted from the year 1760 to the year 17,60
169,The expedition ran from the year 1774 to the year 17,74
170,The war lasted from the year 1711 to the year 17,11
171,The expedition ran from the year 1729 to the year 17,29
172,The expedition ran from the year 1735 to the year 17,35
173,The meeting was scheduled from the year 1746 to the year 17,46
174,The war lasted from the year 1733 to the year 17,33
175,The dynasty ruled from the year 1738 to the year 17,38
176,The meeting was scheduled from the year 1758 to the year 17,58
177,The expedition ran from the year 1740 to the year 17,40
178,The expedition ran from the year 1785 to the year 17,85
179,The expedition ran from the year 1703 to the year 17,3
180,The expedition ran from the year 1740 to the year 17,40
181,The war lasted from the year 1719 to the year 17,19
182,The dynasty ruled from the year 1716 to the year 17,16
183,The war lasted from the year 1772 to the year 17,72
184,The meeting was scheduled from the year 1736 to the year 17,36
185,The dynasty ruled from the year 1779 to the year 17,79
186,The meeting was scheduled from the year 1745 to the year 17,45
187,The meeting was scheduled from the year 1789 to the year 17,89
188,The dynasty ruled from the year 1766 to the year 17,66
189,The construction took from the year 1734 to the year 17,34
190,The war lasted from the year 1713 to the year 17,13
191,The construction took from the year 1737 to the year 17,37
192,The war lasted from the year 1702 to the year 17,2
193,The dynasty ruled from the year 1718 to the year 17,18
194,The dynasty ruled from the year 1722 to the year 17,22
195,The construction took from the year 1772 to the year 17,72
196,The construction took from the year 1773 to the year 17,73
197,The war lasted from the year 1716 to the year 17,16
198,The war lasted from the year 1721 to the year 17,21
199,The expedition ran from the year 1706 to the year 17,6
