layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
0,0,signed,1.7563477245796655e-05,0.08028333634138107,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,1,signed,0.004099834325783147,0.0004608006274793297,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,2,signed,-0.00035769599756235726,0.053180988878011703,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
0,3,signed,0.0013856192812423118,0.0006729349261149764,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,4,signed,-0.00014407004581729055,0.010495101101696491,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
0,5,signed,0.0016561444597664177,1.9911520212190226e-05,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,6,signed,-0.0001263453096038425,0.12637288868427277,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
0,7,signed,0.0013091378993738134,0.06779453158378601,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,8,signed,0.00019650367550666514,0.016882572323083878,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,9,signed,0.00025785991810919895,0.06451877951622009,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
0,10,signed,-0.00041256343136694684,0.05460122227668762,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
0,11,signed,7.743984677630045e-05,0.09272070974111557,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
1,0,signed,0.00021567663249072444,0.07248739898204803,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
1,1,signed,6.347714366639057e-06,0.08024498075246811,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
1,2,signed,2.912565230245301e-05,0.07389508932828903,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
1,3,signed,3.920333693144262e-05,0.04210462048649788,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
1,4,signed,2.3082309503180687e-05,0.08777114748954773,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
1,5,signed,-0.000591263369659617,0.090187206864357,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
1,6,signed,4.4632408409184254e-05,0.18785983324050903,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
1,7,signed,0.00034143926923035917,0.1839110404253006,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
1,8,signed,-2.0233177624784382e-05,0.2353285253047943,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
1,9,signed,-3.1341396987155656e-05,0.14520969986915588,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
1,10,signed,-5.057335312672051e-05,0.0944477841258049,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
1,11,signed,-0.0002877223465523604,0.04790196567773819,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
2,0,signed,2.30221706141176e-05,0.08572311699390411,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,1,signed,0.0005346410923522116,0.2741636633872986,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
2,2,signed,-0.00023354994406135643,0.05106224864721298,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
2,3,signed,2.3630893238923978e-05,0.0491352304816246,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,4,signed,0.0005282986693919134,0.03786236420273781,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,5,signed,0.0003212534667377809,0.05996853485703468,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,6,signed,0.00025707103900143857,0.06774026900529861,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,7,signed,7.333643104623366e-06,0.1177547425031662,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
2,8,signed,4.7575327176890836e-05,0.04574206843972206,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
2,9,signed,-0.0001327434587963805,0.08762519061565399,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
2,10,signed,0.00012022992044563585,0.10621463507413864,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
2,11,signed,-0.00023570964648286785,0.06576739996671677,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
3,0,signed,0.0002777420906462935,0.03332420438528061,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,1,signed,6.902144839898705e-05,0.05372021347284317,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,2,signed,-1.029368916938278e-06,0.05176674947142601,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
3,3,signed,0.0002990188906400737,0.055356115102767944,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,4,signed,-0.0005326657996630457,0.28301116824150085,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
3,5,signed,0.00012390211607082868,0.11008654534816742,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
3,6,signed,0.0002455976821934547,0.07368060201406479,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,7,signed,-0.00027796430787191406,0.057786498218774796,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
3,8,signed,5.66693325356471e-05,0.06257861107587814,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,9,signed,0.00014981926479748497,0.05850420519709587,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
3,10,signed,-0.00012650016615398108,0.0759170800447464,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
3,11,signed,1.8005298317969043e-05,0.058769986033439636,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
4,0,signed,-4.3423366159922594e-05,0.05956246331334114,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
4,1,signed,-0.00034504270936425163,0.12199998646974564,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
4,2,signed,5.159189922221419e-07,0.03401678055524826,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
4,3,signed,0.0003220476129897065,0.045007143169641495,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
4,4,signed,-0.0002570261120635742,0.19891978800296783,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
4,5,signed,0.0004923690559684168,0.07040544599294662,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
4,6,signed,-0.00032716146352898545,0.08963857591152191,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
4,7,signed,-5.007400122253314e-05,0.09381671994924545,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
4,8,signed,-0.0001089438117219399,0.10393119603395462,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
4,9,signed,-0.00014711294851338375,0.07895422726869583,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
4,10,signed,-0.00036393842660487064,0.05205564573407173,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
4,11,signed,-0.0006593980946513478,0.11304855346679688,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
5,0,signed,-0.0002827513205102272,0.34369850158691406,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
5,1,signed,0.0023861861718955657,0.7384292483329773,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
5,2,signed,0.00020023677166847165,0.07716702669858932,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
5,3,signed,-5.8903468633103584e-05,0.07823270559310913,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
5,4,signed,0.0005277642429015739,0.1110561266541481,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
5,5,signed,0.004112689024422023,0.6585696935653687,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
5,6,signed,-4.841325594223678e-06,0.09825076907873154,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
5,7,signed,-1.4613129877716347e-05,0.0914406105875969,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
5,8,signed,0.0004403446096946928,0.304468035697937,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
5,9,signed,0.0006962858326286792,0.2334199845790863,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
5,10,signed,0.0001311714627840188,0.06919758766889572,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
5,11,signed,-0.0003351611092810569,0.2367076724767685,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
6,0,signed,0.00015239520851395572,0.10470744222402573,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,1,signed,0.0005208421360359261,0.3523666262626648,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,2,signed,5.848345174142011e-05,0.2132149338722229,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,3,signed,-0.00019454659229184434,0.037782877683639526,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
6,4,signed,0.0007256170077118707,0.1885543018579483,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,5,signed,9.066797359763568e-05,0.1677408367395401,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,6,signed,-0.0007838772214825152,0.12192098796367645,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
6,7,signed,-0.00017257078412968863,0.10686863213777542,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
6,8,signed,0.00024353806727217542,0.10228515416383743,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,9,signed,0.003639003903759319,0.9234580993652344,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
6,10,signed,4.393781956452125e-05,0.021894048899412155,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
6,11,signed,0.0004333926438547797,0.1258489191532135,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
7,0,signed,2.241337568448243e-05,0.09828316420316696,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
7,1,signed,-7.601639632584534e-05,0.01652691885828972,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
7,2,signed,0.00018465501147033048,0.25776925683021545,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
7,3,signed,-0.00026998928218036067,0.08916211873292923,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
7,4,signed,2.9107197427130638e-05,0.01049541961401701,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
7,5,signed,1.0709913891571166e-06,0.09408888965845108,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
7,6,signed,0.0004939594236185452,0.18140098452568054,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
7,7,signed,0.0008170851357385822,0.12964874505996704,True,True,A,1.5342482055008544e-05,0.08915162831544876,False,
7,8,signed,-9.698698278867712e-05,0.13422557711601257,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
7,9,signed,-5.5139255653396946e-05,0.08069474995136261,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
7,10,signed,0.015751179438745433,1.1262446641921997,True,True,A,1.5342482055008544e-05,0.08915162831544876,True,GT
7,11,signed,0.0007358232590735092,0.2399195432662964,True,True,A,1.5342482055008544e-05,0.08915162831544876,True,GT
8,0,signed,-0.00012227532862510437,0.16393253207206726,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
8,1,signed,-0.0004698596054436288,0.20252181589603424,False,True,C,1.5342482055008544e-05,0.08915162831544876,False,
8,2,signed,0.00017261953219360748,0.030241241678595543,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
8,3,signed,-6.15329875029158e-05,0.039442334324121475,False,False,D,1.5342482055008544e-05,0.08915162831544876,False,
8,4,signed,2.5052422152199716e-05,0.03255226090550423,True,False,B,1.5342482055008544e-05,0.08915162831544876,False,
