layer,head,patching_effect_max_prob
0,0,0.00016751177608965995
0,1,0.0025382650829851583
0,2,8.850645273923707e-05
0,3,0.0006531407684087776
0,4,0.00035351928323507087
0,5,0.0002774157002568278
0,6,0.00035871017724276033
0,7,0.0007391098514199224
0,8,5.489878356457201e-05
0,9,0.00022278249263762984
0,10,0.00011431679129600414
0,11,2.13242694735577e-05
1,0,0.0003379331901669502
1,1,8.188117295503117e-05
1,2,9.876407682896104e-05
1,3,1.932352781296165e-05
1,4,2.431273460390404e-06
1,5,0.0013968259096145547
1,6,2.7351677417755682e-05
1,7,0.00030824765563010337
1,8,2.3874156177050576e-05
1,9,5.2968002855771634e-05
1,10,2.727434039118126e-06
1,11,0.0003681067004799865
2,0,7.043033838263768e-06
2,1,0.0006374594941735284
2,2,0.0001820529997348802
2,3,5.4844878613943826e-05
2,4,2.512749284505622e-05
2,5,7.737085223197271e-05
2,6,0.0001529299840331011
2,7,7.817812263966051e-05
2,8,2.1356642246242452e-05
2,9,9.712249040604026e-05
2,10,6.266642361879571e-05
2,11,4.757195711135864e-05
3,0,0.00023507110774516338
3,1,8.599553257226944e-05
3,2,0.000180131793022148
3,3,0.0004964870214462236
3,4,0.00039819531142712417
3,5,0.00033879004418850556
3,6,0.00018772929906844815
3,7,0.00016960501670837402
3,8,0.0001952954009175334
3,9,2.9360055923466355e-05
3,10,0.0001571188867092177
3,11,0.0002754100039601276
4,0,0.0005574511922895875
4,1,0.0009267415478825536
4,2,6.4874440431628155e-06
4,3,0.0002503861859440848
4,4,0.00046439036726951544
4,5,0.000762913413345806
4,6,0.0011022963374853062
4,7,0.00044460289180278667
4,8,0.001806409694254399
4,9,0.00016423847526311763
4,10,0.0012966904230415771
4,11,0.0002694120258092958
5,0,0.0005266400054097092
5,1,0.0021483142301440272
5,2,0.00024172794073819281
5,3,0.0002625398337841034
5,4,9.89659130573306e-05
5,5,0.0020735309273004487
5,6,0.00021986819803715418
5,7,5.626492202281952e-05
5,8,0.00014345284551382786
5,9,0.000114296544343237
5,10,0.00027908433228730767
5,11,0.00020110145211220398
6,0,0.00012998536229133495
6,1,0.0005871560797095221
6,2,0.00010481901466846688
6,3,7.739584892987872e-05
6,4,4.1483137756592736e-05
6,5,0.0002468939870595849
6,6,0.00043469887226819937
6,7,0.00023312617093325383
6,8,3.6364421248380463e-06
6,9,0.002675246186554431
6,10,0.00017720438539982342
6,11,0.00042081039398908504
7,0,0.00015924919396638482
7,1,2.8565414249892562e-05
7,2,0.002383108586072921
7,3,0.00040961854159832223
7,4,7.745977491140088e-05
7,5,0.0004243393428623593
7,6,0.0003357529640197754
7,7,0.00036247130483389733
7,8,0.000559196397662165
7,9,7.52046704292908e-06
7,10,0.007186851464211941
7,11,0.0005872903391718892
8,0,0.00023363020271062462
8,1,0.00025195222347974833
8,2,0.00020765241235494447
8,3,0.0002635878324508678
8,4,3.631472587585505e-05
8,5,6.858501583337229e-05
8,6,0.00013287372887134385
8,7,0.00011900667101144569
8,8,0.00026529144495725243
8,9,0.0010638318955898257
8,10,0.0004629635810852045
8,11,0.009490780904889098
9,0,7.74798169732166e-05
9,1,0.01051140166819095
9,2,2.7180351316935525e-05
9,3,0.0004691303521394685
9,4,5.351919680833539e-05
9,5,8.340613916515971e-05
9,6,2.360738813877994e-05
9,7,0.00017736956477165666
9,8,4.6176016330723435e-05
9,9,0.00041150886565446965
9,10,0.00011212762445211855
9,11,6.84959813952446e-05
10,0,0.00012743618339300378
10,1,5.385152995586451e-05
10,2,0.002765327095985412
10,3,0.0001174433156847926
10,4,0.0008606334775686231
10,5,4.464536905293692e-06
10,6,0.00010597933083772437
10,7,0.005714953280985355
10,8,0.00013788413256406173
10,9,1.0011680424207303e-05
10,10,1.67934596538577e-05
10,11,4.434697329996906e-06
11,0,7.73889198899258e-05
11,1,2.5339759886264246e-05
11,2,6.708931177853983e-05
11,3,3.0568465590477545e-05
11,4,3.865219652653129e-05
11,5,1.3617351651187826e-05
11,6,2.1640881896017872e-05
11,7,5.361437797613e-07
11,8,0.0007648988440632776
11,9,4.416741430758597e-05
11,10,0.00010038342326879057
11,11,0.00011259835213422997
