layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
0,0,0.08028333634138107,0.11323115974664688,0.012092126533389091,6.430032730102539
0,1,0.0004608006274793297,0.00030304689425975084,4.261731945121028e-08,6.684566020965576
0,2,0.053180988878011703,0.052622079849243164,0.001486326800659299,7.546128749847412
0,3,0.0006729349261149764,0.0004474500601645559,2.0951033263827412e-07,5.178512096405029
0,4,0.010495101101696491,0.010754633694887161,0.00021284460672177374,4.996640205383301
0,5,1.9911520212190226e-05,1.1416156667110045e-05,1.0132789718397817e-08,6.331103324890137
0,6,0.12637288868427277,0.06844859570264816,0.002404117491096258,7.521966457366943
0,7,0.06779453158378601,0.04775318130850792,0.0012753739720210433,7.73367977142334
0,8,0.016882572323083878,0.011579196900129318,0.00020904005214106292,5.921528339385986
0,9,0.06451877951622009,0.03007231466472149,0.0004996445495635271,7.644546985626221
0,10,0.05460122227668762,0.034287985414266586,0.0006327304290607572,7.657778263092041
0,11,0.09272070974111557,0.04494638368487358,0.0010572856990620494,7.854607105255127
1,0,0.07248739898204803,0.04486308619379997,0.001128080184571445,7.265594482421875
1,1,0.08024498075246811,0.02205134555697441,0.0002566301845945418,7.597091197967529
1,2,0.07389508932828903,0.0354047454893589,0.0006424146704375744,7.871415615081787
1,3,0.04210462048649788,0.015684355050325394,0.00011636823182925582,7.859452724456787
1,4,0.08777114748954773,0.03265960142016411,0.0005705085350200534,7.725161075592041
1,5,0.090187206864357,0.04753662645816803,0.002214018488302827,5.863444805145264
1,6,0.18785983324050903,0.12997636198997498,0.018223147839307785,5.849936485290527
1,7,0.1839110404253006,0.10211151093244553,0.0055380165576934814,7.541482925415039
1,8,0.2353285253047943,0.12298179417848587,0.008237476460635662,7.826054573059082
1,9,0.14520969986915588,0.08984346687793732,0.004223395138978958,7.8114423751831055
1,10,0.0944477841258049,0.026201734319329262,0.0003477242717053741,7.903106689453125
1,11,0.04790196567773819,0.018115652725100517,0.00016829639207571745,7.687800407409668
2,0,0.08572311699390411,0.032733019441366196,0.0005668607191182673,7.328094959259033
2,1,0.2741636633872986,0.2481425404548645,0.044136952608823776,6.196473598480225
2,2,0.05106224864721298,0.02945820800960064,0.0005257832817733288,7.02536153793335
2,3,0.0491352304816246,0.02047748863697052,0.00021279275824781507,7.4713454246521
2,4,0.03786236420273781,0.01789790391921997,0.00030669927946291864,5.917883396148682
2,5,0.05996853485703468,0.028933506458997726,0.000510831770952791,7.009868621826172
2,6,0.06774026900529861,0.029767818748950958,0.00048474909272044897,7.6715989112854
2,7,0.1177547425031662,0.06570005416870117,0.00248225056566298,7.308847427368164
2,8,0.04574206843972206,0.016954155638813972,0.00017460406525060534,7.350896835327148
2,9,0.08762519061565399,0.029694952070713043,0.0007183229899965227,6.455278396606445
2,10,0.10621463507413864,0.027349673211574554,0.00046987622044980526,7.1440863609313965
2,11,0.06576739996671677,0.027466654777526855,0.0004057079495396465,7.378671169281006
3,0,0.03332420438528061,0.011371765285730362,6.483078323071823e-05,5.46638298034668
3,1,0.05372021347284317,0.03577651083469391,0.0014779835473746061,6.063471794128418
3,2,0.05176674947142601,0.02568875253200531,0.0010150775779038668,5.537179470062256
3,3,0.055356115102767944,0.035543493926525116,0.0028583735693246126,5.580865859985352
3,4,0.28301116824150085,0.12107431143522263,0.009299885481595993,7.084402084350586
3,5,0.11008654534816742,0.12727852165699005,0.00862568337470293,7.636536121368408
3,6,0.07368060201406479,0.033499959856271744,0.0017863181419670582,5.708831310272217
3,7,0.057786498218774796,0.021130384877324104,0.0006186109967529774,5.578679084777832
3,8,0.06257861107587814,0.030679874122142792,0.0010413596173748374,6.153941631317139
3,9,0.05850420519709587,0.04794079810380936,0.0032766673248261213,6.191473960876465
3,10,0.0759170800447464,0.04619334265589714,0.001803286373615265,6.296209335327148
3,11,0.058769986033439636,0.02595577947795391,0.0006877884152345359,6.089017868041992
4,0,0.05956246331334114,0.0416756346821785,0.002515089698135853,5.533785343170166
4,1,0.12199998646974564,0.0437462218105793,0.001990309916436672,5.965145111083984
4,2,0.03401678055524826,0.04910433292388916,0.001246374798938632,7.6387858390808105
