layer,head,pert_resample,pert_mean,pert_zero
0,0,0.080283344,0.25283366,0.800681
0,1,0.00046080057,0.65043014,1.5521381
0,2,0.05318099,0.21912219,1.0230439
0,3,0.00067293516,0.46372795,1.5388939
0,4,0.010495105,0.44285908,1.3885639
0,5,1.9911518e-05,0.4595834,1.7279487
0,6,0.12637292,0.3331263,1.8552753
0,7,0.067794524,0.3332255,1.4653153
0,8,0.016882569,0.27057305,1.6032203
0,9,0.06451879,0.29469705,2.1748605
0,10,0.054601222,0.3028585,1.6094486
0,11,0.09272072,0.21398276,2.0629122
1,0,0.0724874,0.4983706,1.5720335
1,1,0.08024498,0.80921227,3.8925185
1,2,0.07389508,0.30310538,2.0891247
1,3,0.042104624,0.20888656,2.6763022
1,4,0.08777117,0.28528276,2.6870248
1,5,0.090187244,0.5215532,1.9077562
1,6,0.18785982,0.27101147,1.4540058
1,7,0.18391103,0.60074556,1.8015704
1,8,0.23532845,0.35844612,1.8949914
1,9,0.1452097,0.22560692,1.6134034
1,10,0.09444781,0.35163268,3.6041656
1,11,0.04790197,0.67511016,2.6419685
2,0,0.085723154,0.2995835,2.5926795
2,1,0.2741636,0.48137587,0.992478
2,2,0.051062264,0.6927869,1.619406
2,3,0.04913524,0.84432197,2.4241035
2,4,0.037862368,0.4809592,2.1080425
2,5,0.059968535,0.6440294,2.0538645
2,6,0.067740284,0.83841276,2.4352753
2,7,0.11775476,0.49706817,1.7845464
2,8,0.045742054,0.47746104,2.7554018
2,9,0.08762516,0.673566,3.012327
2,10,0.106214635,0.5595156,3.887579
2,11,0.065767385,0.22215635,2.369735
3,0,0.033324204,1.1370611,1.9343431
3,1,0.053720213,0.39626914,1.4386753
3,2,0.051766753,0.5515376,1.7100837
3,3,0.055356115,0.5322381,0.9442477
3,4,0.2830112,0.6688172,2.3079596
3,5,0.110086575,0.34067562,0.85554266
3,6,0.0736806,0.6864643,2.0107646
3,7,0.057786513,0.93423027,2.130706
3,8,0.06257861,0.46113276,2.164691
3,9,0.058504194,0.37658873,1.2062608
3,10,0.07591705,0.59098154,1.5389401
3,11,0.058769993,0.61374617,2.1966417
4,0,0.059562467,0.48975793,0.9521528
4,1,0.12199999,1.1589348,1.8747243
4,2,0.034016773,0.21262863,0.6940487
4,3,0.045007154,0.6628033,1.2754469
4,4,0.1989199,0.4161478,0.8964563
4,5,0.07040542,0.85306025,1.5225704
4,6,0.089638636,0.5082564,1.5397252
4,7,0.093816735,0.9097402,2.9515862
4,8,0.10393121,0.2857945,0.6818597
4,9,0.07895426,0.1527492,0.62225455
4,10,0.052055653,0.38850427,0.9016455
4,11,0.11304853,1.3602271,2.2521489
5,0,0.34369862,1.5332532,2.6271746
5,1,0.7384291,1.8706509,2.5364077
5,2,0.07716701,0.75126344,1.1230061
5,3,0.07823269,0.44464707,1.094722
5,4,0.11105611,0.47343147,0.99099594
5,5,0.6585695,2.2180974,3.1317532
5,6,0.09825078,0.59380096,1.3753743
5,7,0.09144065,0.97820747,1.3732743
5,8,0.30446804,1.2223023,2.3136635
5,9,0.23341995,0.8170242,3.2981026
5,10,0.06919761,0.76752394,1.3112353
5,11,0.23670775,1.1050918,1.8470496
6,0,0.104707435,0.91256934,1.1774818
6,1,0.35236672,0.72782195,1.0771186
6,2,0.21321483,0.60323715,1.4034698
6,3,0.037782874,0.14575571,0.5542502
6,4,0.18855433,0.4585484,0.9359613
6,5,0.16774088,0.691381,1.2131363
6,6,0.121920995,0.5538125,1.2397524
6,7,0.10686864,0.40014827,0.8361216
6,8,0.10228517,0.7541428,1.3338662
6,9,0.92345804,1.7786262,2.1874316
6,10,0.021894054,0.09550038,0.7965525
6,11,0.12584895,1.049505,1.2493862
7,0,0.09828313,0.69728297,1.2052584
7,1,0.016526924,0.07800588,0.69917136
7,2,0.25776926,0.24957605,0.8468389
7,3,0.08916209,0.43786746,1.1366789
