group,ratio,k,k_actual,prompt_id,delta_gt_score_signed
C_imp_asc,0.01,2,2,0,-1.3745378055318724e-05
C_imp_asc,0.01,2,2,1,4.746586455439683e-06
C_imp_asc,0.01,2,2,2,-0.0011613816750468686
C_imp_asc,0.01,2,2,3,1.0214432222710457e-05
C_imp_asc,0.01,2,2,4,-2.0026345737278461e-07
C_imp_asc,0.01,2,2,5,2.656399919942487e-05
C_imp_asc,0.01,2,2,6,-1.3745378055318724e-05
C_imp_asc,0.01,2,2,7,8.969930604507681e-06
C_imp_asc,0.01,2,2,8,-0.007377797775461659
C_imp_asc,0.01,2,2,9,-1.286441238335101e-05
C_imp_asc,0.01,2,2,10,1.2148064342909493e-05
C_imp_asc,0.01,2,2,11,1.738885748636676e-05
C_imp_asc,0.01,2,2,12,-0.00785075093335763
C_imp_asc,0.01,2,2,13,1.0158244549529627e-05
C_imp_asc,0.01,2,2,14,1.1721941518771928e-05
C_imp_asc,0.01,2,2,15,8.824592441669665e-06
C_imp_asc,0.01,2,2,16,9.134110769082326e-06
C_imp_asc,0.01,2,2,17,-0.03201572605939873
C_imp_asc,0.01,2,2,18,-7.357984941336326e-07
C_imp_asc,0.01,2,2,19,3.4646745916688815e-07
C_imp_asc,0.01,2,2,20,1.66566360348952e-05
C_imp_asc,0.01,2,2,21,8.024561793718021e-06
C_imp_asc,0.01,2,2,22,1.4021889910509344e-05
C_imp_asc,0.01,2,2,23,5.166169103176799e-06
C_imp_asc,0.01,2,2,24,6.201989890541881e-07
C_imp_asc,0.01,2,2,25,1.5044597603264265e-06
C_imp_asc,0.01,2,2,26,1.4774017472518608e-05
C_imp_asc,0.01,2,2,27,1.3805474736727774e-05
C_imp_asc,0.01,2,2,28,-1.2674767276621424e-05
C_imp_asc,0.01,2,2,29,-0.008233995489717927
C_imp_asc,0.01,2,2,30,1.6032668099796865e-05
C_imp_asc,0.01,2,2,31,1.733909721224336e-05
C_imp_asc,0.01,2,2,32,1.1648150575638283e-05
C_imp_asc,0.01,2,2,33,8.612521014583763e-06
C_imp_asc,0.01,2,2,34,1.284118934563594e-05
C_imp_asc,0.01,2,2,35,-0.009653785044690721
C_imp_asc,0.01,2,2,36,6.138288881629705e-07
C_imp_asc,0.01,2,2,37,5.4908969104872085e-06
C_imp_asc,0.01,2,2,38,-0.016185760340249544
C_imp_asc,0.01,2,2,39,0.0006010032520862296
C_imp_asc,0.01,2,2,40,1.897671518236166e-05
C_imp_asc,0.01,2,2,41,2.6873940441873856e-06
C_imp_asc,0.01,2,2,42,9.81318316917168e-06
C_imp_asc,0.01,2,2,43,7.0741953095421195e-06
C_imp_asc,0.01,2,2,44,-0.006719314682413824
C_imp_asc,0.01,2,2,45,1.3456257875077426e-05
C_imp_asc,0.01,2,2,46,-3.969178578699939e-06
C_imp_asc,0.01,2,2,47,-0.004687522090080165
C_imp_asc,0.01,2,2,48,6.5067615651059896e-06
C_imp_asc,0.01,2,2,49,1.9283937945147045e-05
C_imp_asc,0.01,2,2,50,1.0752489288279321e-05
C_imp_asc,0.01,2,2,51,6.465256774390582e-06
C_imp_asc,0.01,2,2,52,-0.009464953390306619
C_imp_asc,0.01,2,2,53,8.024561793718021e-06
C_imp_asc,0.01,2,2,54,2.6563647224975284e-05
C_imp_asc,0.01,2,2,55,1.7344518710160628e-05
C_imp_asc,0.01,2,2,56,8.106356290227268e-06
C_imp_asc,0.01,2,2,57,-0.010136290036825812
C_imp_asc,0.01,2,2,58,1.3508315532817505e-06
C_imp_asc,0.01,2,2,59,2.9327757147257216e-06
C_imp_asc,0.01,2,2,60,-0.009739121119764604
C_imp_asc,0.01,2,2,61,-0.01811479258816462
C_imp_asc,0.01,2,2,62,6.275457053561695e-06
C_imp_asc,0.01,2,2,63,2.2633887965639587e-05
C_imp_asc,0.01,2,2,64,6.275457053561695e-06
C_imp_asc,0.01,2,2,65,-6.625718015129678e-06
C_imp_asc,0.01,2,2,66,1.5140742107178085e-05
C_imp_asc,0.01,2,2,67,4.8326146497856826e-06
C_imp_asc,0.01,2,2,68,4.833009370486252e-06
C_imp_asc,0.01,2,2,69,1.1814219760708511e-05
C_imp_asc,0.01,2,2,70,2.736914211709518e-06
C_imp_asc,0.01,2,2,71,1.0961719453916885e-05
C_imp_asc,0.01,2,2,72,-0.03379270919140254
C_imp_asc,0.01,2,2,73,8.36463277664734e-06
C_imp_asc,0.01,2,2,74,1.2257926755410153e-05
C_imp_asc,0.01,2,2,75,-9.364439392811619e-07
C_imp_asc,0.01,2,2,76,2.6874549803324044e-06
C_imp_asc,0.01,2,2,77,7.781333806633484e-06
C_imp_asc,0.01,2,2,78,-0.0015756241336930543
C_imp_asc,0.01,2,2,79,8.612521014583763e-06
C_imp_asc,0.01,2,2,80,6.321024557109922e-07
C_imp_asc,0.01,2,2,81,8.732770766073372e-06
C_imp_asc,0.01,2,2,82,2.575387043179944e-06
C_imp_asc,0.01,2,2,83,2.9327757147257216e-06
C_imp_asc,0.01,2,2,84,1.0910492164839525e-05
C_imp_asc,0.01,2,2,85,-0.005566837826336268
C_imp_asc,0.01,2,2,86,-0.004687445798708723
C_imp_asc,0.01,2,2,87,-3.503988409647718e-06
C_imp_asc,0.01,2,2,88,-4.593406629282981e-06
C_imp_asc,0.01,2,2,89,4.05403261538595e-06
C_imp_asc,0.01,2,2,90,-0.008970511327333952
C_imp_asc,0.01,2,2,91,1.680259629210923e-05
C_imp_asc,0.01,2,2,92,0.00021134577400516719
C_imp_asc,0.01,2,2,93,7.781333806633484e-06
C_imp_asc,0.01,2,2,94,8.715991498320363e-06
C_imp_asc,0.01,2,2,95,1.2148064342909493e-05
C_imp_asc,0.01,2,2,96,1.3456257875077426e-05
C_imp_asc,0.01,2,2,97,9.82187339104712e-06
C_imp_asc,0.01,2,2,98,7.041193384793587e-06
C_imp_asc,0.01,2,2,99,5.505146873474587e-06
C_imp_asc,0.01,2,2,100,-0.016985549678793177
C_imp_asc,0.01,2,2,101,-1.0353523975936696e-05
C_imp_asc,0.01,2,2,102,1.897823858598713e-05
C_imp_asc,0.01,2,2,103,-0.017865393331135238
