layer,head,imp_patching_loss
0,0,5.9841275215299916e-05
0,1,0.18430000782012956
0,2,-0.00016139447689056396
0,3,-0.0010108256340026767
0,4,-0.006603093147277805
0,5,0.23071494817733762
0,6,-0.0012310284376144676
0,7,-0.0015445089340209162
0,8,0.0003024661540986795
0,9,0.0032532423734665805
0,10,-0.012163172960281354
0,11,-1.0473132133315133e-05
1,0,0.014521558880806085
1,1,0.0015817743539809914
1,2,0.0017006921768190075
1,3,0.005927113294601494
1,4,0.007822957038879474
1,5,0.0017148864269256325
1,6,0.0005989807844162254
1,7,-0.0017615753412245638
1,8,-0.0019549196958541515
1,9,-0.0013093513250350686
1,10,-0.00015213906764977025
1,11,0.007414873242378217
2,0,-0.0003274405002593461
2,1,-0.0012227779626845514
2,2,0.0049981015920639305
2,3,0.004776930809021085
2,4,0.0023942881822587303
2,5,0.0020161265134812645
2,6,0.009282235503196734
2,7,-0.010240077376365564
2,8,0.005483946204185575
2,9,0.011689666509628438
2,10,0.0005196899175645697
2,11,0.008266046643257141
3,0,0.017080055475235056
3,1,0.009640338420868089
3,2,0.0022756028175354714
3,3,0.01137693643569948
3,4,0.007963615059852769
3,5,0.0034736168384552624
3,6,0.0006858396530151634
3,7,0.007394469976425233
3,8,0.000605175495147714
3,9,5.678355693827797e-05
3,10,-0.015372462272643883
3,11,0.00733833611011514
4,0,0.001595904827117911
4,1,-0.002531687021255502
4,2,-0.003177983760833669
4,3,0.005782380700111389
4,4,0.0002822852134705123
4,5,-0.0006446617841719959
4,6,0.007501912713050896
4,7,-0.012792704701423574
4,8,-0.01588161170482638
4,9,0.001679314374923857
4,10,-0.0009172064065932073
4,11,0.06467044651508336
5,0,0.0007964891195297863
5,1,1.0050602382421496
5,2,0.003798957467079145
5,3,0.0014519536495209984
5,4,0.0019246828556060969
5,5,0.02716404378414161
5,6,0.003354040384292656
5,7,0.0002959293127060558
5,8,-0.015610172152519253
5,9,0.07929502308368686
5,10,-0.003046577572822562
5,11,0.005392003655433797
6,0,-0.004680917859077427
6,1,0.00447651088237766
6,2,0.06483424246311187
6,3,0.008855928778648492
6,4,0.02429324448108683
6,5,-0.004748700261115957
6,6,-0.08512325763702377
6,7,0.10053961277008061
6,8,0.024705946445465088
6,9,0.10915070533752447
6,10,-0.0012032717466352594
6,11,-0.011270604729652245
7,0,0.03708305776119247
7,1,0.018750938177108933
7,2,0.09441027522087109
7,3,-0.07839903056621544
7,4,-0.00022819697856890642
7,5,0.0017954874038697
7,6,0.21693625688552864
7,7,0.01411003053188331
7,8,0.014838895797729679
7,9,0.011548647880554208
7,10,-0.022039537429809464
7,11,0.06107334852218638
8,0,-0.03518513858318317
8,1,0.05346407413482668
8,2,0.050472696423530694
8,3,0.01536695659160614
8,4,0.0018037742376328936
8,5,0.16112511098384874
8,6,0.03907624959945677
8,7,0.008065885305404752
8,8,0.005632604956626874
8,9,-0.05917380809783923
8,10,-0.001023755073547239
8,11,0.007545465230941906
9,0,0.012799942493438854
9,1,0.04136336207389846
9,2,0.0045836788415909435
9,3,0.07945261418819438
9,4,0.006060304045677256
9,5,0.0006685405969619751
9,6,0.0017526710033417547
9,7,-0.002799181342124868
9,8,0.0029883307218552257
9,9,0.018652548193931695
9,10,0.0010149323940278343
9,11,0.03510937035083783
10,0,0.046990035772323635
10,1,0.08556783676147472
10,2,0.014109323024749765
10,3,0.033252637386322004
10,4,0.013885453939437964
10,5,0.010854259133338928
10,6,0.0702532833814622
10,7,-0.17488002359867083
10,8,0.01136307537555692
10,9,0.01579284906387346
10,10,0.02768487095832839
10,11,0.040264909863471976
11,0,0.024221810102462937
11,1,0.015596833229065021
11,2,0.008281220793724176
11,3,0.007630457282066461
11,4,0.0007523822784425427
11,5,0.03285233080387129
11,6,0.029103752374649128
11,7,0.01891782641410833
11,8,0.031559719443321255
11,9,0.07067756533622749
11,10,-0.10222978949546802
11,11,0.013630479574203491
