group,ratio,k,k_actual,prompt_id,delta_loss_signed
C_imp_asc,0.01,2,2,0,-1.4654772909064029
C_imp_asc,0.01,2,2,1,-1.066882685611123
C_imp_asc,0.01,2,2,2,-1.0055327666433236
C_imp_asc,0.01,2,2,3,-1.0017095365022364
C_imp_asc,0.01,2,2,4,-1.1328548130236165
C_imp_asc,0.01,2,2,5,-1.426463980423776
C_imp_asc,0.01,2,2,6,-0.5749928323846127
C_imp_asc,0.01,2,2,7,-1.3679470764963249
C_imp_asc,0.01,2,2,8,-0.7813378133271858
C_imp_asc,0.01,2,2,9,-1.555761989794279
C_imp_asc,0.01,2,2,10,-0.44580650329589844
C_imp_asc,0.01,2,2,11,-1.06732097424959
C_imp_asc,0.01,2,2,12,-1.9139135762264843
C_imp_asc,0.01,2,2,13,-0.7675389239662582
C_imp_asc,0.01,2,2,14,-1.4533973995007976
C_imp_asc,0.01,2,2,15,-1.6624846207468131
C_imp_asc,0.01,2,2,16,-0.4847720296759359
C_imp_asc,0.01,2,2,17,-1.0062478216070883
C_imp_asc,0.01,2,2,18,-1.8452692031860352
C_imp_asc,0.01,2,2,19,-2.0605196199919042
C_imp_asc,0.01,2,2,20,-1.3778824555246452
C_imp_asc,0.01,2,2,21,-1.3666974619815235
C_imp_asc,0.01,2,2,22,-1.6839708278053713
C_imp_asc,0.01,2,2,23,-1.016929224917762
C_imp_asc,0.01,2,2,24,-1.4215259050068099
C_imp_asc,0.01,2,2,25,-0.9923054042615398
C_imp_asc,0.01,2,2,26,-0.9626895753960873
C_imp_asc,0.01,2,2,27,-0.7036076595908725
C_imp_asc,0.01,2,2,28,-1.606338751943488
C_imp_asc,0.01,2,2,29,-1.4389717202437566
C_imp_asc,0.01,2,2,30,-0.7933492660522461
C_imp_asc,0.01,2,2,31,-1.2929635298879525
C_imp_asc,0.01,2,2,32,-1.5299751382125066
C_imp_asc,0.01,2,2,33,-1.1398737556055991
C_imp_asc,0.01,2,2,34,-1.0906156740690527
C_imp_asc,0.01,2,2,35,-0.535781408611097
C_imp_asc,0.01,2,2,36,-0.8058429015310189
C_imp_asc,0.01,2,2,37,-1.0609928432263835
C_imp_asc,0.01,2,2,38,-0.7738811091372853
C_imp_asc,0.01,2,2,39,-0.6079486043829689
C_imp_asc,0.01,2,2,40,-0.659373735126696
C_imp_asc,0.01,2,2,41,-0.8510351682964128
C_imp_asc,0.01,2,2,42,-0.7786256388614063
C_imp_asc,0.01,2,2,43,-1.6483619589554621
C_imp_asc,0.01,2,2,44,-1.6716019479851987
C_imp_asc,0.01,2,2,45,-1.53735271253084
C_imp_asc,0.01,2,2,46,-1.5067349986026173
C_imp_asc,0.01,2,2,47,-1.1014263253462957
C_imp_asc,0.01,2,2,48,-1.4767603121305797
C_imp_asc,0.01,2,2,49,-1.256704631604645
C_imp_asc,0.01,2,2,50,-1.3559274171528077
C_imp_asc,0.01,2,2,51,-2.1735715866088867
C_imp_asc,0.01,2,2,52,-1.6232883051822053
C_imp_asc,0.01,2,2,53,-1.5252139944779248
C_imp_asc,0.01,2,2,54,-1.7843741366737795
C_imp_asc,0.01,2,2,55,-0.7174802579377815
C_imp_asc,0.01,2,2,56,-1.266953066775672
C_imp_asc,0.01,2,2,57,-0.522205854717054
C_imp_asc,0.01,2,2,58,-0.525143874318978
C_imp_asc,0.01,2,2,59,-1.4467212275454848
C_imp_asc,0.01,2,2,60,-1.3854654964647786
C_imp_asc,0.01,2,2,61,-0.777820285997894
C_imp_asc,0.01,2,2,62,-1.3172084908736377
C_imp_asc,0.01,2,2,63,-0.5414710797761622
C_imp_asc,0.01,2,2,64,-0.9885884335166537
C_imp_asc,0.01,2,2,65,-1.1319911856400324
C_imp_asc,0.01,2,2,66,-0.843579392684136
C_imp_asc,0.01,2,2,67,-1.1941430443211587
C_imp_asc,0.01,2,2,68,-0.9713916276630616
C_imp_asc,0.01,2,2,69,-0.6809477555124364
C_imp_asc,0.01,2,2,70,-1.8183538035342561
C_imp_asc,0.01,2,2,71,-1.3561850597983902
C_imp_asc,0.01,2,2,72,-1.4522031482897315
C_imp_asc,0.01,2,2,73,-0.7706740529913638
C_imp_asc,0.01,2,2,74,-0.9708514966462811
C_imp_asc,0.01,2,2,75,-0.7263509348819142
C_imp_asc,0.01,2,2,76,-0.8236748544793357
C_imp_asc,0.01,2,2,77,-1.5159383071096322
C_imp_asc,0.01,2,2,78,-0.9234481108816031
C_imp_asc,0.01,2,2,79,-1.0785439139918296
C_imp_asc,0.01,2,2,80,-1.4824919449655631
C_imp_asc,0.01,2,2,81,-1.2256879806518555
C_imp_asc,0.01,2,2,82,-1.579776512949092
C_imp_asc,0.01,2,2,83,-1.1938026829769726
C_imp_asc,0.01,2,2,84,-1.106939867923133
C_imp_asc,0.01,2,2,85,-0.8568586048326985
C_imp_asc,0.01,2,2,86,-1.6312551498413086
C_imp_asc,0.01,2,2,87,-1.741692241869476
C_imp_asc,0.01,2,2,88,-1.618109201130114
C_imp_asc,0.01,2,2,89,-1.1156914861578677
C_imp_asc,0.01,2,2,90,-1.2283481296740106
C_imp_asc,0.01,2,2,91,-1.4202565644916731
C_imp_asc,0.01,2,2,92,-1.3547061619005696
C_imp_asc,0.01,2,2,93,-1.3709280867325653
C_imp_asc,0.01,2,2,94,-0.08969808879651708
C_imp_asc,0.01,2,2,95,-1.7496677197908106
C_imp_asc,0.01,2,2,96,-0.6956864909121876
C_imp_asc,0.01,2,2,97,-1.0514511811105827
C_imp_asc,0.01,2,2,98,-1.1110070881090675
C_imp_asc,0.01,2,2,99,-1.2354716752704817
C_imp_asc,0.01,2,2,100,-1.129887078937731
C_imp_asc,0.01,2,2,101,-1.1178499021028223
C_imp_asc,0.01,2,2,102,-1.4584541320800781
C_imp_asc,0.01,2,2,103,-1.1833477522197509
C_imp_asc,0.01,2,2,104,-1.3643486876236786
C_imp_asc,0.01,2,2,105,-0.9812778673673925
C_imp_asc,0.01,2,2,106,-0.655343808625874
C_imp_asc,0.01,2,2,107,-0.9548704749659471
C_imp_asc,0.01,2,2,108,-1.3452330137553972
C_imp_asc,0.01,2,2,109,-0.9747678355166798
C_imp_asc,0.01,2,2,110,-1.3605820003308757
C_imp_asc,0.01,2,2,111,-1.230011387875205
C_imp_asc,0.01,2,2,112,-0.7429503390663541
C_imp_asc,0.01,2,2,113,-1.6856813430786133
C_imp_asc,0.01,2,2,114,-0.8449957496241502
C_imp_asc,0.01,2,2,115,-0.7441575903641535
C_imp_asc,0.01,2,2,116,-0.6447706975434961
C_imp_asc,0.01,2,2,117,-0.812855770713405
C_imp_asc,0.01,2,2,118,-1.371194237156919
C_imp_asc,0.01,2,2,119,-0.9723891208046354
C_imp_asc,0.01,2,2,120,-1.4437455629047626
C_imp_asc,0.01,2,2,121,-1.6129187533729965
C_imp_asc,0.01,2,2,122,-1.1221537339059928
C_imp_asc,0.01,2,2,123,-0.930828395642731
C_imp_asc,0.01,2,2,124,-1.1571348089920832
C_imp_asc,0.01,2,2,125,-1.4629919152510773
C_imp_asc,0.01,2,2,126,-0.5824350055895344
C_imp_asc,0.01,2,2,127,-1.5648457878514321
C_imp_asc,0.01,2,2,128,-1.7359715511924314
C_imp_asc,0.01,2,2,129,-1.379570697483265
C_imp_asc,0.01,2,2,130,-1.0190109453703222
C_imp_asc,0.01,2,2,131,-1.581811955100612
C_imp_asc,0.01,2,2,132,-1.6432170867919922
C_imp_asc,0.01,2,2,133,-1.10693143543444
C_imp_asc,0.01,2,2,134,-1.1958691446404721
C_imp_asc,0.01,2,2,135,-0.8236144216437076
C_imp_asc,0.01,2,2,136,-1.1485716418216096
C_imp_asc,0.01,2,2,137,-1.2011218823884633
C_imp_asc,0.01,2,2,138,-1.5798360924971746
C_imp_asc,0.01,2,2,139,-1.4471577343187825
C_imp_asc,0.01,2,2,140,-0.9515153985274445
C_imp_asc,0.01,2,2,141,-0.40134470086348806
C_imp_asc,0.01,2,2,142,-1.011512906927809
C_imp_asc,0.01,2,2,143,-0.910786176982679
C_imp_asc,0.01,2,2,144,-0.4169838052046906
C_imp_asc,0.01,2,2,145,-1.185007597270765
C_imp_asc,0.01,2,2,146,-1.105834258230109
C_imp_asc,0.01,2,2,147,-1.3540617290296062
C_imp_asc,0.01,2,2,148,-1.7005792918958171
C_imp_asc,0.01,2,2,149,-1.5963879133525651
C_imp_asc,0.01,2,2,150,-0.8837509155273438
C_imp_asc,0.01,2,2,151,-1.0846704683805761
C_imp_asc,0.01,2,2,152,-0.9506738562332941
C_imp_asc,0.01,2,2,153,-1.7354263004503778
C_imp_asc,0.01,2,2,154,-0.9492248735929785
C_imp_asc,0.01,2,2,155,-1.777866514105547
C_imp_asc,0.01,2,2,156,-1.6256133129722201
C_imp_asc,0.01,2,2,157,-1.2163686752319336
C_imp_asc,0.01,2,2,158,-1.2769234807867775
C_imp_asc,0.01,2,2,159,-1.4459972883525616
C_imp_asc,0.01,2,2,160,-1.3237897973311572
C_imp_asc,0.01,2,2,161,-1.5886033459713573
C_imp_asc,0.01,2,2,162,-1.5236152347765497
C_imp_asc,0.01,2,2,163,-1.1798304507606918
C_imp_asc,0.01,2,2,164,-0.9162050046418848
C_imp_asc,0.01,2,2,165,-1.2210541775352084
C_imp_asc,0.01,2,2,166,-1.338732970388314
C_imp_asc,0.01,2,2,167,-1.0005286367315982
C_imp_asc,0.01,2,2,168,-0.5539576379876401
C_imp_asc,0.01,2,2,169,-1.1203354785316861
C_imp_asc,0.01,2,2,170,-1.2209161206295605
C_imp_asc,0.01,2,2,171,-1.7358620292262046
C_imp_asc,0.01,2,2,172,-1.075761242916709
C_imp_asc,0.01,2,2,173,-1.3449412898013478
C_imp_asc,0.01,2,2,174,-1.4671929259049286
C_imp_asc,0.01,2,2,175,-0.9466982389751237
C_imp_asc,0.01,2,2,176,-1.512371765939811
C_imp_asc,0.01,2,2,177,-0.5329138605218198
C_imp_asc,0.01,2,2,178,-1.0194728123514274
C_imp_asc,0.01,2,2,179,-1.1178100485550715
C_imp_asc,0.01,2,2,180,-1.1945353558188998
C_imp_asc,0.01,2,2,181,-1.1614363318995427
C_imp_asc,0.01,2,2,182,-0.6487087952463249
C_imp_asc,0.01,2,2,183,-0.9750572003816309
C_imp_asc,0.01,2,2,184,-1.3838451285111262
C_imp_asc,0.01,2,2,185,-0.951927385832132
C_imp_asc,0.01,2,2,186,-1.3024284463179754
C_imp_asc,0.01,2,2,187,-1.2687208777979802
C_imp_asc,0.01,2,2,188,-1.1324990423102115
C_imp_asc,0.01,2,2,189,-0.8151490562840529
C_imp_asc,0.01,2,2,190,-1.1099114167062858
C_imp_asc,0.01,2,2,191,-0.8064333639646826
C_imp_asc,0.01,2,2,192,-2.054412841796875
C_imp_asc,0.01,2,2,193,-1.2530733660647737
C_imp_asc,0.01,2,2,194,-1.7685980545847038
C_imp_asc,0.01,2,2,195,-1.4850647073043035
C_imp_asc,0.01,2,2,196,-0.8712312798751043
C_imp_asc,0.01,2,2,197,-0.940292810138903
C_imp_asc,0.01,2,2,198,-0.9654483795166016
C_imp_asc,0.01,2,2,199,-1.329166763707212
C_imp_asc,0.03,5,5,0,-1.8596817819695701
C_imp_asc,0.03,5,5,1,-1.532620279412523
C_imp_asc,0.03,5,5,2,-1.5806627775493425
C_imp_asc,0.03,5,5,3,-1.1621642865632715
C_imp_asc,0.03,5,5,4,-1.4908928620187858
C_imp_asc,0.03,5,5,5,-1.916234417965537
C_imp_asc,0.03,5,5,6,-1.041519215232448
C_imp_asc,0.03,5,5,7,-1.217154854222347
C_imp_asc,0.03,5,5,8,-0.926242100565057
C_imp_asc,0.03,5,5,9,-1.836350742139313
C_imp_asc,0.03,5,5,10,-0.723400015580026
C_imp_asc,0.03,5,5,11,-1.4338848214400457
C_imp_asc,0.03,5,5,12,-1.9062440269871743
C_imp_asc,0.03,5,5,13,-0.8985529447856706
C_imp_asc,0.03,5,5,14,-2.1365662123027604
C_imp_asc,0.03,5,5,15,-2.04408369566265
C_imp_asc,0.03,5,5,16,-0.7875268082869677
C_imp_asc,0.03,5,5,17,-0.8217901430631915
C_imp_asc,0.03,5,5,18,-2.204745393050345
C_imp_asc,0.03,5,5,19,-2.1892109921104
C_imp_asc,0.03,5,5,20,-1.2111314974333105
C_imp_asc,0.03,5,5,21,-1.5340796520835482
C_imp_asc,0.03,5,5,22,-2.6966583854273765
C_imp_asc,0.03,5,5,23,-1.203022103560599
C_imp_asc,0.03,5,5,24,-1.622744710821852
C_imp_asc,0.03,5,5,25,-1.3731495706658627
C_imp_asc,0.03,5,5,26,-1.2671130581905956
C_imp_asc,0.03,5,5,27,-1.0080512699327961
C_imp_asc,0.03,5,5,28,-2.2411150681345067
C_imp_asc,0.03,5,5,29,-1.7247221595362632
C_imp_asc,0.03,5,5,30,-1.1314059809634536
C_imp_asc,0.03,5,5,31,-2.1145861274317674
C_imp_asc,0.03,5,5,32,-1.909556840595446
C_imp_asc,0.03,5,5,33,-1.2968454360961914
