layer,head,subclass
9,9,Name_Mover
10,0,Name_Mover
9,6,Name_Mover
10,7,Negative_Name_Mover
11,10,Negative_Name_Mover
7,3,S_Inhibition
7,9,S_Inhibition
8,6,S_Inhibition
8,10,S_Inhibition
5,5,Induction
5,8,Induction
5,9,Induction
6,9,Induction
0,1,Duplicate_Token
0,10,Duplicate_Token
3,0,Duplicate_Token
2,2,Previous_Token
4,11,Previous_Token
9,0,Backup_Name_Mover
9,7,Backup_Name_Mover
10,1,Backup_Name_Mover
10,2,Backup_Name_Mover
10,6,Backup_Name_Mover
10,10,Backup_Name_Mover
11,2,Backup_Name_Mover
11,9,Backup_Name_Mover
