layer,head,imp_signed_ld,imp_abs_ld
0,0,0.005793094635009766,0.005793094635009766
0,1,-0.22273659706115723,0.22273659706115723
0,2,-0.0019011497497558594,0.0019011497497558594
0,3,-0.07674479484558105,0.07674479484558105
0,4,-0.016943693161010742,0.016943693161010742
0,5,-0.11651754379272461,0.11651754379272461
0,6,0.006094455718994141,0.006094455718994141
0,7,-0.011157512664794922,0.011157512664794922
0,8,0.01913166046142578,0.01913166046142578
0,9,0.0022590160369873047,0.0022590160369873047
0,10,0.07829737663269043,0.07829737663269043
0,11,0.0065004825592041016,0.0065004825592041016
1,0,0.006937503814697266,0.006937503814697266
1,1,-0.00609135627746582,0.00609135627746582
1,2,-5.4836273193359375e-05,5.4836273193359375e-05
1,3,0.0013794898986816406,0.0013794898986816406
1,4,-0.0029532909393310547,0.0029532909393310547
1,5,-0.004502773284912109,0.004502773284912109
1,6,-0.01040196418762207,0.01040196418762207
1,7,-0.01731109619140625,0.01731109619140625
1,8,0.009928226470947266,0.009928226470947266
1,9,0.0020453929901123047,0.0020453929901123047
1,10,-0.0007810592651367188,0.0007810592651367188
1,11,-0.012647151947021484,0.012647151947021484
2,0,0.004920005798339844,0.004920005798339844
2,1,-0.019381999969482422,0.019381999969482422
2,2,0.10468029975891113,0.10468029975891113
2,3,0.0015156269073486328,0.0015156269073486328
2,4,-0.017457008361816406,0.017457008361816406
2,5,0.00926828384399414,0.00926828384399414
2,6,-0.004545450210571289,0.004545450210571289
2,7,0.004023313522338867,0.004023313522338867
2,8,0.008465290069580078,0.008465290069580078
2,9,0.02720165252685547,0.02720165252685547
2,10,-0.00640106201171875,0.00640106201171875
2,11,0.0008339881896972656,0.0008339881896972656
3,0,0.0011775493621826172,0.0011775493621826172
3,1,-0.00938725471496582,0.00938725471496582
3,2,-0.005042552947998047,0.005042552947998047
3,3,0.03432512283325195,0.03432512283325195
3,4,0.051676034927368164,0.051676034927368164
3,5,-0.0373234748840332,0.0373234748840332
3,6,0.12891316413879395,0.12891316413879395
3,7,0.04611468315124512,0.04611468315124512
3,8,-0.005086421966552734,0.005086421966552734
3,9,-0.003992795944213867,0.003992795944213867
3,10,0.056075334548950195,0.056075334548950195
3,11,0.0016376972198486328,0.0016376972198486328
4,0,-0.0008084774017333984,0.0008084774017333984
4,1,-0.0024802684783935547,0.0024802684783935547
4,2,-0.004509449005126953,0.004509449005126953
4,3,0.26766204833984375,0.26766204833984375
4,4,-0.052013397216796875,0.052013397216796875
4,5,0.012059450149536133,0.012059450149536133
4,6,-0.009137868881225586,0.009137868881225586
4,7,-0.022522449493408203,0.022522449493408203
4,8,0.006921529769897461,0.006921529769897461
4,9,-0.002329587936401367,0.002329587936401367
4,10,-0.004913806915283203,0.004913806915283203
4,11,0.8286421298980713,0.8286421298980713
5,0,-0.00362396240234375,0.00362396240234375
5,1,0.00014972686767578125,0.00014972686767578125
5,2,0.015057086944580078,0.015057086944580078
5,3,0.0010085105895996094,0.0010085105895996094
5,4,0.008054971694946289,0.008054971694946289
5,5,0.007306337356567383,0.007306337356567383
5,6,0.04665732383728027,0.04665732383728027
5,7,-0.00257110595703125,0.00257110595703125
5,8,0.001463174819946289,0.001463174819946289
5,9,0.14864349365234375,0.14864349365234375
5,10,-0.011234521865844727,0.011234521865844727
5,11,0.014601707458496094,0.014601707458496094
6,0,0.14516139030456543,0.14516139030456543
6,1,0.07328605651855469,0.07328605651855469
6,2,0.029082536697387695,0.029082536697387695
6,3,0.005467414855957031,0.005467414855957031
6,4,-0.006411314010620117,0.006411314010620117
6,5,-0.009328365325927734,0.009328365325927734
6,6,-0.0005714893341064453,0.0005714893341064453
6,7,0.008060455322265625,0.008060455322265625
6,8,0.007752895355224609,0.007752895355224609
6,9,8.225440979003906e-05,8.225440979003906e-05
6,10,0.0004372596740722656,0.0004372596740722656
6,11,0.009090185165405273,0.009090185165405273
7,0,0.002163410186767578,0.002163410186767578
7,1,0.001678466796875,0.001678466796875
7,2,0.002638101577758789,0.002638101577758789
7,3,0.4386286735534668,0.4386286735534668
7,4,0.0030596256256103516,0.0030596256256103516
7,5,-0.03548741340637207,0.03548741340637207
7,6,-0.008852005004882812,0.008852005004882812
7,7,-0.01132059097290039,0.01132059097290039
7,8,0.0021669864654541016,0.0021669864654541016
7,9,0.7285346984863281,0.7285346984863281
7,10,0.0034127235412597656,0.0034127235412597656
7,11,0.005335330963134766,0.005335330963134766
8,0,0.00041794776916503906,0.00041794776916503906
8,1,-0.0008718967437744141,0.0008718967437744141
8,2,-0.02704453468322754,0.02704453468322754
8,3,0.4517512321472168,0.4517512321472168
8,4,-0.0013496875762939453,0.0013496875762939453
8,5,0.06341886520385742,0.06341886520385742
8,6,0.06380629539489746,0.06380629539489746
8,7,0.009580850601196289,0.009580850601196289
8,8,-0.00996255874633789,0.00996255874633789
8,9,0.005574941635131836,0.005574941635131836
8,10,1.3311965465545654,1.3311965465545654
8,11,-0.1222379207611084,0.1222379207611084
9,0,0.11483621597290039,0.11483621597290039
9,1,-0.0016646385192871094,0.0016646385192871094
9,2,0.09787750244140625,0.09787750244140625
9,3,0.050924062728881836,0.050924062728881836
9,4,0.15581750869750977,0.15581750869750977
9,5,0.005442380905151367,0.005442380905151367
9,6,0.22612261772155762,0.22612261772155762
9,7,0.3336610794067383,0.3336610794067383
9,8,-0.09186077117919922,0.09186077117919922
9,9,1.5249557495117188,1.5249557495117188
9,10,0.004475831985473633,0.004475831985473633
9,11,-0.013592958450317383,0.013592958450317383
10,0,0.9107797145843506,0.9107797145843506
10,1,0.49359726905822754,0.49359726905822754
10,2,-0.26347899436950684,0.26347899436950684
10,3,0.0647118091583252,0.0647118091583252
10,4,-0.006579875946044922,0.006579875946044922
10,5,0.0021245479583740234,0.0021245479583740234
10,6,0.3712282180786133,0.3712282180786133
10,7,-4.629430532455444,4.629430532455444
10,8,9.226799011230469e-05,9.226799011230469e-05
10,9,0.10164761543273926,0.10164761543273926
10,10,0.3854176998138428,0.3854176998138428
10,11,0.05007290840148926,0.05007290840148926
11,0,0.034285545349121094,0.034285545349121094
11,1,0.22651934623718262,0.22651934623718262
11,2,-0.94179368019104,0.94179368019104
11,3,0.1298961639404297,0.1298961639404297
11,4,-0.0023484230041503906,0.0023484230041503906
11,5,-0.03160691261291504,0.03160691261291504
11,6,-0.33554863929748535,0.33554863929748535
11,7,0.009155511856079102,0.009155511856079102
11,8,0.021489858627319336,0.021489858627319336
11,9,0.028301000595092773,0.028301000595092773
11,10,-2.0530760288238525,2.0530760288238525
11,11,0.14565086364746094,0.14565086364746094
