layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
0,0,0.12925738096237183,0.16918088495731354,0.014768841676414013,7.802972316741943
0,1,0.00022242894920054823,0.00013296096585690975,-4.76837147544984e-09,7.162717819213867
0,2,0.040853772312402725,0.04601981118321419,0.0010794317349791527,7.828842639923096
0,3,0.0032090232707560062,0.00239970488473773,3.4743547985272016e-06,7.107805252075195
0,4,0.024142256006598473,0.028836466372013092,0.00043394207023084164,7.706934928894043
0,5,0.0009519335580989718,0.0006787842721678317,3.194809039541724e-07,7.159252166748047
0,6,0.19110094010829926,0.10223793983459473,0.006005233619362116,7.592540264129639
0,7,0.12597057223320007,0.10336517542600632,0.005245396867394447,7.8690385818481445
0,8,0.010336633771657944,0.006445987615734339,2.1308063878677785e-05,7.787081241607666
0,9,0.07285654544830322,0.036909617483615875,0.0006828397745266557,7.942951679229736
0,10,0.06252054870128632,0.03844889625906944,0.0007066160324029624,7.936649799346924
0,11,0.07579406350851059,0.04093967378139496,0.0009029972716234624,7.782577991485596
1,0,0.14878186583518982,0.08127661049365997,0.003083715448155999,7.868253707885742
1,1,0.1917836219072342,0.07679583132266998,0.0030240952037274837,7.9126505851745605
1,2,0.17991994321346283,0.08736515790224075,0.003916983027011156,7.911289691925049
1,3,0.09754456579685211,0.033974483609199524,0.0005812019226141274,7.926287651062012
1,4,0.21710370481014252,0.08216411620378494,0.0034348666667938232,7.931108474731445
1,5,0.0547061525285244,0.02749643102288246,0.0003733384655788541,7.771397590637207
1,6,0.08175428211688995,0.05363922193646431,0.0015042137820273638,7.715051174163818
1,7,0.14509317278862,0.08262217789888382,0.003639566944912076,7.769374847412109
1,8,0.1399676352739334,0.07890358567237854,0.003172348253428936,7.9046430587768555
1,9,0.1111907884478569,0.0723324567079544,0.0027026014868170023,7.891961574554443
1,10,0.19656705856323242,0.05638379231095314,0.0016243606805801392,7.917779922485352
1,11,0.07773414999246597,0.024553079158067703,0.0003149658441543579,7.7612996101379395
2,0,0.128522589802742,0.047634392976760864,0.0011638242285698652,7.877593994140625
2,1,0.054371148347854614,0.07043574750423431,0.0024982625618577003,7.649964809417725
2,2,0.10629630088806152,0.05483746528625488,0.0014711904805153608,7.739717960357666
2,3,0.2018953561782837,0.09136570245027542,0.004249261692166328,7.860602378845215
2,4,0.11418968439102173,0.0464455746114254,0.0010802829638123512,7.572549343109131
2,5,0.12754657864570618,0.0663178488612175,0.0022320509888231754,7.880046367645264
2,6,0.09429188817739487,0.05698055773973465,0.0016848170198500156,7.865942478179932
2,7,0.30794230103492737,0.2000267058610916,0.020225105807185173,7.945155143737793
2,8,0.1801474541425705,0.04569388926029205,0.0010068219853565097,7.816076755523682
2,9,0.2108253836631775,0.07593068480491638,0.002987798536196351,7.8336687088012695
2,10,0.19950443506240845,0.05176384747028351,0.001377236214466393,7.890389442443848
2,11,0.09481461346149445,0.04217914119362831,0.0008853483013808727,7.921205997467041
3,0,0.010847450233995914,0.007227439898997545,2.969205343106296e-05,7.524016857147217
3,1,0.11713678389787674,0.07195315510034561,0.0026457870844751596,7.862189769744873
3,2,0.22163709998130798,0.11201323568820953,0.006494360510259867,7.832801342010498
3,3,0.07995223253965378,0.057563215494155884,0.001619598246179521,7.135465145111084
3,4,0.02762598544359207,0.01701921410858631,0.00016014814900700003,7.536984920501709
3,5,0.12089336663484573,0.11892540007829666,0.007076191250234842,7.779786586761475
3,6,0.4358210861682892,0.23447458446025848,0.03081628307700157,7.574191093444824
3,7,0.1736842691898346,0.05217953026294708,0.0013348585925996304,7.80625057220459
3,8,0.1377246081829071,0.07856923341751099,0.0035432702861726284,7.270373344421387
3,9,0.23281116783618927,0.09040620923042297,0.0035135711077600718,7.474999904632568
3,10,0.16044683754444122,0.09062553197145462,0.004226216115057468,7.840155124664307
3,11,0.1413666307926178,0.06037359684705734,0.001916956272907555,7.784115791320801
4,0,0.27858662605285645,0.10725410282611847,0.005225785542279482,7.523870468139648
4,1,0.09593267738819122,0.06202542781829834,0.0020063132978975773,7.639054775238037
4,2,0.07341864705085754,0.08975280821323395,0.004132834263145924,7.568838119506836
4,3,0.30578476190567017,0.10494272410869598,0.008066210895776749,7.218547821044922
4,4,0.11206943541765213,0.09609300643205643,0.0043718344531953335,7.3690924644470215
