fact_idx,rel_id,sub_label,obj_label
0,P178,Windows Mobile,Microsoft
1,P413,Carlos Rodon,pitcher
2,P27,Marcos Balter,Brazil
3,P276,1996 Summer Olympics,Atlanta
4,P178,Pilotwings 64,Nintendo
5,P937,Thomas Cranmer,Canterbury
6,P190,Dortmund,Leeds
7,P19,Kalyan Kumar,Bangalore
8,P159,Krauss-Maffei,Munich
9,P361,atmosphere of Earth,Earth
10,P279,Third camp,socialism
11,P136,Jon Larsen,jazz
12,P178,IBM Information Management System,IBM
13,P407,Aftonbladet,Swedish
14,P276,Jay Treaty,London
15,P740,RapidMind,Waterloo
16,P127,Wellington Regional Stadium,Wellington
17,P103,Vlada Roslyakova,Russian
18,P36,Province of New Hampshire,Portsmouth
19,P37,Sonvilier,French
20,P101,Michael Jackson,musician
21,P740,Kasino,Brazil
22,P361,Internet television,Internet
23,P407,Bangkok Post,English
24,P495,Pain,Sweden
25,P159,Cinevistaas Limited,Mumbai
26,P17,Zelenchukskaya,Russia
27,P20,Dorothy Bullitt,Seattle
28,P17,Guggenheim Museum,Spain
29,P36,Alexandria Governorate,Alexandria
30,P131,Sam Rayburn Reservoir,Texas
31,P1376,Honolulu,Hawaii
32,P19,Barney Balaban,Chicago
33,P20,Morteza Momayez,Tehran
34,P1303,Dave Hernandez,guitar
35,P1303,Allen Toussaint,piano
36,P159,Global Humanitarian Forum,Geneva
37,P131,Warszawa Wschodnia Osobowa railway station,Warsaw
38,P138,Lanyon Place railway station,Belfast
39,P131,Hammond Civic Center,Hammond
40,P407,Hullabaloo Soundtrack,English
41,P136,The Flame Knife,fantasy
42,P279,turnbuckle,screw
43,P131,Khyber Pakhtunkhwa,Pakistan
44,P495,Opgezwolle,Netherlands
45,P159,J.M. Meulenhoff,Amsterdam
46,P279,41xx steel,steel
47,P19,Eric Gill,Brighton
48,P27,Facundo Bagnis,Argentina
49,P37,Haiti,French
50,P37,Somaliland,Somali
51,P106,Harlan Carey Brewster,politician
52,P159,STX Europe,Oslo
53,P127,Sky Witness,Sky
54,P413,Matt Szczur,outfielder
55,P39,William Croswell Doane,bishop
56,P159,University of South Florida,Tampa
57,P103,Guy Hocquenghem,French
58,P413,Vince Coleman,outfielder
59,P106,Malcolm MacDonald,politician
60,P449,WCW Monday Nitro,TNT
61,P19,Tinie Tempah,London
62,P17,Galiano Island,Canada
63,P407,Pinterest,Italian
64,P449,Ark II,CBS
65,P178,Google Groups,Google
66,P530,Angola,Australia
67,P407,Zero Motivation,Hebrew
68,P39,Tudwal,bishop
69,P740,Nation of Gods and Earths,Harlem
70,P159,Smurfit-Stone Container,Chicago
71,P495,El Bonaerense,Argentina
72,P190,Madrid,Warsaw
73,P20,Cornelius Vermuyden,London
74,P30,Lebanon,Asia
75,P178,WebKit,Apple
76,P27,Vidar Busk,Norway
77,P37,Delhi,English
78,P1412,Dominic Behan,Irish
79,P27,Robert Persons,England
80,P131,Copenhagen Business School,Copenhagen
81,P361,"Friends, season 5",Friends
82,P1412,Alexandre de Marenches,French
83,P407,Electric Warrior,English
84,P101,Arthur Leonard Schawlow,physicist
85,P1303,Matthew Tuck,guitar
86,P101,The Astronomical Journal,astronomy
87,P106,Jane Leeves,actor
88,P176,Renault R26,Renault
89,P103,Ewa Farna,Polish
90,P131,Watson Island,Miami
91,P190,Cali,Miami
92,P361,administrative territorial entity of Wisconsin,Wisconsin
93,P530,Ukraine,Slovakia
94,P530,Brazil,Mexico
95,P140,Sumayyah bint Khayyat,Islam
96,P276,Second Crusade,Egypt
97,P106,Valentino Bucchi,composer
98,P530,Serbia,Ukraine
99,P30,Zemen Knoll,Antarctica
100,P740,Llwybr Llaethog,Wales
101,P159,International Tea Co. Stores,London
102,P740,Planet Soul,Miami
103,P1412,Franciscus Donders,Dutch
104,P27,Goffredo Petrassi,Italy
105,P19,Ruben Simonov,Moscow
106,P364,The Naked Sun,English
107,P17,Karimnagar district,India
108,P138,Peterborough Cathedral,Andrew
109,P138,Wellington International Airport,Wellington
110,P103,Dmitry Puchkov,Russian
111,P364,The Great Citizen,Russian
112,P39,Alphonsus Liguori Penney,bishop
113,P413,Francisco Liriano,pitcher
114,P361,horticulture,agriculture
115,P27,Daniel Victor,Canada
116,P449,Project Greenlight,HBO
117,P101,Alan Turing,mathematics
118,P530,Brazil,Chile
119,P495,Store norske leksikon,Norway
120,P740,Zeds Dead,Toronto
121,P30,Srebarna Glacier,Antarctica
122,P413,Diniyar Bilyaletdinov,midfielder
123,P530,Serbia,Hungary
124,P140,Yusuf Estes,Islam
125,P190,Milan,Beijing
126,P131,Panteion University,Athens
127,P279,United States H-class submarine,submarine
128,P37,Nuevo Santander,Spanish
129,P361,embryology,biology
130,P103,Louis Jules Trochu,French
131,P159,Jan De Nul,Luxembourg
132,P17,Bispebjerg,Denmark
133,P127,Microsoft account,Microsoft
134,P30,Vestreskorve Glacier,Antarctica
135,P159,Northeastern University,Boston
136,P361,covert feather,bird
137,P27,Celso Amorim,Brazil
138,P190,Athens,Amsterdam
139,P101,Mogens Herman Hansen,classics
140,P106,Jon Jerde,architect
141,P407,PC Magazine,English
