seed,n_facts,cell_A,cell_B,cell_C,cell_D,rho_signed,rho_abs,pert_zero_fraction,C_at_1pct,D_at_1pct,C_at_3pct,D_at_3pct,C_at_5pct,D_at_5pct,std_thresh,cd_thresh,inflation,std_selected,cd_selected,std_target_success,cd_target_success,std_mean_drop,cd_mean_drop
0,100,9049,9383,9383,9049,-0.017,0.7037,0.0006,3.6521899700164795,1.7402814626693726,6.057312965393066,1.7425627708435059,7.079217433929443,2.1258366107940674,0.0037677286309190094,0.0011409637809265405,3.3,1032,4067,1.0,1.0,7.912,11.283
0,200,9088,9344,9344,9088,-0.0152,0.6941,0.0005,3.5841259956359863,2.5922374725341797,6.156026363372803,2.6322035789489746,7.3591132164001465,2.569298028945923,0.003930887789465487,0.001209060283144936,3.25,1023,4047,1.0,1.0,8.071,11.729
0,300,9098,9334,9334,9098,-0.0163,0.6923,0.0005,3.5964066982269287,2.520388603210449,6.061502456665039,2.5423829555511475,7.270039081573486,2.6152853965759277,0.003921209718100727,0.0011860124359373003,3.31,997,4047,1.0,1.0,7.854,11.393
1,100,9053,9379,9379,9053,-0.0173,0.6797,0.0006,3.8778393268585205,2.549314260482788,6.643824100494385,2.836768627166748,7.907105922698975,2.77028226852417,0.004275343031622469,0.0011390224972274154,3.75,929,4292,1.0,1.0,7.889,11.748
1,200,9014,9418,9418,9014,-0.0199,0.6823,0.0005,3.525599956512451,2.5724401473999023,5.938076019287109,2.520620107650757,7.056900501251221,2.7151896953582764,0.003897316346410662,0.0011866666900459677,3.28,971,3907,1.0,1.0,7.67,11.335
1,300,9049,9383,9383,9049,-0.0192,0.6867,0.0005,3.6097047328948975,2.5702600479125977,5.996687412261963,2.462458848953247,7.166586399078369,2.5837483406066895,0.003961228532716632,0.0011758214386645705,3.37,969,4014,1.0,1.0,7.784,11.505
2,100,9107,9325,9325,9107,-0.011,0.6923,0.0006,3.8765623569488525,2.327336311340332,6.499635696411133,2.3012161254882812,7.619170188903809,2.3956756591796875,0.0038351317634806037,0.0011229653318878263,3.42,1063,4196,0.99,1.0,8.021,11.588
2,200,9035,9397,9397,9035,-0.0166,0.6944,0.0006,3.4476776123046875,1.6948505640029907,6.107066631317139,1.6539723873138428,7.158982276916504,2.0120816230773926,0.0037782363360747695,0.0011063925048802048,3.41,1031,4253,0.995,1.0,7.654,11.382
2,300,9042,9390,9390,9042,-0.0169,0.6912,0.0005,3.495805263519287,1.4488762617111206,5.948872089385986,1.4942008256912231,7.128434181213379,1.7039316892623901,0.003765077912248671,0.0011360947682987899,3.31,1026,4127,1.0,1.0,7.681,11.39
3,100,9060,9372,9372,9060,-0.0162,0.6987,0.0005,3.70587420463562,2.544856309890747,6.174077033996582,2.4171152114868164,7.138060092926025,2.5518269538879395,0.0037193630123510957,0.0011552813521120697,3.22,1075,4131,1.0,1.0,8.09,11.49
