layer,head,cell,rsa_max,perturbation_L2,importance_quartile
0,0,D,0.5045095086097717,1.0665059089660645,Q2
0,1,D,0.4369407296180725,1.118487000465393,Q2
0,2,D,0.27286022901535034,0.05366421863436699,Q1
0,3,D,0.48896005749702454,0.14970913529396057,Q2
0,4,D,0.4613109230995178,0.08028421550989151,Q2
0,5,hilp,0.557482898235321,0.4671083688735962,Q3
0,6,D,0.3733620047569275,0.22369767725467682,Q1
0,7,D,0.23129642009735107,0.15132449567317963,Q1
0,8,D,0.11854881793260574,0.4084460139274597,Q1
0,9,C,0.4341747760772705,2.0594089031219482,Q2
0,10,D,0.084828682243824,0.2551954388618469,Q1
0,11,C,0.49924570322036743,2.065359592437744,Q2
0,12,C,0.48658400774002075,2.405661106109619,Q2
0,13,D,0.2098378986120224,0.4388314187526703,Q1
0,14,D,0.41985782980918884,0.16190311312675476,Q1
0,15,D,0.28570497035980225,0.46680885553359985,Q1
1,0,D,0.3097788989543915,0.28534719347953796,Q1
1,1,D,0.09000565111637115,0.1410025656223297,Q1
1,2,D,0.2884700298309326,0.39706188440322876,Q1
1,3,D,0.1735875904560089,0.13983044028282166,Q1
1,4,D,0.48562946915626526,0.7853938341140747,Q2
1,5,D,0.24546286463737488,0.12750425934791565,Q1
1,6,D,0.48754382133483887,1.158747911453247,Q2
1,7,D,0.25270235538482666,0.2539424002170563,Q1
1,8,hilp,0.5286077260971069,0.40570443868637085,Q3
1,9,D,0.28692856431007385,0.1529991179704666,Q1
1,10,D,0.36265334486961365,0.6109619736671448,Q1
1,11,C,0.5050163865089417,2.4638831615448,Q2
1,12,D,0.4928909242153168,0.16245265305042267,Q2
1,13,D,0.2883968949317932,0.07449276745319366,Q1
1,14,D,0.44610458612442017,0.6428311467170715,Q2
1,15,D,0.3761306703090668,0.33456581830978394,Q1
2,0,D,0.08591147512197495,0.04712934046983719,Q1
2,1,D,0.41498684883117676,0.524779200553894,Q1
2,2,D,0.411763072013855,0.3017466366291046,Q1
2,3,D,0.46822845935821533,1.202576994895935,Q2
2,4,D,0.20264005661010742,1.09245765209198,Q1
2,5,D,0.486974835395813,0.44596073031425476,Q2
2,6,D,0.4969695806503296,0.7210392951965332,Q2
