group,ratio,n_trials,n_valid,accuracy_clean,accuracy_patched,accuracy_degradation,flip_rate,target_logit_delta_mean,source_logit_delta_mean
C_imp_asc,0.05,120,120,0.125,0.19166666666666668,-0.06666666666666668,0.31666666666666665,-2.316666666666667,8.934226481119792
C_imp_asc,0.1,120,120,0.125,0.0,0.125,0.9,-4.8546875,12.165476481119791
C_imp_asc,0.2,120,120,0.125,0.0,0.125,0.9166666666666666,-5.007291666666666,12.301934814453125
C_imp_asc,0.3,120,120,0.125,0.0,0.125,0.9166666666666666,-5.007291666666666,12.301934814453125
C_imp_asc,0.5,120,120,0.125,0.0,0.125,0.9166666666666666,-5.007291666666666,12.301934814453125
D_imp_asc,0.05,120,120,0.125,0.125,0.0,0.0,-0.013541666666666667,-0.038323974609375
D_imp_asc,0.1,120,120,0.125,0.125,0.0,0.0,-0.05625,-0.24270222981770834
D_imp_asc,0.2,120,120,0.125,0.125,0.0,0.0,-0.13854166666666667,-0.16586100260416667
D_imp_asc,0.3,120,120,0.125,0.13333333333333333,-0.008333333333333331,0.008333333333333333,-0.10729166666666666,-0.10003865559895833
D_imp_asc,0.5,120,120,0.125,0.125,0.0,0.0,-0.07708333333333334,-0.045939127604166664
hihp_imp_desc,0.05,120,120,0.125,0.175,-0.04999999999999999,0.20833333333333334,-0.16822916666666668,5.147865804036458
hihp_imp_desc,0.1,120,120,0.125,0.05,0.075,0.4666666666666667,-1.62421875,10.208445231119791
hihp_imp_desc,0.2,120,120,0.125,0.0,0.125,0.8833333333333333,-4.94609375,13.159226481119791
hihp_imp_desc,0.3,120,120,0.125,0.0,0.125,1.0,-10.8126953125,13.969643147786458
hihp_imp_desc,0.5,120,120,0.125,0.0,0.125,1.0,-10.742545572916667,13.949851481119792
hilp_imp_desc,0.05,120,120,0.125,0.125,0.0,0.0,0.12395833333333334,0.184912109375
hilp_imp_desc,0.1,120,120,0.125,0.125,0.0,0.016666666666666666,0.27291666666666664,0.24471028645833334
hilp_imp_desc,0.2,120,120,0.125,0.125,0.0,0.016666666666666666,0.34375,0.185150146484375
hilp_imp_desc,0.3,120,120,0.125,0.125,0.0,0.016666666666666666,0.34375,0.185150146484375
hilp_imp_desc,0.5,120,120,0.125,0.125,0.0,0.016666666666666666,0.34375,0.185150146484375
