group,ratio,crel_pair,pair_id,attr_dim,tgt_tok,argmax_clean,argmax_patched,is_correct_clean,is_correct_patched,is_argmax_flip,target_logit_delta_signed,source_logit_delta_signed
hihp_imp_desc,0.05,SAME-OPP,pair0,P,16740,56401,56401,0,0,0,-0.375,9.0
hihp_imp_desc,0.05,SAME-OPP,pair0,Q,5766,25280,25280,0,0,0,-0.25,5.71875
hihp_imp_desc,0.05,SAME-OPP,pair1,P,16740,56401,24202,0,0,1,-4.8125,10.9375
hihp_imp_desc,0.05,SAME-OPP,pair1,Q,5766,25280,25280,0,0,0,-0.125,7.609375
hihp_imp_desc,0.05,SAME-OPP,pair2,P,16740,56401,56401,0,0,0,-1.625,10.65625
hihp_imp_desc,0.05,SAME-OPP,pair2,Q,5766,25280,25280,0,0,0,-0.375,5.53125
hihp_imp_desc,0.05,SAME-OPP,pair3,P,16740,56401,56401,0,0,0,-1.625,8.71875
hihp_imp_desc,0.05,SAME-OPP,pair3,Q,5766,25280,25280,0,0,0,-0.625,6.78125
hihp_imp_desc,0.05,SAME-OPP,pair4,P,16740,56401,56401,0,0,0,-0.75,9.6875
hihp_imp_desc,0.05,SAME-OPP,pair4,Q,5766,25280,25280,0,0,0,-0.125,5.9375
hihp_imp_desc,0.05,SAME-OPP,pair5,P,16740,56401,24202,0,0,1,-3.625,11.34375
hihp_imp_desc,0.05,SAME-OPP,pair5,Q,5766,25280,25280,0,0,0,-0.125,7.09375
hihp_imp_desc,0.05,SAME-OPP,pair6,P,16740,56401,56401,0,0,0,-1.875,11.03125
hihp_imp_desc,0.05,SAME-OPP,pair6,Q,5766,25280,25280,0,0,0,-0.125,7.0625
hihp_imp_desc,0.05,SAME-OPP,pair7,P,16740,56401,56401,0,0,0,-2.5625,10.53125
hihp_imp_desc,0.05,SAME-OPP,pair7,Q,5766,25280,25280,0,0,0,-0.25,6.6875
hihp_imp_desc,0.05,SAME-OPP,pair8,P,16740,56401,56401,0,0,0,-1.125,10.1875
hihp_imp_desc,0.05,SAME-OPP,pair8,Q,5766,25280,25280,0,0,0,0.0,5.96875
hihp_imp_desc,0.05,SAME-OPP,pair9,P,16740,56401,24202,0,0,1,-4.3125,10.09375
hihp_imp_desc,0.05,SAME-OPP,pair9,Q,5766,25280,25280,0,0,0,-0.125,7.75
hihp_imp_desc,0.05,SAME-MORE,pair0,P,16740,56401,56401,0,0,0,0.25,3.125
hihp_imp_desc,0.05,SAME-MORE,pair0,Q,5766,25280,25280,0,0,0,0.75,3.0625
hihp_imp_desc,0.05,SAME-MORE,pair1,P,16740,56401,56401,0,0,0,0.125,2.125
hihp_imp_desc,0.05,SAME-MORE,pair1,Q,5766,25280,25280,0,0,0,0.25,1.25
hihp_imp_desc,0.05,SAME-MORE,pair2,P,16740,56401,56401,0,0,0,0.625,2.0625
hihp_imp_desc,0.05,SAME-MORE,pair2,Q,5766,25280,25280,0,0,0,0.875,1.75
hihp_imp_desc,0.05,SAME-MORE,pair3,P,16740,56401,56401,0,0,0,0.625,3.5
hihp_imp_desc,0.05,SAME-MORE,pair3,Q,5766,25280,25280,0,0,0,0.75,2.0625
hihp_imp_desc,0.05,SAME-MORE,pair4,P,16740,56401,56401,0,0,0,0.75,2.46875
hihp_imp_desc,0.05,SAME-MORE,pair4,Q,5766,25280,25280,0,0,0,0.875,1.5
hihp_imp_desc,0.05,SAME-MORE,pair5,P,16740,56401,56401,0,0,0,0.75,3.125
hihp_imp_desc,0.05,SAME-MORE,pair5,Q,5766,25280,25280,0,0,0,1.0,2.75
hihp_imp_desc,0.05,SAME-MORE,pair6,P,16740,56401,56401,0,0,0,0.625,2.984375
hihp_imp_desc,0.05,SAME-MORE,pair6,Q,5766,25280,25280,0,0,0,0.75,3.5
hihp_imp_desc,0.05,SAME-MORE,pair7,P,16740,56401,56401,0,0,0,0.75,1.828125
hihp_imp_desc,0.05,SAME-MORE,pair7,Q,5766,25280,25280,0,0,0,0.875,1.96875
hihp_imp_desc,0.05,SAME-MORE,pair8,P,16740,56401,56401,0,0,0,0.625,1.734375
hihp_imp_desc,0.05,SAME-MORE,pair8,Q,5766,25280,25280,0,0,0,0.75,1.96875
hihp_imp_desc,0.05,SAME-MORE,pair9,P,16740,56401,56401,0,0,0,0.5,2.0
hihp_imp_desc,0.05,SAME-MORE,pair9,Q,5766,25280,25280,0,0,0,0.625,1.96875
hihp_imp_desc,0.05,SAME-LESS,pair0,P,16740,56401,56401,0,0,0,0.5,2.453125
hihp_imp_desc,0.05,SAME-LESS,pair0,Q,5766,25280,25280,0,0,0,1.0,2.0625
hihp_imp_desc,0.05,SAME-LESS,pair1,P,16740,56401,56401,0,0,0,0.5,1.71875
hihp_imp_desc,0.05,SAME-LESS,pair1,Q,5766,25280,25280,0,0,0,0.75,2.25
hihp_imp_desc,0.05,SAME-LESS,pair2,P,16740,56401,56401,0,0,0,0.75,2.578125
hihp_imp_desc,0.05,SAME-LESS,pair2,Q,5766,25280,25280,0,0,0,1.375,3.5625
hihp_imp_desc,0.05,SAME-LESS,pair3,P,16740,56401,56401,0,0,0,0.5,2.03125
hihp_imp_desc,0.05,SAME-LESS,pair3,Q,5766,25280,25280,0,0,0,0.75,2.875
hihp_imp_desc,0.05,SAME-LESS,pair4,P,16740,56401,56401,0,0,0,0.75,1.53125
hihp_imp_desc,0.05,SAME-LESS,pair4,Q,5766,25280,25280,0,0,0,0.875,1.625
hihp_imp_desc,0.05,SAME-LESS,pair5,P,16740,56401,56401,0,0,0,0.625,1.328125
