model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair0,P,0.25,2.5,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair0,Q,0.0,3.25,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair1,P,1.0,3.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair1,Q,-0.25,3.8125,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair2,P,0.0,3.75,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair2,Q,0.0,3.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair3,P,1.0,4.375,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair3,Q,-0.75,4.25,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair4,P,0.5,3.125,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair4,Q,-0.5,4.0,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair5,P,0.75,2.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair5,Q,0.25,3.25,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair6,P,-0.5,4.125,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair6,Q,-0.25,4.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair7,P,0.25,3.25,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair7,Q,0.0,3.0,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair8,P,-0.5,4.625,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair8,Q,-0.25,2.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair9,P,0.5,3.75,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-OPP,pair9,Q,-0.5,3.75,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair0,P,0.75,0.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair0,Q,0.0,1.5,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair1,P,0.5,1.0,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair1,Q,-0.5,1.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair2,P,-0.25,1.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair2,Q,0.5,4.25,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair3,P,0.25,0.125,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair3,Q,-1.25,0.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair4,P,0.25,1.625,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair4,Q,-0.5,1.75,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair5,P,0.0,1.1875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair5,Q,0.0,1.8125,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair6,P,0.25,3.375,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair6,Q,-0.25,3.5,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair7,P,0.25,3.125,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair7,Q,0.0,2.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair8,P,-0.5,1.75,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair8,Q,-0.25,1.375,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair9,P,-0.25,0.375,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-MORE,pair9,Q,-0.75,0.375,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair0,P,0.25,1.0,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair0,Q,0.0,0.375,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair1,P,0.75,2.0,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair1,Q,0.0,0.0,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair2,P,0.5,1.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair2,Q,0.25,1.5,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair3,P,-0.5,0.25,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair3,Q,0.0,0.125,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair4,P,0.5,1.75,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair4,Q,0.25,0.25,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair5,P,0.75,2.5,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair5,Q,1.0,1.375,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair6,P,0.75,3.125,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair6,Q,0.75,2.5,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair7,P,0.25,1.625,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair7,Q,0.5,1.5,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair8,P,0.25,3.75,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair8,Q,0.75,2.75,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair9,P,0.5,1.875,65337,65337
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,SAME-LESS,pair9,Q,0.25,0.875,27916,27916
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair0,P,0.0,-0.25,50799,50799
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair0,Q,-0.25,-0.75,3606,3606
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair1,P,-0.25,-0.0625,50799,50799
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair1,Q,-0.25,0.75,17983,17983
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair2,P,-0.5,0.4375,565,50799
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair2,Q,0.25,1.3125,17983,17983
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair3,P,-0.25,-0.125,50799,50799
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair3,Q,0.0,-0.375,17983,17983
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair4,P,-0.25,0.15625,50799,50799
gemma-3-27b-it,hihp_imp_desc,0.01,18,18,OPP-MORE,pair4,Q,0.0,-0.25,17983,17983
