model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
gemma-3-27b-it,43,hihp_imp_desc,0.01,20,20,0.4244791666666667,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.03,60,60,1.483203125,1.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.05,100,100,3.3251302083333334,2.0,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.07,139,139,4.576432291666666,2.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.1,199,199,9.2291015625,9.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.12,239,239,9.889388020833334,10.0,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.15,298,298,9.599869791666666,9.375,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.2,397,397,11.127604166666666,11.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.201109,400,400,11.099479166666669,11.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.3,596,544,13.410546875,13.875,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_desc,0.5,992,544,13.410546875,13.875,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.01,20,20,0.19921875,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.03,60,60,0.63046875,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.05,100,100,0.846875,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.07,139,139,0.971875,0.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.1,199,199,1.3333333333333333,1.0,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.12,239,239,1.6549479166666667,1.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.15,298,298,1.5869791666666666,1.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.2,397,397,3.8725260416666663,2.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.201109,400,400,4.035026041666667,3.0,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.3,596,544,13.410546875,13.875,960,20,80,544,399,399,544
gemma-3-27b-it,43,hihp_imp_asc,0.5,992,544,13.410546875,13.875,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.01,20,20,0.2111979166666666,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.03,60,60,0.25,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.05,100,100,0.2505208333333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.07,139,139,0.2997395833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.1,199,199,0.3229166666666667,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.12,239,239,0.3559895833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.15,298,298,0.3963541666666667,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.2,397,397,0.4973958333333333,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.201109,400,399,0.5036458333333333,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.3,596,399,0.5036458333333333,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_desc,0.5,992,399,0.5036458333333333,0.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_asc,0.01,20,20,0.3239583333333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_asc,0.03,60,60,0.3174479166666666,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,hilp_imp_asc,0.05,100,100,0.3075520833333333,0.25,960,20,80,544,399,399,544
