pair_id,word_a,word_b,first_subtoken_id_a,first_subtoken_id_b,first_subtoken_text_a,first_subtoken_text_b,token_count_a,token_count_b,logit_gap_A_colon
pair0,spesluskru,gonmaisprel,58316,41221,spes,gon,4,4,0.291015625
pair1,tesflurfait,gurpuskaim,26465,76940,tes,gur,4,4,0.46875
pair2,steinbarbuk,desslikus,189387,11328,stein,dess,3,3,0.359375
pair3,trolmairkre,survinplai,66049,6798,trol,surv,4,4,0.3671875
pair4,woubesdeir,dunmivouk,227558,33017,wou,dun,4,4,0.40625
pair5,moundouprok,rouboureim,85618,14393,mound,rou,4,4,0.45703125
pair6,vortasbreit,grenanprir,27149,47565,vort,gren,4,4,0.0625
pair7,kasosspem,duspoungon,14749,33607,kas,dus,4,4,0.015625
pair8,nirsloulmas,sarleiltak,51515,15949,nir,sar,4,4,0.0078125
pair9,pairneisguk,lenpurkros,6727,5980,pair,len,4,4,0.328125
pair10,turbulgot,fonprurut,12843,12482,turb,fon,3,3,0.35498046875
pair11,brelbarstil,dalprorkis,1802,11397,bre,dal,4,4,0.203125
pair12,fuslaifom,sleisdeikus,37095,20136,fus,sle,4,4,0.2578125
pair13,traigarsain,rerfofin,1664,58889,tra,rer,4,4,0.078125
pair14,rabrosprei,wespleplim,40581,72299,rab,wes,4,4,0.015625
pair15,tentrinflik,nelzanvok,8336,9781,tent,nel,4,4,0.0859375
pair16,baltarbras,tekourstes,153549,22255,balt,tek,3,3,0.3046875
pair17,prailzamom,greidasneit,8034,2017,pra,gre,4,4,0.3125
pair18,zakaisgros,venkoudaim,25585,7876,zak,ven,4,4,0.22265625
pair19,fillintrit,parbiset,5727,944,fill,par,3,3,0.25
pair20,tespasprok,finroulwas,26465,1815,tes,fin,4,4,0.3203125
pair21,deinwalpem,soslaisvir,66275,27420,dein,sos,3,3,0.1640625
pair22,kenflinwor,prolkonzat,30002,18610,ken,prol,3,3,0.3125
pair23,fudunmet,grailgabrat,93441,236220,fud,grail,3,3,0.390625
pair24,nusilmat,sokrarut,114829,45836,nus,sok,3,3,0.33135986328125
pair25,brilzornes,zarbouspik,168911,33330,bril,zar,4,4,0.01953125
pair26,lenflosgat,sulgralfai,5980,11617,len,sul,4,4,0.109375
pair27,wonflanbras,keinweldok,2810,39422,won,kein,4,4,0.203125
pair28,pagrekum,torfanmek,8564,6254,pag,tor,3,3,0.234375
pair29,barfunfum,soswisprem,3029,27420,bar,sos,3,3,0.0078125
pair30,sifesspon,bronlenlou,158379,17560,sif,bron,3,3,0.046875
pair31,mailpulgaim,dosstukroum,10658,4164,mail,dos,4,4,0.1875
pair32,desrisvon,wennargek,853,15438,des,wenn,3,3,0.09375
pair33,sasflilveis,gusflurba,51800,116892,sas,gus,4,4,0.2265625
pair34,fousstoupru,pouskresme,198474,89448,fous,pous,4,4,0.40625
pair35,murmeinrim,krairutrout,8962,39472,mur,kra,3,3,0.1650390625
pair36,graigeirkri,rasosnoum,7859,24972,gra,ras,4,4,0.05859375
pair37,sageinmol,dingaltus,53184,52733,sage,ding,3,3,0.46875
pair38,spunbalstai,vesbroufis,69597,27934,spun,ves,4,4,0.296875
pair39,vonvosgrim,denzouflu,3564,2034,von,den,3,3,0.46875
pair40,rulgrosnar,kosnurbrail,41996,22804,rul,kos,4,4,0.37890625
pair41,pentroubil,keinzarvain,11573,39422,pent,kein,3,3,0.015625
pair42,bountrilgin,moussteilto,161257,158672,bount,mous,3,3,0.421875
pair43,gilforslam,brodonlok,133078,2603,gil,bro,3,3,0.412109375
pair44,milmilkrouk,besdousler,4743,5426,mil,bes,4,4,0.21875
pair45,nolveszek,gedolpri,126530,31365,nol,ged,3,3,0.16015625
pair46,volrouvouk,plusmaldous,1970,2915,vol,plus,4,4,0.15625
pair47,bingelsik,plasposspi,113345,10153,bing,plas,3,3,0.109375
pair48,lanseirken,firorfil,21389,10430,lan,fir,3,3,0.34375
pair49,reinseirpli,virtaistain,12379,5800,rein,vir,4,4,0.015625
pair50,menfokral,treikoufir,1758,2547,men,tre,4,4,0.1875
pair51,sesslolbais,vipaisreik,36051,77090,sess,vip,4,4,0.3046875
pair52,bonslisroul,nulspousram,61397,78761,bons,nul,4,4,0.44677734375
pair53,respainweis,gilribrok,15916,133078,resp,gil,3,3,0.302734375
pair54,bunpoultil,walweikren,17213,12460,bun,wal,4,4,0.265625
pair55,genwourrek,nogreirrout,2824,21365,gen,nog,4,4,0.21875
pair56,nilspulsoul,soukasmil,5030,4280,nil,sou,4,4,0.125
pair57,masparslit,parsunsin,4397,944,mas,par,3,3,0.40625
pair58,sleirbeisgo,brailalbis,20136,8518,sle,bra,4,4,0.109375
pair59,gruprinslin,kiszirvun,8908,43031,gru,kis,4,4,0.1796875
pair60,likunmeit,teilkrewu,3172,51427,lik,teil,4,4,0.109375
pair61,sorgreilvim,lokraibek,66723,20676,sorg,lok,4,4,0.3431396484375
pair62,kaltrourmit,nolspasnait,12128,126530,kal,nol,4,4,0.17138671875
pair63,brusweskrei,troumeskrot,93932,5604,brus,trou,4,4,0.390625
pair64,pesbroslem,brusfekut,9736,93932,pes,brus,3,3,0.078125
pair65,trisvavas,fostountrei,120117,22018,tris,fost,3,3,0.212890625
